,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",85.76,86.38,84.14,85.51,85.04,"60,247,300"
"Nov 01, 2020",80.18,86.41,79.51,85.64,85.16,"81,412,700"
"Oct 01, 2020",77.53,81.09,75.56,78.89,78.02,"71,183,400"
"Sep 01, 2020",79.15,80.10,74.35,77.15,76.30,"66,194,300"
"Aug 01, 2020",76.70,79.51,75.60,79.26,78.39,"63,650,200"
"Jul 01, 2020",73.26,77.46,72.61,77.20,75.90,"74,946,100"
"Jun 01, 2020",72.27,75.40,70.29,73.26,72.03,"89,243,600"
"May 01, 2020",70.20,72.58,65.54,72.33,71.11,"89,641,400"
"Apr 01, 2020",64.75,73.89,64.09,70.27,68.67,"87,767,500"
"Mar 01, 2020",68.51,75.47,58.49,66.36,64.85,"178,573,700"
"Feb 01, 2020",74.06,77.41,66.32,67.57,66.03,"91,015,500"
"Jan 01, 2020",68.84,74.97,67.47,73.78,71.67,"89,823,500"
"Dec 01, 2019",68.00,69.34,66.80,68.84,66.87,"74,443,300"
"Nov 01, 2019",67.44,67.98,64.75,67.82,65.88,"75,572,100"
"Oct 01, 2019",72.78,73.21,66.80,68.60,66.22,"76,006,700"
"Sep 01, 2019",73.67,75.00,68.97,73.51,70.95,"69,830,600"
"Aug 01, 2019",71.63,74.55,68.41,74.15,71.57,"67,135,800"
"Jul 01, 2019",71.96,76.41,71.13,71.74,68.85,"73,626,700"
"Jun 01, 2019",69.70,74.25,69.59,71.67,68.78,"67,419,100"
"May 01, 2019",72.08,73.10,69.44,69.62,66.81,"65,808,500"
"Apr 01, 2019",68.38,72.85,67.25,72.79,69.42,"67,310,600"
"Mar 01, 2019",65.92,68.61,64.78,68.54,65.37,"71,090,200"
"Feb 01, 2019",64.90,67.47,64.20,65.87,62.82,"72,085,600"
"Jan 01, 2019",59.24,64.85,58.62,64.68,61.27,"104,403,100"
"Dec 01, 2018",63.46,65.88,57.51,59.52,56.38,"100,054,300"
"Nov 01, 2018",59.63,63.99,59.32,63.52,60.17,"109,577,700"
"Oct 01, 2018",66.96,67.80,57.41,59.55,56.04,"118,852,700"
"Sep 01, 2018",65.74,69.29,64.95,66.95,63.00,"57,660,400"
"Aug 01, 2018",66.83,68.43,65.01,66.41,62.49,"64,552,600"
"Jul 01, 2018",64.60,67.92,64.03,67.01,62.66,"78,389,000"
"Jun 01, 2018",63.25,65.67,61.97,64.81,60.60,"94,871,300"
"May 01, 2018",64.78,65.39,61.28,63.09,58.99,"105,865,700"
"Apr 01, 2018",71.32,72.61,64.84,65.23,60.64,"94,826,200"
"Mar 01, 2018",68.87,72.29,67.86,71.68,66.63,"80,751,400"
"Feb 01, 2018",74.33,74.63,68.19,68.97,64.11,"77,241,000"
"Jan 01, 2018",75.43,77.91,72.45,74.24,68.65,"88,767,800"
"Dec 01, 2017",72.51,75.72,71.93,75.45,69.77,"60,195,000"
"Nov 01, 2017",70.72,73.83,69.75,72.45,67.00,"70,112,200"
"Oct 01, 2017",73.02,76.10,69.05,70.45,64.79,"80,008,000"
"Sep 01, 2017",71.66,73.91,70.77,72.85,67.00,"57,647,100"
"Aug 01, 2017",72.11,72.35,70.66,71.64,65.89,"59,899,700"
"Jul 01, 2017",74.34,74.59,69.78,72.20,66.04,"68,845,300"
"Jun 01, 2017",76.50,77.27,74.04,74.13,67.80,"59,073,800"
"May 01, 2017",72.29,76.86,70.66,76.36,69.84,"95,453,800"
"Apr 01, 2017",73.10,74.88,70.17,72.04,65.53,"65,033,600"
"Mar 01, 2017",73.05,74.44,72.58,73.19,66.58,"79,175,600"
"Feb 01, 2017",64.50,75.09,64.43,72.98,66.39,"109,429,700"
"Jan 01, 2017",65.56,68.50,63.43,64.58,58.41,"88,478,100"
"Dec 01, 2016",65.23,67.30,64.46,65.44,59.19,"68,323,800"
"Nov 01, 2016",71.46,71.73,65.23,65.23,59.00,"81,730,200"
"Oct 01, 2016",73.93,74.07,70.25,71.36,64.19,"61,456,700"
"Sep 01, 2016",74.38,75.35,70.86,74.14,66.69,"70,865,300"
"Aug 01, 2016",74.44,75.38,73.89,74.34,66.87,"50,128,700"
"Jul 01, 2016",73.20,75.33,72.63,74.43,66.60,"64,386,900"
"Jun 01, 2016",70.41,73.20,69.71,73.20,65.50,"66,417,000"
"May 01, 2016",71.47,72.72,69.53,70.41,63.01,"64,598,400"
"Apr 01, 2016",70.21,71.79,68.24,70.92,63.12,"70,905,000"
"Mar 01, 2016",66.06,71.25,65.93,70.65,62.88,"70,433,200"
"Feb 01, 2016",66.93,68.39,64.00,65.64,58.42,"71,113,700"
"Jan 01, 2016",65.40,67.65,61.40,67.53,59.73,"91,296,100"
"Dec 01, 2015",65.77,68.49,64.99,66.62,58.93,"68,985,500"
"Nov 01, 2015",66.77,68.11,64.51,65.68,58.10,"63,486,700"
"Oct 01, 2015",63.58,69.44,63.06,66.35,58.36,"72,118,800"
"Sep 01, 2015",61.62,64.13,60.91,63.46,55.82,"96,105,300"
"Aug 01, 2015",67.66,69.30,50.84,62.81,55.24,"76,452,400"
"Jul 01, 2015",65.59,69.23,65.55,68.02,59.49,"64,249,000"
"Jun 01, 2015",66.71,67.57,64.83,65.41,57.21,"71,702,200"
"May 01, 2015",67.28,69.28,66.74,66.79,58.42,"54,645,000"
"Apr 01, 2015",69.34,70.44,66.78,67.28,58.52,"54,188,000"
"Mar 01, 2015",70.82,71.56,66.88,69.34,60.31,"66,453,100"
"Feb 01, 2015",67.36,71.29,66.98,70.82,61.60,"51,754,600"
"Jan 01, 2015",69.17,69.46,64.87,67.52,58.42,"77,671,100"
"Dec 01, 2014",68.67,71.31,67.25,69.19,59.86,"62,216,800"
"Nov 01, 2014",66.80,69.90,66.71,69.59,60.21,"44,724,700"
"Oct 01, 2014",65.22,67.12,62.53,66.88,57.54,"86,218,600"
