,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",50.75,52.48,49.48,52.40,52.16,"323,257,000"
"Nov 01, 2020",42.75,52.49,40.97,50.24,50.01,"405,588,200"
"Oct 01, 2020",46.57,46.77,41.75,42.24,41.84,"357,128,700"
"Sep 01, 2020",44.44,47.50,43.12,46.26,45.82,"427,662,100"
"Aug 01, 2020",42.69,45.13,42.02,44.81,44.38,"281,441,100"
"Jul 01, 2020",39.61,45.20,39.03,42.80,42.39,"415,684,900"
"Jun 01, 2020",39.54,43.18,37.77,38.98,38.38,"458,757,200"
"May 01, 2020",37.14,40.47,34.17,39.60,38.99,"429,570,500"
"Apr 01, 2020",33.16,39.12,32.05,37.63,37.05,"486,740,400"
"Mar 01, 2020",40.34,43.45,31.71,34.38,33.63,"904,305,000"
"Feb 01, 2020",43.56,46.42,38.97,40.43,39.55,"422,519,600"
"Jan 01, 2020",45.36,47.74,42.70,43.19,42.05,"462,380,600"
"Dec 01, 2019",44.40,45.34,42.01,44.97,43.78,"458,700,700"
"Nov 01, 2019",45.19,45.67,43.25,44.15,42.99,"343,885,800"
"Oct 01, 2019",45.18,47.24,43.61,44.82,43.43,"330,280,600"
"Sep 01, 2019",43.89,47.27,43.53,45.08,43.69,"332,942,000"
"Aug 01, 2019",43.19,44.65,40.72,44.26,42.89,"350,264,800"
"Jul 01, 2019",42.65,45.30,42.34,43.17,41.63,"354,409,500"
"Jun 01, 2019",41.03,43.86,40.68,42.28,40.77,"443,327,600"
"May 01, 2019",43.48,43.81,40.77,41.00,39.54,"359,234,600"
"Apr 01, 2019",40.34,43.96,39.81,43.53,41.76,"321,151,400"
"Mar 01, 2019",38.85,40.52,37.89,39.98,38.35,"419,513,600"
"Feb 01, 2019",36.71,38.90,36.27,38.67,37.10,"343,384,300"
"Jan 01, 2019",33.49,37.42,33.42,36.57,35.08,"500,940,900"
"Dec 01, 2018",39.09,39.29,32.61,34.05,32.48,"438,189,800"
"Nov 01, 2018",38.10,39.66,36.61,39.01,37.22,"410,993,300"
"Oct 01, 2018",35.53,38.65,33.51,38.14,36.19,"617,471,700"
"Sep 01, 2018",36.75,38.06,34.75,35.41,33.60,"446,078,600"
"Aug 01, 2018",35.90,37.07,34.62,36.99,35.10,"322,923,600"
"Jul 01, 2018",32.44,36.09,32.42,35.78,33.75,"459,034,700"
"Jun 01, 2018",31.34,34.40,30.96,32.81,30.95,"749,249,300"
"May 01, 2018",31.38,32.89,30.43,31.18,29.41,"494,078,700"
"Apr 01, 2018",34.09,34.81,31.34,31.39,29.45,"603,758,700"
"Mar 01, 2018",36.44,37.22,32.74,34.17,32.05,"621,328,100"
"Feb 01, 2018",42.17,42.59,35.75,36.21,33.97,"590,798,000"
"Jan 01, 2018",40.86,44.00,40.05,42.53,39.74,"480,271,900"
