,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",79.25,81.11,73.16,75.20,73.93,"113,813,500"
"Nov 01, 2020",80.94,86.95,78.34,78.49,77.17,"87,211,200"
"Oct 01, 2020",79.01,83.30,77.87,80.34,78.99,"71,595,800"
"Sep 01, 2020",77.67,82.41,75.30,78.93,76.69,"86,076,200"
"Aug 01, 2020",80.78,81.24,77.36,78.44,76.21,"63,667,300"
"Jul 01, 2020",81.14,83.50,71.50,81.03,78.73,"126,177,500"
"Jun 01, 2020",84.81,87.34,79.29,81.18,78.01,"94,076,100"
"May 01, 2020",76.29,85.12,74.55,85.01,81.69,"76,203,100"
"Apr 01, 2020",69.05,82.64,67.84,77.13,74.12,"70,579,000"
"Mar 01, 2020",78.67,89.06,57.79,72.19,69.37,"131,464,900"
"Feb 01, 2020",85.95,90.89,76.39,78.18,74.32,"65,028,600"
"Jan 01, 2020",82.88,86.69,81.26,85.75,81.51,"58,376,500"
"Dec 01, 2019",82.87,82.95,79.77,82.82,77.85,"74,466,100"
"Nov 01, 2019",83.25,83.93,79.52,83.11,78.12,"57,737,300"
"Oct 01, 2019",80.86,83.23,78.95,82.55,77.60,"65,466,300"
"Sep 01, 2019",77.62,81.43,76.05,81.04,75.29,"72,479,900"
"Aug 01, 2019",74.61,78.08,73.76,77.63,72.13,"90,578,800"
"Jul 01, 2019",77.18,78.72,73.46,74.29,69.02,"72,256,300"
"Jun 01, 2019",75.32,79.47,73.54,77.32,70.99,"100,884,300"
"May 01, 2019",77.50,78.31,72.61,75.18,69.02,"69,748,200"
"Apr 01, 2019",76.57,77.91,74.41,77.87,71.49,"64,219,100"
"Mar 01, 2019",74.13,77.22,73.77,76.66,70.38,"102,416,600"
"Feb 01, 2019",70.42,75.24,70.02,74.09,67.18,"85,634,700"
"Jan 01, 2019",71.40,72.90,67.41,70.24,63.69,"120,660,400"
"Dec 01, 2018",74.12,77.19,70.16,71.46,64.08,"122,311,000"
"Nov 01, 2018",71.81,75.24,68.70,74.50,66.81,"75,677,800"
"Oct 01, 2018",70.12,74.65,69.59,71.42,64.04,"72,426,400"
"Sep 01, 2018",70.77,72.55,68.56,70.28,62.29,"58,224,600"
"Aug 01, 2018",70.96,72.49,69.50,70.77,62.73,"63,423,600"
"Jul 01, 2018",68.23,72.40,67.30,71.71,63.56,"68,655,900"
"Jun 01, 2018",64.12,68.75,61.53,68.18,60.43,"96,130,000"
"May 01, 2018",66.56,66.69,62.31,64.19,56.16,"81,750,700"
"Apr 01, 2018",67.63,68.06,63.88,66.56,58.23,"101,371,700"
"Mar 01, 2018",73.27,74.35,66.99,67.43,58.33,"118,644,300"
"Feb 01, 2018",76.46,76.72,72.80,74.07,64.07,"74,613,100"
"Jan 01, 2018",81.20,81.67,74.32,76.44,66.12,"118,633,500"
"Dec 01, 2017",84.38,85.30,80.11,81.06,70.12,"47,003,000"
"Nov 01, 2017",81.41,84.34,80.01,84.13,72.11,"40,615,300"
"Oct 01, 2017",77.20,82.13,75.75,81.14,69.55,"47,646,000"
"Sep 01, 2017",78.90,79.95,76.23,76.93,65.94,"51,253,100"
"Aug 01, 2017",77.27,80.67,76.56,78.77,66.88,"44,064,800"
"Jul 01, 2017",76.94,77.57,75.40,77.18,65.53,"38,862,700"
"Jun 01, 2017",80.77,81.65,76.17,76.63,65.06,"66,088,800"
"May 01, 2017",77.45,81.30,76.39,80.77,67.94,"45,273,500"
"Apr 01, 2017",77.14,78.46,76.25,77.43,65.13,"41,949,600"
"Mar 01, 2017",75.88,79.36,74.59,77.57,64.61,"55,866,300"
"Feb 01, 2017",74.36,78.04,70.87,77.64,64.67,"64,099,600"
"Jan 01, 2017",76.57,77.05,74.70,76.28,63.54,"41,851,500"
"Dec 01, 2016",72.93,77.33,72.20,74.53,62.08,"55,776,700"
"Nov 01, 2016",75.03,76.30,69.51,73.29,60.49,"61,475,900"
"Oct 01, 2016",74.21,75.91,71.32,75.20,62.06,"45,094,900"
"Sep 01, 2016",74.18,77.32,72.49,74.27,61.29,"53,230,700"
"Aug 01, 2016",77.73,78.08,73.68,74.16,60.63,"74,697,500"
"Jul 01, 2016",78.06,78.97,76.10,78.02,63.79,"42,900,300"
"Jun 01, 2016",71.20,77.93,70.75,77.93,63.10,"71,265,400"
"May 01, 2016",71.70,73.34,68.71,72.25,58.50,"50,514,400"
"Apr 01, 2016",74.78,75.50,69.28,71.47,57.87,"61,624,500"
"Mar 01, 2016",70.33,75.18,67.58,75.12,60.21,"58,416,200"
"Feb 01, 2016",70.27,71.87,68.45,69.92,56.05,"81,318,500"
"Jan 01, 2016",66.97,72.20,66.25,72.17,57.85,"62,589,900"
"Dec 01, 2015",67.87,68.92,64.54,67.64,54.22,"54,219,100"
"Nov 01, 2015",71.06,71.79,66.85,67.37,53.49,"43,861,900"
"Oct 01, 2015",70.45,74.88,68.46,71.43,56.72,"51,244,300"
"Sep 01, 2015",68.88,70.69,66.90,70.38,55.88,"53,199,300"
"Aug 01, 2015",71.92,76.59,68.83,69.75,54.87,"65,422,400"
"Jul 01, 2015",67.19,72.17,66.65,71.70,56.41,"51,011,700"
"Jun 01, 2015",70.60,70.91,66.52,66.87,52.61,"64,423,500"
"May 01, 2015",71.80,72.57,70.07,70.52,54.98,"46,505,800"
"Apr 01, 2015",71.11,74.34,70.13,71.68,55.88,"47,545,800"
"Mar 01, 2015",72.09,72.62,68.25,70.87,55.25,"66,536,500"
"Feb 01, 2015",77.18,78.88,71.61,72.09,55.71,"61,077,600"
"Jan 01, 2015",77.26,79.89,75.33,76.89,59.42,"47,551,200"
"Dec 01, 2014",72.16,80.89,71.34,76.90,59.43,"60,105,400"
"Nov 01, 2014",71.53,74.59,71.34,72.55,55.60,"46,045,700"
"Oct 01, 2014",69.42,72.24,65.53,71.30,54.65,"74,430,100"
