,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",78.33,90.66,78.21,90.53,90.11,"51,941,900"
"Nov 01, 2020",65.86,81.74,65.32,76.17,75.39,"55,749,100"
"Oct 01, 2020",57.63,68.67,56.94,65.01,64.34,"67,354,500"
"Sep 01, 2020",52.43,60.45,51.74,57.78,57.19,"68,699,400"
"Aug 01, 2020",49.70,57.67,48.61,53.08,52.08,"59,152,600"
"Jul 01, 2020",50.29,52.98,45.40,49.43,48.50,"74,700,800"
"Jun 01, 2020",47.79,66.77,47.35,50.09,49.15,"134,804,100"
"May 01, 2020",40.79,52.19,35.05,47.51,46.10,"109,561,500"
"Apr 01, 2020",32.87,46.20,27.51,42.97,41.69,"128,218,000"
"Mar 01, 2020",66.11,68.73,23.25,35.67,34.61,"124,657,700"
"Feb 01, 2020",75.77,78.14,63.24,65.58,63.26,"41,593,900"
"Jan 01, 2020",85.11,85.86,73.43,75.13,72.47,"57,043,600"
"Dec 01, 2019",85.26,87.43,81.59,84.82,81.82,"30,093,800"
"Nov 01, 2019",81.06,85.33,80.83,84.87,81.44,"25,149,400"
"Oct 01, 2019",81.71,83.33,74.85,80.26,77.02,"40,520,100"
"Sep 01, 2019",79.11,85.69,77.56,81.09,77.81,"36,322,600"
"Aug 01, 2019",89.75,90.05,76.26,79.97,76.32,"40,645,500"
"Jul 01, 2019",78.73,92.98,78.13,89.74,85.64,"47,720,300"
"Jun 01, 2019",74.55,79.55,74.38,77.59,74.04,"35,518,700"
"May 01, 2019",81.48,82.51,74.36,74.55,70.78,"40,431,100"
"Apr 01, 2019",71.73,81.99,71.73,81.49,77.37,"33,528,200"
"Mar 01, 2019",72.02,74.41,69.11,71.16,67.56,"41,439,100"
"Feb 01, 2019",67.59,72.28,67.42,71.61,67.61,"40,623,200"
"Jan 01, 2019",57.92,68.00,57.79,67.49,63.72,"56,305,600"
"Dec 01, 2018",71.98,72.53,54.36,58.98,55.68,"56,038,500"
"Nov 01, 2018",69.79,72.05,67.76,71.30,66.93,"37,715,300"
"Oct 01, 2018",77.26,78.76,66.83,69.67,65.40,"48,006,300"
"Sep 01, 2018",78.21,80.36,76.36,76.45,71.77,"34,143,400"
"Aug 01, 2018",71.60,79.69,70.98,78.12,72.96,"43,606,000"
"Jul 01, 2018",69.90,74.18,69.58,71.41,66.70,"44,477,400"
"Jun 01, 2018",74.58,76.55,69.23,70.41,65.76,"43,252,200"
"May 01, 2018",71.09,78.97,68.48,73.86,68.68,"43,845,900"
"Apr 01, 2018",71.41,74.39,68.56,71.25,66.25,"43,847,400"
"Mar 01, 2018",78.64,79.34,69.55,71.93,66.88,"49,921,700"
"Feb 01, 2018",79.51,81.34,71.31,78.83,72.98,"42,767,600"
"Jan 01, 2018",77.24,81.93,76.38,79.80,73.87,"48,541,100"
"Dec 01, 2017",70.79,77.79,68.77,76.92,71.21,"47,401,700"
"Nov 01, 2017",66.68,71.18,63.31,70.60,65.01,"43,464,700"
"Oct 01, 2017",64.51,67.41,63.53,66.53,61.26,"55,988,900"
"Sep 01, 2017",59.12,64.73,57.50,64.48,59.37,"49,279,700"
"Aug 01, 2017",61.29,62.54,58.13,58.95,53.96,"49,570,100"
"Jul 01, 2017",62.42,64.00,59.92,60.94,55.78,"58,775,900"
"Jun 01, 2017",58.88,63.28,58.24,62.19,56.93,"64,985,200"
"May 01, 2017",62.35,62.63,57.82,58.70,53.47,"90,058,300"
"Apr 01, 2017",68.47,68.54,62.27,62.59,57.01,"56,358,700"
"Mar 01, 2017",72.23,72.91,65.54,68.39,62.29,"45,030,900"
"Feb 01, 2017",69.70,72.31,67.73,71.14,64.52,"39,664,900"
"Jan 01, 2017",72.90,74.33,68.27,69.28,62.83,"56,377,900"
"Dec 01, 2016",68.00,73.62,66.88,72.82,66.04,"59,337,300"
"Nov 01, 2016",56.46,68.88,55.41,67.77,61.13,"62,660,500"
"Oct 01, 2016",56.36,57.35,53.91,56.33,50.81,"55,969,700"
"Sep 01, 2016",60.03,60.29,55.64,56.55,51.01,"61,749,400"
"Aug 01, 2016",56.82,60.05,55.28,60.00,53.83,"50,066,600"
"Jul 01, 2016",53.54,57.68,51.67,56.84,51.00,"55,126,900"
"Jun 01, 2016",56.81,57.77,50.32,53.59,48.08,"74,409,800"
"May 01, 2016",56.51,57.10,53.55,56.81,50.72,"56,877,700"
"Apr 01, 2016",50.58,58.10,49.98,56.27,50.24,"77,207,700"
"Mar 01, 2016",46.69,51.13,46.37,50.92,45.46,"65,392,500"
"Feb 01, 2016",45.79,47.77,42.86,46.42,41.19,"80,324,000"
"Jan 01, 2016",52.53,53.09,44.67,45.79,40.63,"94,685,800"
"Dec 01, 2015",57.06,57.40,51.94,53.62,47.58,"72,125,200"
"Nov 01, 2015",56.20,58.08,55.38,56.76,50.12,"53,233,400"
"Oct 01, 2015",51.73,57.49,50.20,56.22,49.64,"75,566,300"
"Sep 01, 2015",52.21,54.24,50.36,51.99,45.90,"66,931,000"
"Aug 01, 2015",55.78,56.84,50.92,53.73,47.20,"89,868,300"
"Jul 01, 2015",58.26,59.88,55.00,55.81,49.03,"72,587,500"
"Jun 01, 2015",58.34,59.55,57.31,57.62,50.62,"64,402,400"
"May 01, 2015",58.21,60.57,57.70,58.27,50.95,"52,344,600"
"Apr 01, 2015",56.19,59.90,56.17,57.97,50.68,"78,050,500"
"Mar 01, 2015",60.98,61.23,56.04,56.35,49.27,"78,009,400"
"Feb 01, 2015",54.41,61.50,54.09,60.98,53.08,"86,958,000"
"Jan 01, 2015",65.93,66.02,54.02,54.38,47.34,"104,419,600"
"Dec 01, 2014",65.54,66.72,60.15,65.49,57.01,"59,631,900"
"Nov 01, 2014",63.95,66.75,63.44,65.55,56.85,"44,287,600"
"Oct 01, 2014",64.26,65.53,60.41,63.78,55.31,"65,628,700"
