,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",27.39,30.33,26.87,30.09,30.09,"150,211,200"
"Nov 01, 2020",20.78,27.66,20.02,26.91,26.91,"121,220,200"
"Oct 01, 2020",21.89,23.05,19.07,20.24,20.24,"77,115,500"
"Sep 01, 2020",22.04,24.77,20.79,21.77,21.77,"88,853,500"
"Aug 01, 2020",21.18,23.67,20.83,22.07,22.07,"83,288,100"
"Jul 01, 2020",21.23,22.22,19.11,21.10,21.10,"81,029,100"
"Jun 01, 2020",21.81,26.27,19.95,21.10,21.10,"113,774,100"
"May 01, 2020",22.11,23.10,18.56,21.75,21.75,"123,227,300"
"Apr 01, 2020",18.76,25.05,17.69,22.42,22.42,"99,941,700"
"Mar 01, 2020",25.89,26.93,17.12,19.44,19.44,"149,483,200"
"Feb 01, 2020",29.41,30.88,23.89,25.70,25.70,"104,144,100"
"Jan 01, 2020",32.82,32.89,29.07,29.26,29.26,"84,314,100"
"Dec 01, 2019",32.88,33.48,31.85,32.74,32.74,"57,658,900"
"Nov 01, 2019",27.05,33.66,26.94,32.94,32.94,"102,383,400"
"Oct 01, 2019",26.62,28.43,25.95,27.54,27.54,"76,439,900"
"Sep 01, 2019",27.32,28.63,25.90,26.63,26.63,"77,681,200"
"Aug 01, 2019",30.28,30.62,26.21,27.60,27.60,"91,941,700"
"Jul 01, 2019",31.06,32.87,30.03,30.31,30.31,"80,421,200"
"Jun 01, 2019",27.25,31.12,27.00,30.70,30.70,"73,862,000"
"May 01, 2019",30.90,31.85,26.82,27.26,27.26,"95,662,500"
"Apr 01, 2019",27.47,32.06,27.29,30.90,30.90,"85,819,900"
"Mar 01, 2019",29.05,29.63,26.08,27.02,27.02,"82,802,300"
"Feb 01, 2019",28.50,29.69,26.86,28.90,28.90,"79,102,400"
"Jan 01, 2019",24.37,28.43,24.11,28.38,28.38,"78,512,200"
"Dec 01, 2018",30.59,30.72,23.79,24.74,24.74,"102,920,900"
"Nov 01, 2018",32.41,34.89,29.12,30.72,30.72,"84,496,900"
"Oct 01, 2018",32.16,34.06,29.79,32.39,32.39,"104,003,300"
"Sep 01, 2018",27.60,32.65,26.04,32.00,32.00,"80,359,700"
"Aug 01, 2018",26.39,29.72,24.72,27.83,27.83,"80,931,400"
"Jul 01, 2018",27.48,28.51,25.73,26.58,26.58,"63,952,900"
"Jun 01, 2018",21.18,28.78,20.69,27.50,27.50,"135,903,900"
