,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",24.47,26.40,23.67,26.19,26.19,"53,372,600"
"Nov 01, 2020",18.48,24.77,18.11,24.02,24.02,"54,311,800"
"Oct 01, 2020",19.67,20.74,17.34,18.32,18.32,"47,136,100"
"Sep 01, 2020",19.84,22.58,18.83,19.60,19.60,"59,370,500"
"Aug 01, 2020",18.91,21.67,18.68,19.97,19.97,"59,753,000"
"Jul 01, 2020",19.29,19.89,17.21,18.95,18.95,"41,614,000"
"Jun 01, 2020",19.75,23.62,18.18,19.26,19.26,"61,458,400"
"May 01, 2020",20.05,20.90,16.80,19.59,19.59,"47,539,000"
"Apr 01, 2020",16.81,22.75,16.10,20.41,20.41,"57,347,800"
"Mar 01, 2020",24.86,25.73,15.43,17.54,17.54,"117,391,100"
"Feb 01, 2020",27.87,29.35,23.00,25.10,25.10,"73,584,800"
"Jan 01, 2020",30.61,30.73,27.60,27.77,27.77,"64,110,600"
"Dec 01, 2019",30.50,31.10,29.65,30.49,30.49,"62,289,200"
"Nov 01, 2019",25.35,31.20,25.22,30.52,30.52,"57,032,700"
"Oct 01, 2019",24.70,26.45,24.09,25.24,25.24,"46,736,500"
"Sep 01, 2019",25.78,27.08,24.04,24.62,24.62,"62,184,100"
"Aug 01, 2019",28.34,28.51,24.70,26.03,26.03,"53,915,900"
"Jul 01, 2019",28.82,30.29,27.77,28.24,28.24,"62,992,800"
"Jun 01, 2019",25.59,28.62,25.37,28.45,28.45,"73,456,900"
"May 01, 2019",28.62,29.66,25.26,25.64,25.64,"64,591,800"
"Apr 01, 2019",25.92,29.92,25.76,28.76,28.76,"50,891,700"
"Mar 01, 2019",27.32,27.81,24.72,25.42,25.42,"40,447,300"
"Feb 01, 2019",26.67,27.89,25.35,27.25,27.25,"34,711,600"
"Jan 01, 2019",22.79,26.69,22.51,26.65,26.65,"41,955,900"
"Dec 01, 2018",28.00,28.11,21.99,23.08,23.08,"82,119,300"
"Nov 01, 2018",29.29,31.55,26.50,27.93,27.93,"57,039,100"
"Oct 01, 2018",29.67,31.39,27.05,29.31,29.31,"67,834,600"
"Sep 01, 2018",25.62,29.96,25.10,29.58,29.58,"50,687,800"
"Aug 01, 2018",24.42,27.48,22.87,25.64,25.64,"37,733,900"
"Jul 01, 2018",25.48,26.35,23.84,24.55,24.55,"35,931,100"
"Jun 01, 2018",19.82,26.64,19.48,25.50,25.50,"89,237,400"
"May 01, 2018",22.58,23.36,19.25,19.77,19.77,"94,186,900"
"Apr 01, 2018",19.63,22.95,19.36,22.22,22.22,"93,311,300"
"Mar 01, 2018",22.95,23.34,19.08,19.52,19.52,"153,413,400"
"Feb 01, 2018",23.69,25.27,20.29,22.98,22.98,"80,032,400"
"Jan 01, 2018",21.48,25.26,20.03,23.86,23.86,"69,315,600"
"Dec 01, 2017",18.06,22.81,17.77,21.17,21.17,"104,443,800"
"Nov 01, 2017",17.87,18.20,14.99,18.08,18.08,"93,891,800"
"Oct 01, 2017",20.32,20.72,17.56,17.81,17.81,"66,029,500"
"Sep 01, 2017",21.05,21.28,19.36,20.26,20.26,"54,449,300"
"Aug 01, 2017",23.25,23.84,20.82,21.01,21.01,"67,381,400"
"Jul 01, 2017",25.38,27.15,22.85,23.13,23.13,"44,409,600"
"Jun 01, 2017",25.92,26.35,24.32,25.21,25.21,"42,324,000"
"May 01, 2017",28.09,28.09,24.18,25.83,25.83,"44,521,200"
"Apr 01, 2017",28.37,29.18,27.67,27.98,27.98,"28,464,200"
"Mar 01, 2017",28.26,28.42,26.55,28.31,28.31,"33,455,000"
"Feb 01, 2017",27.71,29.07,26.62,28.07,28.07,"21,639,400"
"Jan 01, 2017",27.04,28.24,25.56,27.71,27.71,"27,527,900"
"Dec 01, 2016",26.45,28.91,25.90,26.78,26.78,"29,263,100"
"Nov 01, 2016",24.98,27.45,23.91,26.44,26.44,"38,760,700"
"Oct 01, 2016",26.21,27.26,24.48,25.11,25.11,"28,499,400"
"Sep 01, 2016",24.88,26.52,23.24,26.31,26.31,"34,391,400"
"Aug 01, 2016",24.60,26.61,24.16,24.82,24.82,"37,844,600"
"Jul 01, 2016",23.90,24.96,23.22,24.54,24.54,"38,074,400"
"Jun 01, 2016",26.67,27.57,22.43,23.85,23.85,"38,106,300"
"May 01, 2016",26.85,28.53,25.03,26.77,26.77,"42,884,500"
"Apr 01, 2016",26.74,28.24,26.47,26.78,26.78,"40,298,200"
"Mar 01, 2016",24.86,28.05,24.69,27.00,27.00,"45,290,400"
