,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",93.56,94.64,88.18,91.56,90.62,"65,524,700"
"Nov 01, 2020",92.93,98.88,90.01,92.66,90.80,"62,207,900"
"Oct 01, 2020",88.03,94.37,87.60,92.11,90.26,"71,536,100"
"Sep 01, 2020",79.84,89.49,78.97,88.56,86.78,"82,364,300"
"Aug 01, 2020",84.67,87.21,78.95,80.34,77.82,"67,776,200"
"Jul 01, 2020",79.97,85.05,79.11,84.74,82.09,"77,548,600"
"Jun 01, 2020",85.84,92.20,77.58,79.89,77.39,"85,349,000"
"May 01, 2020",83.86,86.37,79.72,85.63,81.99,"72,836,800"
"Apr 01, 2020",77.92,93.00,75.58,84.66,81.06,"79,068,100"
"Mar 01, 2020",91.65,101.69,62.13,80.88,77.44,"135,526,700"
"Feb 01, 2020",97.63,103.79,89.39,91.70,86.95,"74,118,600"
"Jan 01, 2020",91.28,98.05,89.84,97.63,92.58,"64,040,300"
"Dec 01, 2019",87.87,91.50,87.15,91.21,86.49,"79,323,200"
"Nov 01, 2019",94.30,94.55,86.36,88.17,82.72,"99,953,700"
"Oct 01, 2019",95.57,97.37,93.33,94.26,88.43,"54,188,200"
"Sep 01, 2019",92.50,96.80,92.33,95.86,89.93,"54,377,800"
"Aug 01, 2019",86.80,93.35,86.31,92.74,86.08,"61,143,700"
"Jul 01, 2019",88.01,90.60,86.17,86.72,80.49,"50,628,900"
"Jun 01, 2019",86.04,90.68,84.28,88.24,81.90,"64,664,800"
"May 01, 2019",90.68,91.06,84.46,85.61,78.61,"68,935,000"
"Apr 01, 2019",89.75,91.33,87.93,91.12,83.67,"66,422,400"
"Mar 01, 2019",89.60,91.67,88.66,90.00,82.64,"86,750,300"
"Feb 01, 2019",87.78,90.74,86.48,89.66,81.48,"63,419,900"
"Jan 01, 2019",86.11,88.48,82.46,87.78,79.77,"63,371,400"
"Dec 01, 2018",88.00,91.35,82.77,86.30,78.42,"80,059,900"
"Nov 01, 2018",82.57,89.23,80.89,88.57,79.62,"79,281,100"
"Oct 01, 2018",79.91,85.08,78.52,82.63,74.28,"98,495,800"
"Sep 01, 2018",81.38,83.77,78.00,80.02,71.93,"87,873,800"
"Aug 01, 2018",81.14,82.72,79.51,81.24,72.20,"66,662,500"
"Jul 01, 2018",79.21,81.75,77.90,81.62,72.54,"67,246,200"
"Jun 01, 2018",77.12,80.15,71.96,79.08,70.28,"83,951,100"
"May 01, 2018",80.16,80.41,73.13,77.16,67.77,"79,113,900"
"Apr 01, 2018",77.55,80.85,75.96,80.16,70.41,"63,529,600"
"Mar 01, 2018",75.35,77.91,74.58,77.47,68.05,"93,731,900"
"Feb 01, 2018",78.32,79.63,72.93,75.34,65.40,"86,888,100"
"Jan 01, 2018",84.28,84.42,76.64,78.50,68.14,"79,844,000"
"Dec 01, 2017",89.39,89.72,83.56,84.11,73.01,"53,164,800"
"Nov 01, 2017",88.56,91.80,87.56,89.18,76.65,"55,766,100"
"Oct 01, 2017",84.07,88.64,83.52,88.31,75.90,"49,411,000"
"Sep 01, 2017",87.48,88.40,83.40,83.92,72.13,"48,247,900"
"Aug 01, 2017",85.15,87.95,84.65,87.30,74.26,"48,443,500"
"Jul 01, 2017",83.78,85.33,82.72,85.12,72.41,"43,839,600"
"Jun 01, 2017",85.48,87.49,83.59,83.59,71.11,"59,184,000"
"May 01, 2017",82.51,86.01,81.85,85.68,72.14,"55,606,900"
"Apr 01, 2017",81.90,83.35,81.27,82.50,69.46,"43,659,700"
"Mar 01, 2017",81.60,83.59,80.02,82.01,69.05,"76,182,100"
