,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",48.47,55.95,46.31,49.87,49.56,"114,665,100"
"Nov 01, 2020",34.89,54.78,33.40,46.88,46.59,"124,508,400"
"Oct 01, 2020",35.33,40.15,31.22,34.24,33.69,"130,088,000"
"Sep 01, 2020",44.72,45.38,34.90,35.94,35.36,"104,391,800"
"Aug 01, 2020",46.86,52.78,42.98,45.34,44.61,"91,216,100"
"Jul 01, 2020",51.03,52.09,44.04,46.85,45.73,"80,301,100"
"Jun 01, 2020",50.72,62.43,48.01,50.66,49.45,"103,029,000"
"May 01, 2020",46.14,54.37,43.26,50.97,49.75,"103,805,200"
"Apr 01, 2020",34.57,49.11,33.55,47.51,45.96,"154,594,000"
"Mar 01, 2020",63.81,65.41,27.00,35.92,34.75,"221,951,000"
"Feb 01, 2020",72.83,77.98,56.34,63.26,61.20,"74,103,500"
"Jan 01, 2020",84.32,89.54,72.51,72.91,70.30,"87,184,100"
"Dec 01, 2019",71.62,84.69,68.08,83.76,80.76,"87,941,600"
"Nov 01, 2019",70.06,75.60,69.64,70.90,68.36,"75,326,300"
"Oct 01, 2019",74.79,74.79,64.33,69.31,66.55,"100,869,300"
"Sep 01, 2019",72.56,87.00,72.39,74.22,71.27,"85,168,900"
"Aug 01, 2019",84.00,87.84,70.83,74.19,71.24,"93,392,500"
"Jul 01, 2019",95.00,95.29,82.01,85.85,82.17,"72,830,600"
"Jun 01, 2019",82.47,94.38,80.41,93.16,89.17,"65,067,100"
"May 01, 2019",95.84,96.50,81.83,81.88,78.37,"78,656,900"
"Apr 01, 2019",96.19,107.89,92.92,96.05,91.74,"83,726,000"
"Mar 01, 2019",94.64,97.63,86.14,95.18,90.91,"109,686,800"
"Feb 01, 2019",99.87,100.49,89.94,94.00,89.78,"68,270,700"
"Jan 01, 2019",85.66,101.37,85.20,99.20,94.54,"68,687,700"
"Dec 01, 2018",107.11,108.78,82.04,87.21,83.11,"78,984,800"
"Nov 01, 2018",105.98,110.20,96.81,103.31,98.45,"91,572,700"
"Oct 01, 2018",127.93,133.53,100.63,105.34,100.21,"74,613,300"
"Sep 01, 2018",119.04,129.09,113.70,127.57,121.35,"48,491,700"
"Aug 01, 2018",127.57,128.55,114.05,118.23,112.47,"60,914,100"
"Jul 01, 2018",123.81,131.60,121.11,128.94,122.48,"48,837,800"
"Jun 01, 2018",118.48,126.32,113.93,124.43,118.19,"66,384,700"
"May 01, 2018",117.66,128.03,111.48,117.81,111.91,"84,846,300"
"Apr 01, 2018",104.94,119.71,98.80,118.17,112.06,"80,559,900"
"Mar 01, 2018",101.79,107.91,97.44,105.27,99.83,"87,987,500"
"Feb 01, 2018",115.28,116.57,96.54,101.42,96.17,"71,915,700"
"Jan 01, 2018",108.67,119.00,108.22,115.00,108.89,"59,106,000"
"Dec 01, 2017",103.32,109.66,98.47,107.91,102.18,"46,400,700"
"Nov 01, 2017",100.79,107.95,96.71,102.32,96.89,"63,007,100"
"Oct 01, 2017",95.52,100.41,94.87,99.87,94.40,"47,902,200"
"Sep 01, 2017",85.00,98.37,84.59,96.74,91.44,"55,940,200"
"Aug 01, 2017",94.91,95.58,81.99,84.99,80.34,"75,866,500"
"Jul 01, 2017",91.00,96.90,87.04,95.14,89.77,"58,067,600"
"Jun 01, 2017",90.64,91.98,85.88,90.52,85.41,"80,389,500"
