,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",109.68,111.08,94.70,99.84,98.85,"28,902,100"
"Nov 01, 2020",102.78,113.36,101.31,108.85,106.83,"23,706,800"
"Oct 01, 2020",98.82,109.46,98.67,101.22,99.35,"28,356,300"
"Sep 01, 2020",98.95,101.50,93.29,98.53,96.71,"24,333,600"
"Aug 01, 2020",105.13,106.55,95.56,99.14,96.42,"19,960,800"
"Jul 01, 2020",93.77,105.41,93.74,105.13,102.24,"24,913,400"
"Jun 01, 2020",101.62,106.48,91.04,93.81,91.23,"30,759,400"
"May 01, 2020",94.56,103.38,90.99,101.82,98.07,"29,168,500"
"Apr 01, 2020",89.97,107.22,82.81,95.51,92.00,"31,383,000"
"Mar 01, 2020",117.40,128.75,75.19,93.97,90.51,"53,153,000"
"Feb 01, 2020",131.91,135.55,113.89,116.91,111.82,"28,520,200"
"Jan 01, 2020",119.83,132.02,117.41,131.52,125.79,"25,156,100"
"Dec 01, 2019",115.95,120.35,115.05,119.80,114.58,"32,396,700"
"Nov 01, 2019",121.60,122.09,113.62,116.39,110.43,"29,887,600"
"Oct 01, 2019",117.04,121.75,114.84,121.48,115.26,"31,429,900"
"Sep 01, 2019",113.09,118.34,111.10,117.36,111.35,"28,441,100"
"Aug 01, 2019",105.16,113.46,103.92,112.84,106.15,"24,222,700"
"Jul 01, 2019",102.81,107.35,101.13,105.62,99.36,"32,973,400"
"Jun 01, 2019",97.27,104.48,95.42,102.93,96.83,"38,193,500"
"May 01, 2019",96.45,99.84,93.91,97.07,90.46,"30,986,500"
"Apr 01, 2019",95.59,96.94,92.73,96.90,90.30,"27,752,100"
"Mar 01, 2019",93.33,96.87,91.60,95.63,89.11,"35,930,300"
"Feb 01, 2019",89.03,93.61,87.59,93.33,86.10,"27,905,400"
"Jan 01, 2019",85.65,89.49,83.24,89.19,82.28,"29,503,600"
"Dec 01, 2018",86.77,90.79,82.06,86.07,79.40,"33,096,500"
"Nov 01, 2018",84.31,87.85,82.08,87.06,79.46,"28,346,600"
"Oct 01, 2018",80.95,86.00,79.57,83.95,76.62,"35,792,900"
"Sep 01, 2018",83.55,85.81,78.99,81.13,74.05,"23,703,300"
"Aug 01, 2018",81.03,85.62,80.70,83.59,75.48,"35,605,800"
"Jul 01, 2018",81.09,82.78,77.59,81.28,73.39,"34,494,100"
"Jun 01, 2018",80.68,82.14,75.83,80.79,72.95,"52,111,400"
"May 01, 2018",81.62,82.63,75.45,80.91,72.24,"27,115,700"
"Apr 01, 2018",78.96,82.44,77.15,81.59,72.84,"26,640,900"
"Mar 01, 2018",75.87,80.15,75.57,78.78,70.34,"28,772,500"
"Feb 01, 2018",78.47,78.98,71.95,75.82,66.88,"28,619,400"
"Jan 01, 2018",81.71,82.96,76.55,78.69,69.41,"27,896,500"
"Dec 01, 2017",86.82,87.09,79.66,81.39,71.79,"29,423,900"
"Nov 01, 2017",86.32,87.95,84.85,86.48,75.50,"24,886,300"
"Oct 01, 2017",76.64,87.00,75.01,86.26,75.31,"32,451,500"
"Sep 01, 2017",79.37,80.49,75.98,76.36,66.66,"20,478,300"
"Aug 01, 2017",76.85,80.22,75.73,79.17,68.33,"24,274,400"
"Jul 01, 2017",77.06,77.19,74.83,76.72,66.22,"18,270,000"
"Jun 01, 2017",78.94,80.61,76.52,76.77,66.26,"22,984,200"
"May 01, 2017",76.33,79.48,74.88,79.06,67.47,"24,251,100"
"Apr 01, 2017",75.80,77.41,75.21,76.26,65.08,"24,036,500"
"Mar 01, 2017",75.85,77.51,72.79,75.96,64.82,"33,001,500"
"Feb 01, 2017",71.16,76.79,69.63,76.66,64.62,"25,865,000"
"Jan 01, 2017",73.50,73.89,70.02,71.64,60.39,"26,675,200"
"Dec 01, 2016",68.33,73.79,67.84,73.47,61.93,"29,997,100"
"Nov 01, 2016",73.54,73.71,66.71,68.73,57.23,"33,901,800"
"Oct 01, 2016",76.56,76.56,70.90,73.68,61.36,"33,453,500"
"Sep 01, 2016",78.15,81.83,75.99,76.73,63.90,"26,733,500"
"Aug 01, 2016",81.29,82.00,76.60,78.20,64.43,"24,147,500"
"Jul 01, 2016",81.43,82.09,79.29,81.39,67.05,"20,197,800"
"Jun 01, 2016",75.87,81.36,75.56,81.35,67.02,"30,142,800"
"May 01, 2016",75.32,77.90,72.67,75.92,61.85,"30,391,500"
"Apr 01, 2016",79.34,80.06,73.25,75.18,61.25,"37,420,900"
"Mar 01, 2016",72.70,79.72,70.61,79.28,64.59,"26,412,400"
"Feb 01, 2016",70.62,74.58,69.34,72.21,58.13,"29,596,200"
"Jan 01, 2016",67.91,71.57,65.38,70.58,56.82,"25,557,600"
"Dec 01, 2015",66.77,69.49,64.18,68.36,55.03,"31,996,200"
"Nov 01, 2015",67.75,69.93,64.11,66.63,52.94,"28,371,100"
"Oct 01, 2015",65.16,70.67,63.90,68.16,54.16,"26,956,900"
"Sep 01, 2015",64.46,65.46,61.27,65.10,51.73,"29,958,400"
"Aug 01, 2015",71.25,71.56,63.20,65.33,51.29,"38,592,400"
"Jul 01, 2015",70.66,74.09,69.15,71.02,55.75,"29,760,600"
"Jun 01, 2015",76.54,77.16,69.06,70.50,55.34,"33,826,100"
"May 01, 2015",77.20,78.46,73.50,76.47,59.38,"23,828,400"
"Apr 01, 2015",77.31,79.84,76.25,77.18,59.93,"21,261,600"
"Mar 01, 2015",79.18,79.39,73.88,77.49,60.17,"30,150,700"
"Feb 01, 2015",87.56,89.52,78.15,79.51,61.11,"30,753,100"
"Jan 01, 2015",87.48,90.33,85.17,87.51,67.25,"28,820,300"
"Dec 01, 2014",83.21,92.02,82.18,87.48,67.23,"39,884,700"
"Nov 01, 2014",84.30,84.44,80.04,83.90,63.83,"35,866,000"
"Oct 01, 2014",77.33,84.58,76.51,84.02,63.92,"38,820,400"
