,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",89.33,95.73,87.95,95.11,95.11,"20,405,900"
"Nov 01, 2020",89.69,93.00,85.01,89.37,88.85,"26,633,200"
"Oct 01, 2020",91.12,95.38,86.91,88.37,87.85,"20,907,200"
"Sep 01, 2020",88.74,95.12,86.23,90.52,89.99,"23,768,000"
"Aug 01, 2020",84.35,89.12,81.51,88.39,87.87,"23,316,700"
"Jul 01, 2020",76.70,84.90,75.10,84.51,84.02,"20,676,100"
"Jun 01, 2020",76.00,78.99,71.94,76.04,75.60,"28,775,800"
"May 01, 2020",71.00,76.50,69.54,76.37,75.40,"29,923,800"
"Apr 01, 2020",64.95,73.47,64.01,71.61,70.70,"31,614,800"
"Mar 01, 2020",70.44,73.17,52.55,66.72,65.87,"55,609,800"
"Feb 01, 2020",73.60,76.73,66.91,70.42,69.53,"31,730,200"
"Jan 01, 2020",78.62,81.64,72.35,73.04,72.11,"31,339,400"
"Dec 01, 2019",75.05,78.17,72.38,78.02,77.03,"22,640,100"
"Nov 01, 2019",73.54,81.15,72.76,74.76,73.32,"23,353,700"
"Oct 01, 2019",74.75,76.00,68.90,74.41,72.98,"19,463,100"
"Sep 01, 2019",70.60,76.80,69.83,74.29,72.86,"15,647,600"
"Aug 01, 2019",76.16,77.91,67.97,71.10,69.74,"23,145,100"
"Jul 01, 2019",76.99,77.20,71.37,76.35,74.88,"21,344,700"
"Jun 01, 2019",69.46,76.47,69.46,75.86,74.40,"21,963,700"
"May 01, 2019",79.32,79.32,68.87,69.59,67.77,"26,647,600"
"Apr 01, 2019",76.44,80.69,76.26,79.42,77.34,"19,340,900"
"Mar 01, 2019",75.43,77.49,73.05,75.90,73.91,"22,594,700"
"Feb 01, 2019",69.48,76.11,68.75,74.95,72.99,"21,072,600"
"Jan 01, 2019",66.77,69.81,64.56,69.30,67.49,"25,209,100"
"Dec 01, 2018",77.69,77.69,62.90,68.09,66.31,"27,071,900"
"Nov 01, 2018",67.16,77.25,66.61,76.09,73.66,"28,952,400"
"Oct 01, 2018",73.84,74.23,64.15,67.18,65.03,"28,700,400"
"Sep 01, 2018",73.17,76.64,71.89,73.53,71.18,"18,684,700"
"Aug 01, 2018",76.43,77.73,69.71,73.28,70.94,"27,770,800"
"Jul 01, 2018",72.63,76.57,71.08,76.17,73.74,"24,417,100"
"Jun 01, 2018",75.03,78.16,71.43,73.10,70.76,"30,667,500"
"May 01, 2018",63.94,75.66,61.69,74.48,71.67,"30,285,700"
"Apr 01, 2018",63.17,65.69,60.85,63.86,61.45,"22,637,600"
"Mar 01, 2018",64.89,65.45,60.80,63.30,60.91,"26,524,500"
"Feb 01, 2018",64.48,67.63,59.10,64.96,62.51,"30,527,600"
"Jan 01, 2018",66.25,67.54,60.89,64.95,62.50,"20,061,400"
"Dec 01, 2017",64.77,66.01,63.38,64.69,62.25,"20,268,100"
"Nov 01, 2017",58.67,65.41,56.45,64.78,61.93,"26,788,300"
"Oct 01, 2017",59.83,60.81,57.92,58.38,55.81,"17,598,900"
"Sep 01, 2017",56.32,60.30,56.23,59.86,57.23,"27,443,100"
"Aug 01, 2017",58.45,59.79,54.32,56.10,53.63,"47,231,600"
"Jul 01, 2017",56.76,59.90,56.06,58.88,56.29,"32,192,900"
"Jun 01, 2017",53.39,57.42,53.21,55.96,53.50,"33,373,800"
"May 01, 2017",56.16,56.30,51.96,53.38,50.63,"45,862,000"
"Apr 01, 2017",56.19,57.75,55.12,56.09,53.20,"22,160,100"
"Mar 01, 2017",56.79,57.35,55.13,56.62,53.70,"31,756,000"
"Feb 01, 2017",51.97,57.26,51.57,56.38,53.47,"22,523,100"
"Jan 01, 2017",53.47,54.04,51.78,52.08,49.39,"25,977,200"
"Dec 01, 2016",52.95,56.37,52.48,52.96,50.23,"29,166,000"
"Nov 01, 2016",51.67,53.11,47.23,52.74,49.64,"39,894,600"
"Oct 01, 2016",51.38,52.34,48.52,51.47,48.45,"24,634,600"
"Sep 01, 2016",50.94,51.90,49.87,51.52,48.49,"19,774,800"
"Aug 01, 2016",49.49,52.58,49.29,50.65,47.67,"24,243,800"
"Jul 01, 2016",49.05,50.58,48.41,49.43,46.53,"19,799,700"
"Jun 01, 2016",48.56,50.19,46.48,49.04,46.16,"29,112,200"
"May 01, 2016",49.53,50.63,46.74,48.55,45.32,"42,618,800"
"Apr 01, 2016",48.48,50.49,46.82,49.61,46.31,"25,107,600"
"Mar 01, 2016",46.09,49.56,45.64,48.81,45.57,"32,212,000"
"Feb 01, 2016",44.94,47.46,43.61,45.78,42.74,"32,387,000"
"Jan 01, 2016",44.35,45.25,40.41,45.12,42.12,"43,106,000"
"Dec 01, 2015",48.67,49.18,44.73,45.10,42.10,"62,537,200"
"Nov 01, 2015",50.06,50.86,47.59,49.08,45.48,"30,109,400"
"Oct 01, 2015",47.20,51.80,46.86,50.11,46.44,"43,818,600"
"Sep 01, 2015",47.92,50.07,45.36,47.05,43.60,"64,249,900"
"Aug 01, 2015",46.77,50.08,44.58,48.97,45.38,"44,607,800"
"Jul 01, 2015",46.56,47.24,43.92,46.87,43.43,"28,884,500"
"Jun 01, 2015",45.95,48.67,45.84,46.11,42.73,"51,342,900"
"May 01, 2015",45.95,49.11,45.72,45.84,42.15,"25,548,800"
"Apr 01, 2015",48.00,48.22,45.27,45.83,42.15,"21,241,600"
"Mar 01, 2015",48.13,49.51,47.07,48.18,44.31,"23,936,000"
"Feb 01, 2015",43.90,49.02,43.38,48.30,44.42,"21,893,700"
"Jan 01, 2015",44.99,45.50,42.17,43.68,40.17,"26,714,700"
"Dec 01, 2014",46.75,46.80,41.97,44.61,41.02,"31,966,900"
"Nov 01, 2014",42.69,47.24,42.10,46.82,42.75,"24,435,200"
"Oct 01, 2014",40.50,42.73,38.14,42.66,38.95,"33,523,200"
"Sep 01, 2014",41.34,43.18,40.50,40.58,37.05,"27,006,600"
"Aug 01, 2014",43.25,43.91,39.97,41.30,37.71,"32,839,400"
"Jul 01, 2014",44.16,45.78,43.16,43.18,39.43,"22,406,700"
"Jun 01, 2014",45.58,46.17,43.68,44.16,40.32,"28,425,500"
"May 01, 2014",41.30,46.80,40.61,45.51,41.27,"38,408,900"
"Apr 01, 2014",39.67,41.32,38.54,41.24,37.40,"28,678,800"
"Mar 01, 2014",39.29,40.36,38.42,39.63,35.94,"40,010,000"
"Feb 01, 2014",40.84,42.77,38.70,39.51,35.83,"33,616,700"
"Jan 01, 2014",44.31,45.69,40.54,40.86,37.05,"23,704,900"
"Dec 01, 2013",43.91,44.48,42.28,44.25,40.12,"19,722,300"
