,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",24.10,26.83,23.07,26.02,26.02,"366,765,300"
"Nov 01, 2020",17.71,24.08,17.58,23.39,23.39,"411,349,600"
"Oct 01, 2020",15.70,18.68,15.22,17.34,17.34,"400,732,500"
"Sep 01, 2020",15.69,17.50,14.67,15.64,15.64,"452,448,000"
"Aug 01, 2020",13.15,15.89,12.44,15.61,15.61,"368,329,900"
"Jul 01, 2020",11.64,13.87,11.24,12.92,12.92,"492,090,300"
"Jun 01, 2020",9.05,11.68,9.01,11.57,11.57,"473,804,900"
"May 01, 2020",8.48,9.46,7.81,9.07,9.07,"444,841,600"
"Apr 01, 2020",6.35,9.48,6.14,8.83,8.83,"579,176,500"
"Mar 01, 2020",10.04,10.80,4.82,6.75,6.75,"790,444,900"
"Feb 01, 2020",11.19,12.86,9.20,9.96,9.96,"554,990,100"
"Jan 01, 2020",13.35,13.64,10.83,11.10,11.06,"556,556,100"
"Dec 01, 2019",11.37,13.38,10.70,13.12,13.07,"428,537,300"
"Nov 01, 2019",9.96,11.86,9.92,11.38,11.34,"451,106,000"
"Oct 01, 2019",9.55,10.38,8.43,9.82,9.73,"599,769,100"
"Sep 01, 2019",9.00,10.97,8.88,9.57,9.48,"428,130,700"
"Aug 01, 2019",10.89,11.07,8.58,9.19,9.10,"437,031,100"
"Jul 01, 2019",11.39,12.07,10.60,11.06,10.91,"395,309,800"
"Jun 01, 2019",9.74,11.79,9.66,11.61,11.45,"400,146,900"
"May 01, 2019",12.19,12.25,9.47,9.71,9.58,"437,577,700"
"Apr 01, 2019",13.16,14.68,12.15,12.31,12.10,"458,115,100"
"Mar 01, 2019",12.98,13.20,11.78,12.89,12.67,"320,020,700"
"Feb 01, 2019",11.56,13.86,11.40,12.90,12.68,"420,315,900"
"Jan 01, 2019",10.01,12.65,9.84,11.64,11.39,"603,680,700"
"Dec 01, 2018",12.45,12.67,9.60,10.31,10.09,"405,348,700"
"Nov 01, 2018",11.86,12.69,10.71,11.94,11.68,"360,494,100"
"Oct 01, 2018",13.81,14.28,10.59,11.65,11.35,"527,457,500"
"Sep 01, 2018",13.63,14.90,12.18,13.92,13.57,"385,041,200"
"Aug 01, 2018",16.12,16.16,13.28,14.05,13.69,"363,649,000"
"Jul 01, 2018",17.02,18.14,15.06,16.50,16.04,"401,101,000"
"Jun 01, 2018",17.17,18.38,15.46,17.26,16.77,"320,049,900"
"May 01, 2018",15.12,17.78,14.64,16.90,16.42,"349,400,300"
"Apr 01, 2018",17.57,19.70,15.12,15.21,14.74,"415,140,100"
"Mar 01, 2018",18.75,19.24,16.51,17.57,17.03,"311,626,700"
"Feb 01, 2018",19.45,19.74,16.64,18.60,18.03,"430,674,800"
"Jan 01, 2018",19.05,20.25,18.85,19.50,18.90,"443,938,000"
"Dec 01, 2017",13.94,19.45,13.81,18.96,18.38,"398,760,600"
"Nov 01, 2017",14.40,14.98,13.22,13.92,13.49,"289,164,600"
"Oct 01, 2017",13.98,15.59,13.84,13.98,13.55,"382,385,300"
"Sep 01, 2017",14.93,15.38,13.65,14.04,13.61,"354,232,900"
"Aug 01, 2017",14.60,15.75,13.82,14.78,14.32,"445,536,000"
"Jul 01, 2017",12.08,15.27,11.71,14.62,14.17,"420,379,900"
"Jun 01, 2017",11.47,12.61,11.05,12.01,11.64,"397,533,700"
"May 01, 2017",12.78,12.89,11.06,11.49,11.14,"421,127,100"
"Apr 01, 2017",13.50,13.83,12.03,12.75,12.36,"407,473,400"
"Mar 01, 2017",13.78,14.00,11.91,13.36,12.95,"521,005,300"
"Feb 01, 2017",16.63,16.89,13.16,13.40,12.99,"610,530,800"
"Jan 01, 2017",13.49,17.06,13.41,16.65,16.14,"625,039,900"
"Dec 01, 2016",15.50,16.08,13.13,13.19,12.78,"564,510,800"
"Nov 01, 2016",11.31,16.42,10.50,15.35,14.88,"878,387,000"
"Oct 01, 2016",10.98,11.20,9.24,11.18,10.84,"587,835,500"
"Sep 01, 2016",10.32,11.14,9.43,10.86,10.53,"651,154,600"
"Aug 01, 2016",13.01,13.04,10.18,10.29,9.97,"583,415,200"
"Jul 01, 2016",11.04,13.59,10.27,12.96,12.56,"715,205,100"
"Jun 01, 2016",11.08,11.93,9.82,11.14,10.80,"837,498,400"
"May 01, 2016",14.03,14.04,10.22,11.08,10.74,"941,417,800"
"Apr 01, 2016",9.92,14.06,8.76,14.00,13.57,"1,036,278,000"
"Mar 01, 2016",7.84,11.45,7.26,10.34,10.02,"1,159,746,200"
"Feb 01, 2016",4.50,7.97,4.26,7.63,7.39,"1,142,944,100"
"Jan 01, 2016",6.60,6.76,3.52,4.60,4.46,"1,379,036,500"
"Dec 01, 2015",8.25,8.41,6.08,6.77,6.56,"1,067,020,000"
"Nov 01, 2015",11.79,12.75,7.94,8.18,7.93,"666,121,500"
"Oct 01, 2015",9.91,14.20,9.51,11.77,11.36,"752,401,300"
"Sep 01, 2015",10.11,12.59,8.62,9.69,9.35,"952,140,800"
"Aug 01, 2015",11.64,11.87,7.76,10.64,10.27,"904,754,800"
"Jul 01, 2015",18.58,18.84,11.16,11.75,11.23,"629,486,900"
"Jun 01, 2015",19.75,21.17,18.51,18.62,17.80,"324,089,500"
"May 01, 2015",23.38,23.97,19.65,19.65,18.79,"307,318,200"
"Apr 01, 2015",19.10,23.66,18.11,23.27,22.19,"421,356,100"
"Mar 01, 2015",21.63,21.63,17.02,18.95,18.07,"445,081,400"
"Feb 01, 2015",16.98,21.90,16.81,21.63,20.62,"370,228,000"
"Jan 01, 2015",23.35,23.72,16.43,16.81,15.81,"456,617,300"
"Dec 01, 2014",26.71,26.89,20.94,23.36,21.97,"374,111,300"
"Nov 01, 2014",28.70,29.92,26.64,26.85,25.25,"236,039,600"
"Oct 01, 2014",32.80,32.91,27.72,28.50,26.54,"330,241,200"
"Sep 01, 2014",36.04,36.22,32.29,32.65,30.40,"176,408,800"
"Aug 01, 2014",37.12,37.53,35.63,36.37,33.87,"144,255,900"
"Jul 01, 2014",36.88,39.32,36.83,37.22,34.38,"230,642,100"
"Jun 01, 2014",34.32,36.51,33.39,36.50,33.71,"160,375,200"
"May 01, 2014",34.22,35.88,33.43,34.05,31.45,"170,539,000"
"Apr 01, 2014",33.01,34.48,32.35,34.37,31.45,"186,689,500"
"Mar 01, 2014",32.71,34.21,30.38,33.07,30.26,"262,780,800"
"Feb 01, 2014",32.42,34.10,30.51,32.62,29.84,"205,624,600"
"Jan 01, 2014",37.69,38.09,31.93,32.41,29.40,"269,854,300"
