,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",293.56,305.66,257.51,259.62,258.37,"75,897,400"
"Nov 01, 2020",262.70,296.08,256.35,286.58,285.20,"51,156,700"
"Oct 01, 2020",255.26,293.30,250.00,259.47,258.22,"59,365,700"
"Sep 01, 2020",219.99,259.95,217.40,251.52,249.59,"89,344,800"
"Aug 01, 2020",169.55,224.20,168.53,219.84,218.16,"68,511,200"
"Jul 01, 2020",158.85,174.50,153.66,168.40,167.11,"71,875,800"
"Jun 01, 2020",129.05,149.99,127.29,140.22,138.48,"56,069,100"
"May 01, 2020",124.52,133.91,103.40,130.56,128.94,"52,082,600"
"Apr 01, 2020",116.01,131.80,107.69,126.77,125.20,"58,037,100"
"Mar 01, 2020",142.18,142.52,88.69,121.26,119.16,"87,903,300"
"Feb 01, 2020",145.50,165.25,134.06,141.17,138.72,"52,599,600"
"Jan 01, 2020",152.42,164.50,143.36,144.64,142.13,"54,891,000"
"Dec 01, 2019",160.46,168.37,146.24,151.21,147.96,"83,639,800"
"Nov 01, 2019",154.16,167.59,151.55,160.05,156.61,"39,146,400"
"Oct 01, 2019",145.59,160.39,137.78,152.66,149.38,"57,242,300"
"Sep 01, 2019",155.79,176.25,142.49,145.57,141.88,"73,771,200"
"Aug 01, 2019",170.16,171.47,147.82,158.61,154.59,"39,786,800"
"Jul 01, 2019",168.02,178.50,158.69,170.53,166.21,"44,560,100"
"Jun 01, 2019",151.16,169.54,150.68,164.19,159.41,"54,976,800"
"May 01, 2019",189.73,190.58,153.79,154.28,149.79,"42,533,100"
"Apr 01, 2019",182.27,199.32,182.22,189.46,183.94,"36,377,900"
"Mar 01, 2019",182.02,185.31,167.61,181.41,175.46,"50,445,300"
"Feb 01, 2019",178.30,187.04,173.77,181.00,175.07,"33,895,100"
"Jan 01, 2019",158.52,179.19,156.96,177.57,171.75,"46,269,700"
"Dec 01, 2018",232.66,234.49,150.94,161.33,155.57,"82,428,200"
"Nov 01, 2018",221.00,231.85,218.35,229.00,220.83,"27,046,900"
"Oct 01, 2018",242.48,243.55,207.90,220.34,212.47,"40,076,300"
"Sep 01, 2018",243.90,259.25,237.51,240.79,231.58,"40,372,500"
