,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",117.48,122.29,111.48,114.93,113.95,"11,841,700"
"Nov 01, 2020",104.63,119.27,102.52,116.01,115.02,"12,622,600"
"Oct 01, 2020",106.36,111.08,100.86,102.74,101.87,"14,133,300"
"Sep 01, 2020",106.93,113.73,102.63,105.91,104.57,"13,235,600"
"Aug 01, 2020",106.99,112.45,104.59,106.86,105.51,"12,940,800"
"Jul 01, 2020",100.28,108.74,96.05,106.05,104.71,"14,091,200"
"Jun 01, 2020",98.22,105.76,93.52,99.62,97.92,"16,909,900"
"May 01, 2020",90.10,98.69,85.58,98.41,96.73,"15,570,400"
"Apr 01, 2020",78.03,95.72,70.50,91.90,90.33,"21,402,300"
"Mar 01, 2020",93.60,99.41,56.77,81.69,79.83,"32,113,600"
"Feb 01, 2020",96.07,108.77,88.70,93.10,90.98,"19,106,400"
"Jan 01, 2020",100.37,101.44,92.70,95.59,93.42,"18,110,500"
"Dec 01, 2019",98.03,101.95,95.91,99.82,97.12,"16,471,600"
"Nov 01, 2019",92.16,99.34,91.87,97.96,95.32,"17,523,800"
"Oct 01, 2019",87.97,93.00,78.90,91.50,89.03,"20,446,500"
"Sep 01, 2019",85.37,92.13,84.06,87.68,84.92,"18,511,400"
"Aug 01, 2019",85.43,90.00,80.38,86.33,83.61,"20,013,000"
"Jul 01, 2019",84.14,87.99,81.10,86.42,83.70,"17,767,700"
"Jun 01, 2019",73.67,83.84,73.58,82.95,79.96,"24,093,500"
"May 01, 2019",79.00,80.40,70.62,73.45,70.80,"31,575,900"
"Apr 01, 2019",77.65,81.80,77.41,79.06,76.21,"18,126,300"
"Mar 01, 2019",77.62,79.95,73.96,76.82,73.65,"22,488,800"
"Feb 01, 2019",73.97,78.02,69.90,77.62,74.42,"24,141,700"
"Jan 01, 2019",63.09,70.54,62.81,69.21,66.36,"20,588,600"
"Dec 01, 2018",73.63,75.46,60.16,64.15,61.17,"22,959,500"
"Nov 01, 2018",68.72,73.72,67.88,71.76,68.43,"34,542,200"
"Oct 01, 2018",76.12,80.45,64.38,67.72,64.57,"32,176,100"
"Sep 01, 2018",73.22,78.98,70.26,75.61,71.97,"22,035,200"
"Aug 01, 2018",77.95,79.35,71.52,74.11,70.54,"25,958,200"
"Jul 01, 2018",76.79,78.99,74.14,77.95,74.20,"23,010,300"
"Jun 01, 2018",75.89,79.24,74.10,77.37,73.50,"31,334,900"
"May 01, 2018",68.73,80.62,67.96,75.53,71.76,"38,518,000"
"Apr 01, 2018",66.71,72.44,63.92,69.15,65.69,"31,979,700"
"Mar 01, 2018",68.07,73.49,63.08,66.41,62.95,"36,854,700"
"Feb 01, 2018",78.90,79.47,68.07,68.07,64.52,"35,778,100"
"Jan 01, 2018",82.72,85.60,75.54,79.21,75.09,"33,452,600"
"Dec 01, 2017",81.96,83.28,75.94,82.10,77.69,"23,479,200"
"Nov 01, 2017",81.39,82.61,75.99,81.87,77.48,"28,085,200"
"Oct 01, 2017",77.46,82.46,76.35,80.54,76.21,"23,493,900"
"Sep 01, 2017",75.18,81.04,74.08,77.46,73.16,"29,614,500"
"Aug 01, 2017",66.49,76.49,65.71,74.78,70.63,"31,412,400"
"Jul 01, 2017",63.85,67.91,63.01,66.24,62.57,"17,748,100"
"Jun 01, 2017",65.44,67.11,61.95,63.36,59.71,"27,834,100"
"May 01, 2017",63.62,65.93,60.65,65.37,61.60,"35,694,200"
"Apr 01, 2017",61.58,65.85,60.55,63.51,59.85,"45,261,900"
"Mar 01, 2017",50.64,62.48,50.54,60.36,56.73,"45,857,800"
"Feb 01, 2017",52.37,52.84,49.03,49.97,46.97,"32,631,500"
"Jan 01, 2017",49.64,54.50,48.93,52.18,49.04,"21,808,400"
"Dec 01, 2016",49.09,52.04,48.39,49.05,45.97,"17,539,400"
"Nov 01, 2016",40.97,48.77,39.82,48.67,45.61,"32,906,600"
"Oct 01, 2016",41.81,42.23,39.70,40.67,38.11,"16,241,700"
"Sep 01, 2016",40.76,42.61,38.51,41.93,39.16,"26,035,400"
"Aug 01, 2016",41.19,42.39,39.58,40.71,38.02,"23,500,900"
"Jul 01, 2016",40.08,42.66,37.52,41.23,38.51,"25,255,600"
"Jun 01, 2016",41.19,43.86,36.25,40.16,37.37,"38,596,200"
"May 01, 2016",37.51,42.33,37.07,41.19,38.32,"46,381,500"
"Apr 01, 2016",34.61,38.46,31.85,37.52,34.91,"32,800,500"
"Mar 01, 2016",33.05,36.45,32.58,35.01,32.44,"29,145,600"
"Feb 01, 2016",30.57,34.03,27.96,32.65,30.25,"31,274,700"
"Jan 01, 2016",32.79,33.43,29.01,30.98,28.71,"31,090,700"
"Dec 01, 2015",37.44,37.44,31.60,33.94,31.32,"31,740,500"
"Nov 01, 2015",35.38,37.61,33.88,37.27,34.39,"28,126,000"
"Oct 01, 2015",29.49,35.98,28.87,35.31,32.58,"57,041,200"
"Sep 01, 2015",35.78,37.28,28.26,29.41,27.01,"48,023,000"
"Aug 01, 2015",42.11,43.61,34.22,36.70,33.70,"31,315,400"
"Jul 01, 2015",45.74,45.74,40.82,42.10,38.66,"20,399,900"
"Jun 01, 2015",49.70,49.96,44.39,45.58,41.72,"22,711,000"
"May 01, 2015",51.68,53.00,49.25,49.58,45.39,"24,433,200"
