,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",151.04,156.14,146.29,148.82,147.75,"29,813,900"
"Nov 01, 2020",133.37,155.22,132.57,149.35,148.27,"29,339,400"
"Oct 01, 2020",138.89,146.97,129.17,131.33,129.39,"31,704,200"
"Sep 01, 2020",147.80,156.56,135.16,138.43,136.39,"24,263,300"
"Aug 01, 2020",145.66,160.84,144.32,149.35,147.15,"23,660,200"
"Jul 01, 2020",149.00,153.26,137.82,146.74,143.51,"25,811,500"
"Jun 01, 2020",146.75,168.33,143.68,149.46,146.17,"34,498,400"
"May 01, 2020",129.16,152.45,121.67,146.83,143.60,"42,755,100"
"Apr 01, 2020",126.71,142.46,124.70,130.62,126.70,"41,954,800"
"Mar 01, 2020",160.56,170.19,100.55,132.31,128.34,"65,950,400"
"Feb 01, 2020",177.16,190.08,155.47,159.69,154.90,"33,990,300"
"Jan 01, 2020",177.45,185.81,174.79,175.44,169.22,"30,399,400"
"Dec 01, 2019",182.03,183.93,175.32,176.35,170.10,"27,273,300"
"Nov 01, 2019",178.03,187.92,176.97,181.74,175.30,"23,225,000"
"Oct 01, 2019",183.84,184.54,172.01,176.80,169.55,"27,993,600"
"Sep 01, 2019",190.04,193.76,182.54,182.73,175.24,"30,254,800"
"Aug 01, 2019",185.59,192.22,175.03,191.27,183.43,"21,497,700"
"Jul 01, 2019",183.33,190.16,179.12,185.94,177.32,"23,563,100"
"Jun 01, 2019",161.37,182.08,161.03,181.82,173.40,"21,905,600"
"May 01, 2019",179.12,179.93,160.21,160.82,153.37,"30,397,200"
"Apr 01, 2019",170.25,193.11,166.75,178.72,169.41,"28,081,800"
"Mar 01, 2019",171.00,173.48,163.93,169.28,160.46,"27,738,900"
"Feb 01, 2019",171.38,175.47,168.23,170.22,161.36,"25,461,000"
"Jan 01, 2019",155.32,176.16,152.44,171.17,161.33,"31,926,700"
"Dec 01, 2018",187.06,187.47,143.87,157.21,148.18,"41,153,500"
"Nov 01, 2018",173.27,185.81,173.19,184.89,174.27,"32,974,500"
"Oct 01, 2018",206.00,207.72,164.76,172.58,161.93,"39,539,300"
"Sep 01, 2018",192.48,206.38,191.40,204.72,192.08,"21,571,600"
"Aug 01, 2018",199.39,199.89,190.48,193.40,181.46,"26,075,500"
"Jul 01, 2018",185.19,204.06,184.65,199.76,186.51,"31,235,200"
"Jun 01, 2018",203.70,204.67,184.21,186.41,174.05,"33,140,400"
"May 01, 2018",201.15,208.88,191.00,201.71,188.33,"33,589,300"
"Apr 01, 2018",220.51,229.74,201.24,201.31,187.15,"38,322,100"
"Mar 01, 2018",222.98,230.00,216.70,220.90,205.36,"28,547,400"
"Feb 01, 2018",222.39,227.82,203.90,222.45,206.80,"35,195,500"
"Jan 01, 2018",203.54,229.54,199.50,222.48,206.00,"37,462,700"
"Dec 01, 2017",207.11,207.18,195.69,203.45,188.38,"23,918,200"
