,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",60.70,61.84,58.10,58.80,58.29,"71,732,800"
"Nov 01, 2020",59.79,62.36,57.24,60.82,60.29,"66,106,700"
"Oct 01, 2020",61.81,63.29,58.67,59.12,58.12,"60,326,000"
"Sep 01, 2020",63.92,65.52,56.92,61.68,60.64,"81,312,200"
"Aug 01, 2020",63.82,66.14,62.01,63.95,62.87,"46,433,700"
"Jul 01, 2020",60.48,65.48,59.67,63.27,61.72,"88,250,800"
"Jun 01, 2020",62.93,64.00,58.96,61.65,60.14,"104,050,900"
"May 01, 2020",59.50,64.31,58.48,63.04,61.49,"65,108,700"
"Apr 01, 2020",51.74,61.66,51.51,59.89,57.91,"89,502,300"
"Mar 01, 2020",49.21,60.00,46.88,52.77,51.03,"181,315,800"
"Feb 01, 2020",52.61,55.18,46.59,49.00,47.38,"76,937,900"
"Jan 01, 2020",53.63,54.57,51.82,52.22,50.03,"74,391,500"
"Dec 01, 2019",53.10,53.99,51.27,53.56,51.31,"84,374,500"
"Nov 01, 2019",50.99,53.72,50.92,53.32,51.08,"47,722,400"
"Oct 01, 2019",55.13,55.43,49.97,50.86,48.29,"76,512,300"
"Sep 01, 2019",53.78,56.40,53.39,55.12,52.33,"75,422,700"
"Aug 01, 2019",53.33,55.43,51.25,53.80,51.08,"75,489,300"
"Jul 01, 2019",52.89,54.74,52.01,53.11,49.97,"81,474,800"
"Jun 01, 2019",49.43,54.39,48.57,52.52,49.41,"91,748,900"
"May 01, 2019",51.56,53.66,47.78,49.44,46.51,"91,116,900"
"Apr 01, 2019",51.74,52.17,50.02,51.47,47.96,"76,249,100"
"Mar 01, 2019",47.25,51.96,46.19,51.75,48.22,"98,184,700"
"Feb 01, 2019",44.70,47.32,42.80,47.13,43.92,"90,775,700"
"Jan 01, 2019",38.82,44.47,38.12,44.44,40.92,"116,222,900"
"Dec 01, 2018",42.06,42.34,36.42,38.94,35.85,"158,902,400"
"Nov 01, 2018",43.95,46.33,41.37,42.31,38.95,"99,910,300"
"Oct 01, 2018",42.97,45.56,42.44,43.80,39.88,"103,638,700"
"Sep 01, 2018",46.00,48.11,42.61,42.92,39.08,"105,708,800"
"Aug 01, 2018",46.05,47.77,44.40,46.01,41.89,"86,415,500"
"Jul 01, 2018",44.02,46.36,42.65,46.06,41.48,"95,584,300"
"Jun 01, 2018",42.39,47.14,41.82,44.26,39.86,"136,803,300"
"May 01, 2018",43.88,43.93,41.01,42.29,38.09,"110,873,300"
"Apr 01, 2018",45.00,45.98,43.18,43.74,38.97,"117,361,400"
"Mar 01, 2018",50.60,52.87,43.96,45.06,40.15,"165,903,500"
"Feb 01, 2018",58.90,59.01,50.27,50.55,45.04,"95,741,300"
"Jan 01, 2018",59.43,60.69,57.73,58.49,51.69,"68,073,600"
"Dec 01, 2017",56.51,60.59,55.29,59.29,52.39,"88,337,200"
"Nov 01, 2017",51.98,56.96,49.65,56.56,49.98,"79,095,900"
"Oct 01, 2017",51.57,52.82,50.13,51.92,45.45,"81,410,600"
"Sep 01, 2017",53.26,56.54,50.40,51.76,45.31,"93,828,400"
"Aug 01, 2017",55.64,57.84,52.76,53.26,46.62,"90,499,000"
"Jul 01, 2017",55.29,55.87,53.24,55.66,48.29,"78,836,500"
"Jun 01, 2017",56.89,59.58,54.89,55.40,48.06,"91,035,400"
"May 01, 2017",57.56,60.21,55.57,56.74,49.22,"91,889,200"
"Apr 01, 2017",59.05,59.22,57.14,57.51,49.48,"52,893,100"
"Mar 01, 2017",60.78,61.34,58.59,59.01,50.77,"79,355,600"
"Feb 01, 2017",62.32,63.73,58.70,60.37,51.94,"66,714,200"
"Jan 01, 2017",62.09,63.11,60.27,62.48,53.34,"51,754,800"
"Dec 01, 2016",60.92,64.06,60.37,61.77,52.74,"56,224,700"
"Nov 01, 2016",62.16,63.93,60.55,60.94,52.03,"69,352,700"
"Oct 01, 2016",63.76,64.02,60.44,61.98,52.51,"67,712,800"
"Sep 01, 2016",70.67,71.33,63.15,63.88,54.12,"78,517,600"
"Aug 01, 2016",71.98,72.15,69.23,70.82,60.00,"67,590,500"
"Jul 01, 2016",71.19,72.95,70.40,71.89,60.51,"70,364,300"
"Jun 01, 2016",62.77,71.78,62.65,71.32,60.03,"74,196,700"
"May 01, 2016",61.59,65.11,61.21,62.78,52.84,"58,239,900"
"Apr 01, 2016",62.90,65.49,60.04,61.34,51.26,"73,121,100"
"Mar 01, 2016",59.25,63.73,58.70,63.35,52.94,"86,058,200"
"Feb 01, 2016",56.56,60.18,54.84,58.85,49.18,"65,426,100"
"Jan 01, 2016",56.84,57.91,53.53,56.51,46.85,"78,473,200"
"Dec 01, 2015",58.20,59.33,56.23,57.66,47.81,"78,426,900"
"Nov 01, 2015",58.18,58.61,55.73,57.76,47.89,"55,882,300"
"Oct 01, 2015",55.89,59.36,55.29,58.11,47.42,"65,520,700"
"Sep 01, 2015",55.85,58.44,55.14,56.13,45.81,"94,743,000"
"Aug 01, 2015",58.29,59.87,47.50,56.76,46.32,"65,596,000"
"Jul 01, 2015",55.12,58.53,54.13,58.21,47.14,"79,170,000"
"Jun 01, 2015",56.32,57.06,54.14,55.72,45.13,"58,565,600"
"May 01, 2015",55.51,57.25,54.94,56.15,45.47,"38,872,800"
"Apr 01, 2015",56.39,57.73,55.11,55.34,44.47,"53,216,800"
"Mar 01, 2015",53.61,57.25,51.43,56.60,45.48,"77,305,300"
"Feb 01, 2015",52.65,53.84,51.90,53.79,43.22,"51,270,400"
"Jan 01, 2015",53.10,55.59,51.90,52.48,41.84,"71,606,300"
"Dec 01, 2014",52.53,54.61,51.08,53.33,42.52,"66,498,300"
"Nov 01, 2014",52.00,53.44,50.43,52.75,42.06,"52,778,500"
