,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",94.93,97.17,89.92,94.96,94.58,"8,993,000"
"Nov 01, 2020",82.53,97.60,81.66,93.10,92.73,"8,806,100"
"Oct 01, 2020",79.79,87.75,77.71,81.09,80.58,"10,135,300"
"Sep 01, 2020",81.86,85.99,75.39,79.90,79.40,"11,327,600"
"Aug 01, 2020",79.84,87.51,78.56,82.48,81.96,"8,375,000"
"Jul 01, 2020",74.60,81.26,69.47,79.60,78.89,"12,098,900"
"Jun 01, 2020",77.33,88.53,70.19,74.23,73.57,"14,107,400"
"May 01, 2020",80.80,81.06,62.75,77.02,76.34,"15,014,900"
"Apr 01, 2020",68.07,86.41,63.08,82.34,81.38,"14,321,400"
"Mar 01, 2020",93.16,96.81,56.74,71.97,71.13,"20,488,200"
"Feb 01, 2020",105.21,111.43,90.27,92.66,91.58,"8,827,600"
"Jan 01, 2020",105.33,107.37,102.66,104.26,102.87,"9,340,400"
"Dec 01, 2019",103.31,107.28,100.23,105.25,103.85,"9,646,200"
"Nov 01, 2019",97.64,103.53,97.17,102.76,101.39,"9,111,300"
"Oct 01, 2019",96.26,97.81,90.67,96.47,95.01,"9,283,000"
"Sep 01, 2019",88.25,96.92,87.11,95.76,94.31,"8,821,700"
"Aug 01, 2019",91.10,91.19,83.67,88.10,86.76,"10,593,600"
"Jul 01, 2019",90.07,93.26,89.99,91.32,89.76,"9,960,600"
"Jun 01, 2019",85.43,89.72,85.31,89.46,87.94,"8,951,200"
"May 01, 2019",87.57,89.41,85.33,85.51,84.05,"9,466,000"
"Apr 01, 2019",82.42,91.28,82.42,87.66,85.99,"10,650,700"
"Mar 01, 2019",83.11,84.65,80.14,81.95,80.39,"11,281,600"
"Feb 01, 2019",84.01,84.51,79.70,82.56,80.99,"9,244,600"
"Jan 01, 2019",73.71,83.89,73.52,83.76,81.99,"11,344,900"
"Dec 01, 2018",87.09,89.24,69.68,74.53,72.96,"14,214,600"
"Nov 01, 2018",85.14,88.19,84.41,86.41,84.59,"11,461,700"
"Oct 01, 2018",87.22,89.62,80.34,84.66,82.72,"15,072,200"
"Sep 01, 2018",87.81,89.46,81.80,86.69,84.70,"10,681,300"
"Aug 01, 2018",88.49,89.59,85.72,87.92,85.91,"8,212,500"
"Jul 01, 2018",81.01,88.72,80.90,88.07,85.89,"10,406,400"
"Jun 01, 2018",85.87,86.67,80.66,81.41,79.39,"12,990,200"
"May 01, 2018",86.48,87.27,82.59,84.83,82.73,"10,132,600"
"Apr 01, 2018",84.20,88.25,81.19,86.74,84.43,"12,939,400"
"Mar 01, 2018",85.45,87.74,80.78,84.17,81.93,"14,358,800"
"Feb 01, 2018",90.86,91.40,80.43,85.37,83.09,"15,273,000"
"Jan 01, 2018",0.10,93.60,0.10,90.85,88.28,"11,738,600"
"Dec 01, 2017",89.09,91.29,0.10,90.71,88.15,"10,336,300"
"Nov 01, 2017",84.54,90.32,0.10,88.85,86.34,"10,289,800"
"Oct 01, 2017",80.17,86.50,79.79,84.13,81.60,"8,432,800"
"Sep 01, 2017",77.28,80.30,0.06,80.09,77.68,"8,157,600"
"Aug 01, 2017",79.30,79.90,76.25,76.97,74.65,"8,774,100"
"Jul 01, 2017",77.06,79.37,0.09,78.97,76.59,"7,153,300"
"Jun 01, 2017",75.73,77.91,74.54,76.50,74.05,"11,273,700"
"May 01, 2017",77.07,77.76,0.09,75.50,73.08,"9,754,300"
"Apr 01, 2017",77.15,78.00,0.10,76.71,74.26,"9,904,500"
"Mar 01, 2017",78.48,79.53,75.35,77.04,74.43,"11,077,200"
"Feb 01, 2017",74.09,77.86,0.01,77.53,74.90,"8,077,400"
"Jan 01, 2017",0.04,75.24,0.01,73.54,70.91,"8,542,900"
"Dec 01, 2016",70.57,75.07,0.04,73.76,71.12,"10,600,000"
"Nov 01, 2016",63.72,71.49,0.04,70.09,67.59,"12,428,300"
"Oct 01, 2016",63.64,65.04,62.96,63.41,61.01,"9,851,800"
"Sep 01, 2016",64.84,65.60,0.03,63.89,61.47,"10,183,300"
"Aug 01, 2016",62.00,64.74,60.49,64.68,62.23,"11,351,900"
"Jul 01, 2016",61.62,63.10,0.03,61.87,59.53,"11,921,200"
"Jun 01, 2016",61.03,62.39,57.49,61.82,59.34,"14,149,300"
"May 01, 2016",58.18,61.71,0.03,61.63,59.16,"14,099,600"
"Apr 01, 2016",53.99,58.89,52.46,57.89,55.57,"10,759,100"
"Mar 01, 2016",51.62,56.41,0.05,54.16,51.85,"14,235,200"
"Feb 01, 2016",53.92,54.62,0.05,51.22,49.04,"18,672,900"
"Jan 01, 2016",0.05,57.19,0.05,54.34,51.90,"16,033,500"
"Dec 01, 2015",60.98,61.42,0.05,57.16,54.60,"14,615,200"
"Nov 01, 2015",58.18,61.02,0.05,60.62,57.90,"11,061,700"
"Oct 01, 2015",56.50,59.19,55.01,58.01,55.41,"16,307,100"
"Sep 01, 2015",57.31,58.78,0.05,56.40,53.74,"15,440,000"
"Aug 01, 2015",61.71,63.26,55.59,58.46,55.70,"16,246,400"
"Jul 01, 2015",59.10,62.66,0.10,61.61,58.71,"14,752,100"
"Jun 01, 2015",57.34,59.34,56.78,58.22,55.35,"16,499,200"
"May 01, 2015",56.43,58.16,0.09,57.07,54.25,"12,791,300"
"Apr 01, 2015",54.85,56.88,0.09,56.11,53.34,"12,543,300"
"Mar 01, 2015",53.25,56.19,53.12,54.92,52.08,"16,054,800"
"Feb 01, 2015",50.05,54.36,0.05,53.25,50.50,"13,960,600"
"Jan 01, 2015",5.75,54.60,0.05,50.07,47.48,"12,962,200"
"Dec 01, 2014",53.54,55.88,5.70,54.17,51.25,"16,810,000"
"Nov 01, 2014",52.91,54.23,5.90,53.75,50.85,"12,372,400"
"Oct 01, 2014",52.27,53.14,49.71,52.96,49.99,"20,183,100"
