,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",278.73,278.95,258.73,265.62,262.53,"92,272,900"
"Nov 01, 2020",270.15,289.00,268.52,277.41,274.19,"82,679,200"
"Oct 01, 2020",279.44,292.65,262.03,266.71,263.61,"59,500,000"
"Sep 01, 2020",284.03,288.04,262.81,277.71,273.04,"80,496,700"
"Aug 01, 2020",266.73,292.95,263.84,285.04,280.25,"74,355,500"
"Jul 01, 2020",249.65,269.07,246.22,265.49,261.03,"66,948,800"
"Jun 01, 2020",249.41,259.29,234.31,250.51,244.84,"103,044,200"
"May 01, 2020",216.77,252.23,215.21,248.48,242.86,"115,260,000"
"Apr 01, 2020",175.91,224.22,174.00,219.83,214.85,"120,718,900"
"Mar 01, 2020",219.98,241.32,140.63,186.71,181.27,"221,563,200"
"Feb 01, 2020",230.30,247.36,212.33,217.84,211.49,"86,014,100"
"Jan 01, 2020",219.08,236.53,216.40,228.10,221.45,"97,265,400"
"Dec 01, 2019",220.90,222.00,210.61,218.38,210.67,"111,759,300"
"Nov 01, 2019",236.07,239.31,216.88,220.51,212.73,"102,466,300"
"Oct 01, 2019",233.01,238.99,222.12,233.89,225.63,"64,772,200"
"Sep 01, 2019",226.45,235.49,220.67,232.02,222.47,"75,292,900"
"Aug 01, 2019",214.14,229.27,199.05,227.91,218.53,"98,962,100"
"Jul 01, 2019",209.70,219.30,208.17,213.69,204.89,"64,169,000"
"Jun 01, 2019",189.52,211.99,188.75,207.97,198.02,"90,786,400"
"May 01, 2019",203.20,203.52,186.27,189.85,180.77,"94,651,500"
"Apr 01, 2019",192.99,208.30,192.85,203.70,193.96,"71,203,800"
"Mar 01, 2019",185.82,192.19,179.52,191.89,181.36,"95,115,500"
"Feb 01, 2019",184.03,193.42,182.45,185.14,174.98,"90,471,400"
"Jan 01, 2019",169.71,184.67,168.21,183.53,173.46,"98,771,800"
"Dec 01, 2018",183.29,183.50,158.09,171.82,162.39,"117,667,300"
"Nov 01, 2018",176.84,188.69,167.00,180.32,169.41,"132,549,500"
"Oct 01, 2018",208.52,209.79,170.91,175.88,165.24,"133,142,600"
"Sep 01, 2018",200.69,215.43,200.50,207.15,194.62,"83,962,700"
"Aug 01, 2018",196.86,203.55,191.09,200.77,187.66,"88,542,700"
"Jul 01, 2018",193.82,204.25,192.12,197.52,184.62,"67,987,900"
"Jun 01, 2018",187.21,201.60,186.52,195.10,182.36,"93,713,000"
"May 01, 2018",184.73,191.65,181.20,186.55,173.40,"103,145,700"
"Apr 01, 2018",177.15,187.80,170.42,184.80,171.77,"101,369,800"
"Mar 01, 2018",182.75,184.40,171.56,178.24,164.74,"109,321,100"
"Feb 01, 2018",199.34,202.25,175.42,182.27,168.46,"127,014,100"
"Jan 01, 2018",190.21,207.61,187.82,200.90,185.68,"92,074,000"
"Dec 01, 2017",180.32,191.49,176.70,189.53,175.17,"103,713,100"
"Nov 01, 2017",166.42,180.67,160.53,179.82,165.36,"103,227,500"
"Oct 01, 2017",164.20,167.94,161.51,165.78,152.45,"71,346,000"
"Sep 01, 2017",150.26,163.61,149.76,163.56,150.41,"110,280,500"
"Aug 01, 2017",150.24,156.05,146.89,149.87,137.01,"114,385,100"
"Jul 01, 2017",154.39,154.79,144.25,149.60,136.76,"102,500,900"
"Jun 01, 2017",153.52,159.22,150.75,153.40,140.23,"100,510,600"
"May 01, 2017",156.22,160.86,153.28,153.51,139.53,"93,676,400"
"Apr 01, 2017",146.94,156.27,145.76,156.10,141.88,"75,716,700"
"Mar 01, 2017",146.72,150.15,145.83,146.83,132.65,"92,996,000"
"Feb 01, 2017",137.66,146.33,136.33,144.91,130.92,"75,930,200"
"Jan 01, 2017",135.10,139.37,133.05,137.58,124.29,"83,138,300"
"Dec 01, 2016",129.34,137.32,128.68,134.08,121.13,"99,553,700"
"Nov 01, 2016",121.69,132.14,119.20,129.40,116.29,"133,565,300"
"Oct 01, 2016",128.20,130.45,121.62,122.01,109.64,"97,360,300"
"Sep 01, 2016",134.48,135.88,125.35,128.68,115.64,"107,739,700"
"Aug 01, 2016",138.06,139.00,133.60,134.12,119.91,"91,331,300"
"Jul 01, 2016",128.29,138.72,128.12,138.24,123.60,"78,399,700"
"Jun 01, 2016",132.12,132.73,123.62,127.69,114.16,"114,046,600"
"May 01, 2016",134.37,137.82,130.02,132.12,117.52,"112,394,600"
"Apr 01, 2016",133.10,137.00,131.75,133.89,119.09,"82,951,100"
"Mar 01, 2016",124.78,134.29,123.98,133.43,118.03,"94,146,700"
"Feb 01, 2016",124.92,127.75,109.62,124.12,109.80,"135,914,000"
"Jan 01, 2016",130.11,131.94,113.59,125.76,111.25,"147,050,100"
"Dec 01, 2015",133.52,134.83,130.01,132.25,116.47,"99,749,700"
"Nov 01, 2015",124.24,135.47,118.61,133.88,117.91,"111,416,100"
"Oct 01, 2015",116.23,125.75,114.71,123.64,108.89,"97,180,400"
"Sep 01, 2015",113.99,119.82,111.80,115.49,101.20,"122,128,700"
"Aug 01, 2015",117.62,123.80,92.17,116.46,102.05,"135,234,000"
"Jul 01, 2015",112.45,118.13,110.17,117.03,102.55,"97,800,100"
"Jun 01, 2015",111.97,113.71,109.03,111.13,96.86,"104,809,700"
"May 01, 2015",106.98,116.48,106.85,111.42,97.11,"100,397,400"
"Apr 01, 2015",113.88,116.25,106.62,106.98,93.24,"95,675,500"
