,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",48.90,58.25,47.10,52.79,52.37,"45,024,400"
"Nov 01, 2020",37.81,54.47,35.91,47.18,46.81,"51,981,700"
"Oct 01, 2020",40.00,40.56,34.82,37.22,36.93,"48,534,800"
"Sep 01, 2020",45.70,47.84,38.29,40.93,40.37,"53,672,000"
"Aug 01, 2020",49.32,56.86,45.69,46.04,45.41,"40,521,000"
"Jul 01, 2020",51.72,52.90,44.02,49.21,48.54,"48,181,400"
"Jun 01, 2020",47.59,60.03,46.26,51.81,50.84,"59,507,200"
"May 01, 2020",47.28,50.05,40.30,47.47,46.58,"47,604,700"
"Apr 01, 2020",32.19,50.40,30.58,48.64,47.73,"81,739,400"
"Mar 01, 2020",56.88,59.05,26.06,33.30,32.43,"139,670,700"
"Feb 01, 2020",56.90,64.98,51.88,56.18,54.71,"66,909,700"
"Jan 01, 2020",67.51,71.66,56.11,56.57,55.09,"61,499,500"
"Dec 01, 2019",62.55,67.95,59.72,66.81,64.80,"44,443,700"
"Nov 01, 2019",66.76,74.11,61.49,62.09,60.23,"53,481,600"
"Oct 01, 2019",61.17,68.72,58.31,65.75,63.78,"53,085,900"
"Sep 01, 2019",61.35,71.06,59.53,60.48,58.43,"68,355,800"
"Aug 01, 2019",63.25,65.69,55.63,62.95,60.82,"62,255,300"
"Jul 01, 2019",65.33,67.21,58.66,64.84,62.65,"58,820,900"
"Jun 01, 2019",56.30,66.03,53.58,63.57,61.16,"67,524,700"
"May 01, 2019",64.38,66.72,55.58,55.86,53.74,"61,467,300"
"Apr 01, 2019",61.08,68.27,59.13,64.12,61.68,"72,609,400"
"Mar 01, 2019",58.26,61.93,54.26,60.23,57.69,"69,177,900"
"Feb 01, 2019",54.60,59.93,51.10,57.85,55.41,"64,005,800"
"Jan 01, 2019",39.29,55.38,39.08,54.00,51.72,"114,788,500"
"Dec 01, 2018",56.14,57.20,35.59,40.50,38.61,"109,308,000"
"Nov 01, 2018",57.91,61.29,52.29,53.89,51.37,"72,025,000"
"Oct 01, 2018",71.89,74.81,55.12,57.40,54.72,"83,693,700"
"Sep 01, 2018",67.43,74.08,61.32,71.58,67.97,"57,587,300"
"Aug 01, 2018",64.77,68.62,60.39,67.34,63.95,"57,265,600"
"Jul 01, 2018",65.87,71.14,62.02,65.63,62.32,"63,053,300"
"Jun 01, 2018",60.67,68.40,59.06,66.89,63.26,"79,404,000"
"May 01, 2018",56.60,65.89,56.18,60.42,57.14,"84,236,000"
"Apr 01, 2018",50.24,59.56,47.52,56.99,53.90,"97,314,500"
"Mar 01, 2018",45.36,51.20,44.21,50.62,47.63,"84,016,600"
"Feb 01, 2018",50.57,51.32,40.37,45.42,42.74,"102,169,200"
"Jan 01, 2018",47.97,55.48,47.02,50.51,47.52,"91,394,500"
"Dec 01, 2017",46.25,48.75,42.35,47.47,44.40,"82,468,600"
