,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",24.26,28.77,23.60,25.85,25.61,"73,836,200"
"Nov 01, 2020",18.88,26.39,17.42,23.39,22.82,"66,363,200"
"Oct 01, 2020",19.39,21.85,16.81,18.51,18.06,"54,042,900"
"Sep 01, 2020",23.92,24.55,19.28,19.71,19.23,"60,532,900"
"Aug 01, 2020",27.60,27.93,23.81,23.87,22.97,"69,596,200"
"Jul 01, 2020",29.41,29.94,25.66,27.50,26.46,"43,885,700"
"Jun 01, 2020",31.71,38.61,26.96,29.20,28.10,"47,647,200"
"May 01, 2020",32.00,34.24,25.68,31.45,29.92,"45,666,100"
"Apr 01, 2020",23.45,34.16,21.47,33.04,31.44,"51,552,200"
"Mar 01, 2020",34.36,35.07,18.48,24.51,23.32,"95,092,900"
"Feb 01, 2020",45.00,45.49,31.22,33.68,31.78,"45,540,400"
"Jan 01, 2020",51.09,51.75,43.93,44.92,42.39,"51,476,800"
"Dec 01, 2019",51.79,52.82,49.14,50.71,47.85,"31,482,000"
"Nov 01, 2019",55.15,56.21,51.39,51.55,48.33,"33,884,100"
"Oct 01, 2019",53.98,58.88,51.09,54.94,51.50,"32,760,200"
"Sep 01, 2019",43.54,54.36,43.44,53.64,50.29,"41,414,600"
"Aug 01, 2019",50.98,53.89,42.43,44.36,41.29,"49,466,700"
"Jul 01, 2019",47.06,51.31,45.00,49.77,46.32,"35,526,500"
"Jun 01, 2019",38.02,46.42,38.01,46.28,43.07,"44,030,600"
"May 01, 2019",47.87,48.85,37.73,37.98,35.09,"51,707,900"
"Apr 01, 2019",49.73,51.22,47.14,47.73,44.10,"47,645,700"
"Mar 01, 2019",51.57,53.43,48.03,49.27,45.52,"45,802,700"
"Feb 01, 2019",56.41,58.13,51.12,51.20,47.02,"37,967,100"
"Jan 01, 2019",50.08,57.67,48.31,56.34,51.74,"46,880,500"
"Dec 01, 2018",62.03,62.77,46.75,51.12,46.94,"45,694,300"
"Nov 01, 2018",67.96,69.50,57.07,62.47,57.06,"41,350,600"
"Oct 01, 2018",70.36,71.82,60.95,67.44,61.60,"52,684,000"
"Sep 01, 2018",74.67,76.56,64.08,69.90,63.85,"46,370,400"
"Aug 01, 2018",74.16,75.28,66.00,74.52,67.75,"52,871,800"
"Jul 01, 2018",68.20,75.75,65.77,74.58,67.81,"48,164,100"
"Jun 01, 2018",78.16,83.28,66.32,68.43,62.22,"119,709,700"
"May 01, 2018",60.31,80.19,59.72,77.18,69.86,"65,012,600"
"Apr 01, 2018",48.61,62.24,47.74,60.69,54.94,"47,416,700"
"Mar 01, 2018",42.82,50.50,42.42,48.86,44.23,"43,776,200"
"Feb 01, 2018",48.03,48.05,42.79,42.83,38.49,"48,086,700"
"Jan 01, 2018",51.38,53.21,45.49,47.96,43.09,"53,738,900"
"Dec 01, 2017",44.69,52.00,43.01,51.22,46.02,"44,900,300"
"Nov 01, 2017",37.74,45.33,37.63,44.48,39.67,"58,843,200"
"Oct 01, 2017",35.69,37.42,34.47,36.95,32.96,"48,519,500"
"Sep 01, 2017",31.53,36.46,30.16,35.97,32.08,"56,789,500"
"Aug 01, 2017",28.86,32.60,27.04,31.31,27.59,"83,144,100"
"Jul 01, 2017",27.61,29.10,25.97,28.84,25.42,"40,271,200"
"Jun 01, 2017",24.00,28.39,23.62,27.47,24.21,"61,294,400"
"May 01, 2017",28.14,28.42,23.46,23.90,20.80,"55,171,200"
"Apr 01, 2017",28.30,29.14,25.98,28.14,24.49,"55,252,400"
"Mar 01, 2017",29.60,30.17,26.23,28.34,24.66,"76,122,000"
"Feb 01, 2017",29.44,30.62,27.66,29.28,25.19,"53,966,100"
"Jan 01, 2017",33.21,34.78,28.43,28.97,24.93,"58,096,200"
"Dec 01, 2016",29.14,34.13,28.70,32.76,28.19,"66,670,400"
"Nov 01, 2016",25.66,29.69,22.63,28.77,24.48,"88,817,700"
"Oct 01, 2016",24.41,26.69,22.81,24.95,21.23,"72,770,500"
"Sep 01, 2016",25.92,26.27,23.28,24.50,20.84,"84,399,800"
"Aug 01, 2016",25.32,27.98,24.57,25.88,21.75,"93,020,900"
"Jul 01, 2016",23.73,25.95,22.07,25.42,21.36,"85,593,900"
"Jun 01, 2016",26.61,28.68,22.53,23.77,19.98,"91,196,400"
"May 01, 2016",35.49,35.62,25.80,26.76,22.22,"69,132,800"
"Apr 01, 2016",34.49,37.98,32.91,35.60,29.57,"41,427,500"
"Mar 01, 2016",33.82,39.17,32.55,35.32,29.05,"63,862,000"
"Feb 01, 2016",34.75,36.04,29.00,33.82,27.82,"67,358,000"
"Jan 01, 2016",39.66,41.29,32.42,34.97,28.77,"66,193,700"
"Dec 01, 2015",48.30,50.44,39.00,39.89,32.60,"55,767,100"
"Nov 01, 2015",48.95,52.30,47.16,48.08,39.29,"41,122,800"
"Oct 01, 2015",48.86,51.61,44.78,48.97,40.02,"57,373,000"
"Sep 01, 2015",45.86,51.43,44.90,48.84,39.91,"70,923,700"
"Aug 01, 2015",48.08,54.73,43.56,46.86,38.02,"69,982,800"
"Jul 01, 2015",42.86,49.54,42.68,48.26,39.16,"72,544,300"
"Jun 01, 2015",41.61,42.78,39.83,42.69,34.36,"48,900,900"
"May 01, 2015",38.78,43.71,38.67,41.65,33.52,"48,547,200"
"Apr 01, 2015",40.27,40.95,35.89,38.78,31.21,"60,315,100"
"Mar 01, 2015",43.66,43.76,37.58,40.27,32.16,"73,340,700"
"Feb 01, 2015",36.21,45.05,36.14,43.99,35.13,"65,121,600"
"Jan 01, 2015",37.50,38.49,30.15,35.92,28.69,"71,612,800"
"Dec 01, 2014",40.60,42.81,35.31,37.48,29.70,"56,176,300"
"Nov 01, 2014",45.43,45.88,40.63,40.82,31.98,"40,147,400"
