,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",356.01,387.94,350.06,379.85,379.24,"29,557,500"
"Nov 01, 2020",317.76,377.15,312.17,352.02,351.46,"24,991,100"
"Oct 01, 2020",330.74,353.98,312.05,314.68,313.62,"21,960,200"
"Sep 01, 2020",344.92,355.67,295.37,326.21,325.11,"29,782,500"
"Aug 01, 2020",309.84,360.00,298.47,345.39,344.23,"24,124,200"
"Jul 01, 2020",297.41,314.73,280.99,306.37,304.82,"26,724,400"
"Jun 01, 2020",289.11,298.00,274.19,296.19,294.69,"27,890,900"
"May 01, 2020",265.33,295.37,258.30,290.32,288.85,"24,781,600"
"Apr 01, 2020",224.05,276.98,215.55,269.81,267.87,"29,428,200"
"Mar 01, 2020",266.72,290.22,187.68,230.00,228.34,"54,282,200"
"Feb 01, 2020",283.57,306.89,255.59,265.85,263.93,"26,559,200"
"Jan 01, 2020",261.08,293.00,261.08,280.38,277.82,"26,141,100"
"Dec 01, 2019",259.11,268.95,247.80,261.93,259.54,"27,368,000"
"Nov 01, 2019",259.91,275.70,250.41,258.89,256.53,"31,024,200"
"Oct 01, 2019",267.69,274.11,252.54,257.50,254.63,"27,074,600"
"Sep 01, 2019",285.31,293.46,259.26,265.94,262.98,"24,007,900"
"Aug 01, 2019",278.61,295.77,261.94,288.36,285.15,"30,793,400"
"Jul 01, 2019",266.03,284.97,262.70,277.31,273.74,"23,550,400"
"Jun 01, 2019",245.20,268.43,236.75,261.33,257.97,"26,468,200"
"May 01, 2019",252.49,259.26,236.03,244.85,241.70,"32,069,300"
"Apr 01, 2019",264.52,272.14,238.30,251.06,247.38,"35,423,900"
"Mar 01, 2019",250.00,261.63,240.01,261.41,257.58,"29,620,200"
"Feb 01, 2019",215.74,251.57,212.67,247.13,243.51,"32,304,100"
"Jan 01, 2019",191.50,217.40,188.21,215.82,212.17,"30,602,200"
"Dec 01, 2018",217.72,219.85,182.61,196.85,193.52,"37,771,600"
"Nov 01, 2018",210.81,223.41,190.71,214.53,210.90,"39,910,300"
"Oct 01, 2018",228.85,231.84,196.40,211.00,206.98,"39,088,800"
"Sep 01, 2018",219.94,229.86,214.71,227.40,223.07,"32,548,200"
"Aug 01, 2018",203.91,219.78,202.39,219.47,215.29,"33,350,600"
"Jul 01, 2018",203.01,219.46,201.71,204.24,199.98,"24,646,400"
"Jun 01, 2018",202.28,216.63,198.03,204.31,200.04,"30,157,200"
"May 01, 2018",184.82,203.44,183.02,201.60,197.39,"32,018,100"
"Apr 01, 2018",173.01,188.56,166.52,184.79,180.51,"30,001,600"
"Mar 01, 2018",167.40,179.30,162.59,173.35,169.34,"32,191,000"
"Feb 01, 2018",167.56,177.51,150.43,166.86,163.00,"33,426,100"
"Jan 01, 2018",158.22,170.59,157.01,167.90,163.62,"23,180,500"
"Dec 01, 2017",156.14,161.44,152.58,157.78,153.76,"24,943,000"
"Nov 01, 2017",151.85,158.90,150.55,157.22,153.22,"28,537,300"
"Oct 01, 2017",142.26,153.86,140.21,151.02,146.77,"23,759,200"
"Sep 01, 2017",141.83,146.72,140.07,142.14,138.14,"28,346,600"
"Aug 01, 2017",137.64,141.69,133.60,141.45,137.47,"30,962,600"
"Jul 01, 2017",133.82,137.71,130.26,137.21,133.01,"22,467,300"
"Jun 01, 2017",140.55,143.81,132.35,132.81,128.74,"34,253,900"
"May 01, 2017",125.55,141.08,124.22,140.64,136.33,"39,356,000"
"Apr 01, 2017",116.05,126.08,114.80,125.21,121.02,"44,461,000"
"Mar 01, 2017",125.89,126.67,115.30,115.99,112.11,"44,134,600"
"Feb 01, 2017",118.49,128.45,111.90,125.44,121.24,"29,056,900"
"Jan 01, 2017",114.34,120.55,114.10,118.58,114.27,"19,303,000"
"Dec 01, 2016",113.79,118.66,111.48,114.61,110.45,"19,908,200"
"Nov 01, 2016",109.03,116.66,103.22,113.68,109.55,"34,518,900"
"Oct 01, 2016",109.83,110.12,106.41,108.74,104.47,"25,719,000"
"Sep 01, 2016",111.28,113.11,106.34,110.01,105.69,"31,406,900"
"Aug 01, 2016",111.42,114.06,108.00,111.45,107.07,"32,483,800"
"Jul 01, 2016",111.73,116.97,110.39,110.99,106.35,"26,611,300"
"Jun 01, 2016",105.85,111.79,103.03,111.61,106.94,"35,685,800"
"May 01, 2016",101.40,108.68,99.25,106.66,102.20,"30,677,400"
"Apr 01, 2016",103.77,105.32,99.20,100.89,96.39,"23,876,700"
"Mar 01, 2016",97.67,104.51,96.39,104.01,99.38,"34,424,900"
"Feb 01, 2016",95.28,101.00,88.17,96.64,92.33,"43,034,000"
"Jan 01, 2016",94.19,96.48,88.66,95.51,90.97,"36,569,900"
"Dec 01, 2015",100.94,102.58,94.68,96.50,91.91,"36,358,600"
"Nov 01, 2015",98.05,108.00,95.62,100.20,95.44,"44,130,000"
"Oct 01, 2015",88.66,99.00,85.61,97.43,92.49,"34,634,000"
"Sep 01, 2015",83.35,89.77,83.10,88.75,84.25,"62,865,300"
"Aug 01, 2015",104.67,107.75,79.63,85.75,81.40,"52,670,600"
"Jul 01, 2015",101.64,108.20,100.12,105.77,100.17,"26,737,100"
"Jun 01, 2015",104.77,107.95,100.76,100.77,95.43,"31,695,800"
"May 01, 2015",100.33,109.21,99.02,104.15,98.63,"26,951,500"
"Apr 01, 2015",96.82,102.17,95.33,100.33,94.77,"27,355,800"
"Mar 01, 2015",97.56,100.88,95.01,96.96,91.59,"29,980,200"
"Feb 01, 2015",87.51,98.09,85.77,97.63,92.22,"40,326,500"
"Jan 01, 2015",92.21,93.16,84.75,86.82,81.78,"37,178,800"
"Dec 01, 2014",93.25,95.84,90.45,92.19,86.84,"33,800,400"
"Nov 01, 2014",88.24,95.42,87.87,93.87,88.42,"25,912,000"
"Oct 01, 2014",87.36,88.84,77.96,88.01,82.65,"39,254,300"
