,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",208.52,227.09,204.45,223.79,223.79,"4,499,300"
"Nov 01, 2020",189.44,214.61,187.07,207.01,207.01,"5,816,100"
"Oct 01, 2020",171.64,202.58,167.88,185.96,185.96,"5,594,300"
"Sep 01, 2020",161.37,171.85,156.49,169.97,169.97,"5,107,700"
"Aug 01, 2020",180.61,183.44,149.51,161.73,161.73,"7,465,000"
"Jul 01, 2020",161.75,184.02,155.42,179.01,179.01,"6,920,200"
"Jun 01, 2020",155.22,170.03,151.43,160.39,160.39,"7,311,000"
"May 01, 2020",127.41,161.18,116.46,155.40,155.40,"10,058,300"
"Apr 01, 2020",106.27,134.37,100.92,129.33,129.33,"7,692,500"
"Mar 01, 2020",129.21,133.96,98.04,110.28,110.28,"13,641,100"
"Feb 01, 2020",129.29,150.00,118.00,127.64,127.64,"10,645,500"
"Jan 01, 2020",146.99,148.63,126.76,127.67,127.67,"8,999,300"
"Dec 01, 2019",142.95,149.91,134.43,144.92,144.92,"7,472,400"
"Nov 01, 2019",134.65,153.51,134.65,142.09,142.09,"7,858,500"
"Oct 01, 2019",137.18,146.46,122.74,134.28,134.28,"10,336,000"
"Sep 01, 2019",122.08,150.00,117.19,135.60,135.60,"7,836,200"
"Aug 01, 2019",130.01,130.96,113.67,123.73,123.73,"10,580,300"
"Jul 01, 2019",162.50,166.49,128.34,131.01,131.01,"12,662,000"
"Jun 01, 2019",125.53,155.11,124.91,154.25,154.25,"8,798,800"
"May 01, 2019",172.10,176.08,124.85,125.17,125.17,"12,788,200"
"Apr 01, 2019",153.44,182.17,153.41,174.73,174.73,"10,324,100"
"Mar 01, 2019",155.96,159.77,142.00,151.78,151.78,"7,923,400"
"Feb 01, 2019",133.42,162.23,133.10,155.03,155.03,"10,047,600"
"Jan 01, 2019",110.61,136.54,107.52,133.00,133.00,"9,256,800"
"Dec 01, 2018",146.42,150.86,104.64,113.29,113.29,"11,417,900"
"Nov 01, 2018",134.18,146.72,126.82,142.15,142.15,"12,533,000"
"Oct 01, 2018",157.02,158.19,107.59,133.55,133.55,"25,202,300"
"Sep 01, 2018",175.71,176.08,153.37,156.07,156.07,"12,831,700"
"Aug 01, 2018",162.69,179.79,158.75,175.48,175.48,"17,512,100"
"Jul 01, 2018",217.87,243.43,161.51,164.04,164.04,"10,247,900"
"Jun 01, 2018",243.67,261.77,208.72,220.63,220.63,"8,025,600"
"May 01, 2018",213.01,256.72,213.01,241.27,241.27,"8,208,800"
"Apr 01, 2018",232.64,237.88,210.45,213.03,213.03,"8,264,000"
