,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",733.30,826.81,721.85,818.10,818.10,"10,977,300"
"Nov 01, 2020",680.62,792.54,669.29,726.05,726.05,"10,688,300"
"Oct 01, 2020",713.11,771.62,653.00,667.08,667.08,"12,300,400"
"Sep 01, 2020",732.45,778.83,633.29,709.54,709.54,"15,231,700"
"Aug 01, 2020",685.75,734.45,671.62,730.84,730.84,"9,554,800"
"Jul 01, 2020",572.00,704.00,566.21,685.44,685.44,"15,129,400"
"Jun 01, 2020",574.80,601.21,543.03,569.83,569.83,"14,380,400"
"May 01, 2020",503.00,585.61,492.00,580.03,580.03,"12,896,900"
"Apr 01, 2020",460.26,529.50,450.00,510.88,510.88,"19,722,800"
"Mar 01, 2020",535.95,583.72,360.50,495.21,495.21,"30,915,200"
"Feb 01, 2020",562.30,619.00,518.56,533.96,533.96,"13,931,000"
"Jan 01, 2020",595.70,616.56,555.03,559.78,559.78,"17,080,900"
"Dec 01, 2019",592.00,601.60,572.57,591.15,591.15,"10,490,300"
"Nov 01, 2019",557.46,594.17,540.17,592.90,592.90,"11,442,600"
"Oct 01, 2019",539.94,569.98,502.01,552.95,552.95,"13,923,100"
"Sep 01, 2019",505.23,549.00,488.00,539.93,539.93,"12,740,700"
"Aug 01, 2019",520.49,532.90,482.00,511.34,511.34,"12,995,900"
"Jul 01, 2019",532.00,544.85,514.26,519.51,519.51,"13,641,600"
"Jun 01, 2019",462.84,533.82,455.15,524.55,524.55,"15,106,800"
"May 01, 2019",511.61,512.00,462.94,464.85,464.85,"15,910,200"
"Apr 01, 2019",575.00,589.32,486.66,510.63,510.63,"21,604,700"
"Mar 01, 2019",551.79,579.23,523.68,570.58,570.58,"11,753,200"
"Feb 01, 2019",522.85,558.95,501.99,547.61,547.61,"11,526,800"
"Jan 01, 2019",469.50,543.75,446.46,523.64,523.64,"19,387,300"
"Dec 01, 2018",541.86,548.98,430.24,478.92,478.92,"16,699,000"
"Nov 01, 2018",522.83,546.06,462.01,530.87,530.87,"16,034,100"
"Oct 01, 2018",575.15,581.12,467.07,521.18,521.18,"24,584,500"
"Sep 01, 2018",559.00,575.41,533.96,574.00,574.00,"10,842,700"
"Aug 01, 2018",510.43,560.39,509.92,560.00,560.00,"10,724,000"
"Jul 01, 2018",476.48,539.30,471.80,508.19,508.19,"18,802,600"
"Jun 01, 2018",461.81,496.92,459.43,478.48,478.48,"16,961,000"
"May 01, 2018",440.01,472.78,438.07,459.67,459.67,"16,481,200"
"Apr 01, 2018",412.26,473.79,393.57,440.78,440.78,"20,889,500"
"Mar 01, 2018",428.44,445.10,397.21,412.83,412.83,"14,917,200"
"Feb 01, 2018",432.61,436.21,380.00,426.45,426.45,"15,001,000"
"Jan 01, 2018",367.89,452.00,365.11,431.67,431.67,"21,613,700"
"Dec 01, 2017",398.60,402.00,359.75,364.94,364.94,"19,687,700"
"Nov 01, 2017",377.31,405.05,373.87,399.78,399.78,"15,268,800"
"Oct 01, 2017",349.70,382.15,349.19,375.36,375.36,"20,437,300"
"Sep 01, 2017",333.97,351.59,332.46,348.63,348.63,"13,683,900"
"Aug 01, 2017",312.99,335.22,307.89,334.89,334.89,"20,754,300"
"Jul 01, 2017",313.65,324.89,306.86,312.75,312.75,"23,537,400"
"Jun 01, 2017",305.03,321.18,292.17,311.79,311.79,"23,307,600"
"May 01, 2017",279.53,307.28,278.79,304.89,304.89,"18,355,200"
"Apr 01, 2017",255.21,281.49,251.13,278.62,278.62,"21,513,000"
"Mar 01, 2017",245.60,256.76,242.26,255.49,255.49,"23,042,100"
"Feb 01, 2017",230.02,246.34,229.33,245.67,245.67,"18,501,300"
"Jan 01, 2017",211.98,233.47,208.24,230.90,230.90,"24,064,800"
"Dec 01, 2016",214.15,217.40,203.57,211.39,211.39,"21,213,600"
"Nov 01, 2016",224.48,229.39,205.60,214.58,214.58,"27,115,500"
"Oct 01, 2016",240.52,242.42,219.24,224.03,224.03,"19,957,200"
"Sep 01, 2016",228.95,242.38,223.50,241.61,241.61,"15,813,000"
"Aug 01, 2016",231.32,233.55,226.37,228.81,228.81,"12,315,900"
"Jul 01, 2016",220.52,240.00,219.68,231.92,231.92,"19,804,800"
"Jun 01, 2016",210.75,221.17,208.47,220.47,220.47,"19,062,600"
"May 01, 2016",209.26,214.94,203.74,211.57,211.57,"19,983,600"
"Apr 01, 2016",198.40,218.29,197.01,208.79,208.79,"22,186,800"
"Mar 01, 2016",188.08,202.58,187.01,200.35,200.35,"24,765,300"
"Feb 01, 2016",179.67,190.04,167.34,187.69,187.69,"22,667,700"
"Jan 01, 2016",182.39,193.33,173.50,180.28,180.28,"29,628,300"
"Dec 01, 2015",173.68,185.53,168.02,182.05,182.05,"18,712,500"
"Nov 01, 2015",165.70,174.23,165.02,173.34,173.34,"15,857,100"
"Oct 01, 2015",153.33,173.33,149.00,165.53,165.53,"27,012,300"
"Sep 01, 2015",167.33,175.50,150.20,153.19,153.19,"18,838,800"
"Aug 01, 2015",177.22,515.69,158.34,515.57,515.57,"15,956,800"
"Jul 01, 2015",162.48,188.29,156.93,177.72,177.72,"22,823,100"
"Jun 01, 2015",163.79,169.86,160.03,161.50,161.50,"16,508,700"
"May 01, 2015",164.84,168.65,160.96,162.58,162.58,"16,817,400"
"Apr 01, 2015",167.31,186.35,163.83,165.33,165.33,"21,675,000"
"Mar 01, 2015",166.99,171.66,162.22,168.34,168.34,"14,537,100"
"Feb 01, 2015",166.62,174.47,164.89,166.67,166.67,"11,465,100"
"Jan 01, 2015",176.96,179.36,164.32,164.83,164.83,"19,761,900"
"Dec 01, 2014",171.96,179.61,165.55,176.31,176.31,"11,874,000"
"Nov 01, 2014",162.35,174.55,162.10,172.59,172.59,"13,595,100"
"Oct 01, 2014",154.44,168.58,149.78,165.27,165.27,"28,374,600"
"Sep 01, 2014",157.52,160.54,150.50,153.94,153.94,"18,131,100"
"Aug 01, 2014",153.00,160.15,146.17,156.67,156.67,"17,653,800"
"Jul 01, 2014",137.28,161.00,125.33,152.52,152.52,"42,510,900"
"Jun 01, 2014",122.90,142.14,122.06,137.27,137.27,"29,102,700"
"May 01, 2014",121.75,125.73,115.49,123.25,123.25,"33,577,200"
"Apr 01, 2014",162.02,180.41,117.79,120.57,120.57,"64,263,600"
"Mar 01, 2014",147.43,154.16,139.43,146.00,146.00,"23,959,800"
"Feb 01, 2014",135.12,151.66,132.22,148.28,148.28,"22,909,800"
"Jan 01, 2014",127.88,149.17,123.34,135.86,135.86,"46,207,500"
"Dec 01, 2013",126.07,128.13,117.05,128.03,128.03,"28,862,700"
"Nov 01, 2013",124.62,132.93,122.92,125.63,125.63,"17,976,900"
"Oct 01, 2013",125.15,136.30,119.34,123.83,123.83,"43,491,000"
"Sep 01, 2013",129.40,130.16,121.15,125.42,125.42,"32,164,800"
"Aug 01, 2013",129.70,131.93,125.18,128.84,128.84,"21,586,200"
"Jul 01, 2013",169.73,169.73,119.01,129.33,129.33,"70,903,500"
"Jun 01, 2013",166.45,172.02,163.96,168.71,168.71,"14,590,500"
"May 01, 2013",163.86,170.60,155.04,165.84,165.84,"22,519,800"
"Apr 01, 2013",164.29,171.91,155.24,164.10,164.10,"28,428,300"
"Mar 01, 2013",184.33,186.00,151.73,163.73,163.73,"46,047,600"
"Feb 01, 2013",192.38,195.22,164.12,169.96,169.96,"17,451,900"
"Jan 01, 2013",168.83,194.48,161.93,191.46,191.46,"31,497,900"
"Dec 01, 2012",176.25,184.65,158.75,163.46,163.46,"31,593,000"
"Nov 01, 2012",181.67,183.72,173.43,176.33,176.33,"16,570,200"
"Oct 01, 2012",166.34,183.98,163.01,180.74,180.74,"31,581,600"
