,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",146.29,157.66,145.86,157.38,156.40,"158,928,900"
"Nov 01, 2020",138.98,151.30,137.49,144.68,142.79,"153,635,100"
"Oct 01, 2020",149.31,153.14,133.65,137.11,135.32,"137,283,400"
"Sep 01, 2020",153.87,155.47,142.96,148.88,146.94,"138,801,300"
"Aug 01, 2020",146.39,154.40,145.82,153.41,150.41,"109,981,900"
"Jul 01, 2020",140.69,151.67,140.06,145.76,142.91,"137,884,200"
"Jun 01, 2020",147.29,150.03,137.02,140.63,137.88,"174,057,600"
"May 01, 2020",149.62,153.62,143.01,148.75,144.83,"136,208,900"
"Apr 01, 2020",127.70,157.00,125.50,150.04,146.09,"234,386,100"
"Mar 01, 2020",134.78,143.64,109.16,131.13,127.68,"355,927,400"
"Feb 01, 2020",149.42,154.50,130.82,134.48,130.11,"147,293,500"
"Jan 01, 2020",145.87,151.19,141.38,148.87,144.03,"150,462,900"
"Dec 01, 2019",137.72,147.84,136.16,145.87,141.13,"127,761,600"
"Nov 01, 2019",132.05,138.63,129.68,137.49,132.11,"127,753,600"
"Oct 01, 2019",130.02,137.49,126.10,132.04,126.87,"206,653,800"
"Sep 01, 2019",127.99,132.78,126.34,129.38,124.31,"122,925,900"
"Aug 01, 2019",130.26,134.10,126.63,128.36,122.42,"175,116,200"
"Jul 01, 2019",140.20,142.47,127.84,130.22,124.19,"159,848,500"
"Jun 01, 2019",131.50,144.98,131.04,139.28,132.83,"150,883,000"
"May 01, 2019",140.95,142.35,128.52,131.15,124.23,"159,034,100"
"Apr 01, 2019",139.99,141.45,134.42,141.20,133.75,"124,329,800"
"Mar 01, 2019",137.22,140.00,135.74,139.79,132.41,"137,354,500"
"Feb 01, 2019",134.02,137.95,131.26,136.64,128.57,"119,453,700"
"Jan 01, 2019",128.13,135.19,125.00,133.08,125.22,"174,392,900"
"Dec 01, 2018",145.57,148.99,121.00,129.05,121.43,"289,169,400"
"Nov 01, 2018",140.07,148.75,139.00,146.90,137.35,"152,746,600"
"Oct 01, 2018",138.26,141.43,132.23,139.99,130.89,"167,964,600"
"Sep 01, 2018",134.69,143.13,133.44,138.17,129.19,"122,168,800"
"Aug 01, 2018",132.39,137.43,128.93,134.69,125.10,"123,996,800"
"Jul 01, 2018",121.34,132.64,120.11,132.52,123.09,"145,735,900"
"Jun 01, 2018",120.38,124.85,119.97,121.34,112.70,"138,683,200"
"May 01, 2018",126.32,127.61,118.62,119.62,110.29,"139,533,300"
"Apr 01, 2018",127.82,132.88,123.54,126.49,116.62,"144,094,200"
"Mar 01, 2018",129.11,135.70,124.90,128.15,118.15,"151,837,800"
"Feb 01, 2018",137.53,140.67,122.15,129.88,118.99,"177,033,700"
"Jan 01, 2018",139.66,148.32,138.10,138.19,126.60,"170,954,200"
"Dec 01, 2017",139.57,143.80,138.60,139.72,128.00,"114,023,200"
"Nov 01, 2017",139.83,141.87,136.60,139.33,126.87,"93,742,200"
"Oct 01, 2017",130.16,144.35,130.02,139.41,126.94,"123,841,100"
"Sep 01, 2017",132.60,135.79,129.05,130.01,118.38,"116,205,400"
"Aug 01, 2017",133.17,134.97,130.90,132.37,119.77,"107,061,100"
"Jul 01, 2017",132.79,137.08,129.57,132.72,120.08,"107,885,800"
"Jun 01, 2017",128.32,137.00,128.12,132.29,119.70,"145,558,900"
"May 01, 2017",123.40,128.80,122.34,128.25,115.28,"112,541,500"
"Apr 01, 2017",124.73,125.81,120.95,123.47,110.98,"106,205,200"
"Mar 01, 2017",122.49,129.00,122.39,124.55,111.95,"166,544,900"
"Feb 01, 2017",112.48,122.88,112.47,122.21,109.12,"133,814,500"
"Jan 01, 2017",115.78,117.00,110.76,113.25,101.12,"143,312,500"
"Dec 01, 2016",111.36,117.30,109.32,115.21,102.87,"138,044,800"
"Nov 01, 2016",114.76,122.50,111.30,111.30,98.70,"171,310,900"
"Oct 01, 2016",118.00,120.20,112.99,115.99,102.86,"140,054,500"
"Sep 01, 2016",119.19,119.97,117.04,118.13,104.76,"130,378,400"
"Aug 01, 2016",125.31,125.90,118.33,119.34,105.13,"138,570,700"
"Jul 01, 2016",121.30,126.07,120.79,125.23,110.32,"131,996,000"
"Jun 01, 2016",112.69,121.41,112.07,121.30,106.86,"167,571,400"
"May 01, 2016",112.22,115.00,111.70,112.69,98.57,"141,096,900"
"Apr 01, 2016",108.00,114.19,107.69,112.08,98.03,"158,186,600"
"Mar 01, 2016",105.90,109.56,105.44,108.20,94.64,"172,970,400"
"Feb 01, 2016",103.61,106.92,99.78,105.21,91.36,"201,552,000"
"Jan 01, 2016",101.71,104.75,94.28,104.44,90.69,"211,278,000"
"Dec 01, 2015",101.73,105.49,100.31,102.72,89.20,"162,039,600"
"Nov 01, 2015",101.18,103.00,99.74,101.24,87.27,"126,172,600"
"Oct 01, 2015",93.43,102.12,91.76,101.03,87.09,"191,690,900"
"Sep 01, 2015",92.29,96.19,89.90,93.35,80.47,"202,039,800"
"Aug 01, 2015",100.00,101.00,81.79,93.98,80.40,"194,654,400"
"Jul 01, 2015",98.30,101.36,96.64,100.21,85.73,"151,835,800"
"Jun 01, 2015",100.28,100.84,97.01,97.46,83.38,"170,023,700"
"May 01, 2015",99.62,104.48,98.66,100.14,85.05,"143,779,800"
"Apr 01, 2015",100.46,102.14,98.04,99.20,84.25,"171,578,200"
"Mar 01, 2015",102.51,103.41,98.22,100.60,85.44,"177,464,600"
"Feb 01, 2015",100.49,103.33,97.15,102.51,86.46,"191,367,400"
"Jan 01, 2015",105.05,106.50,100.09,100.14,84.46,"195,025,900"
"Dec 01, 2014",107.89,108.99,102.50,104.57,88.19,"175,446,100"
"Nov 01, 2014",107.83,109.49,106.60,108.25,90.71,"125,669,200"
"Oct 01, 2014",105.98,108.18,95.10,107.78,90.31,"232,630,100"
