,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",39.28,42.17,36.51,37.19,37.19,"72,109,600"
"Nov 01, 2020",32.31,40.82,32.19,38.81,38.81,"93,871,900"
"Oct 01, 2020",32.05,35.41,31.27,32.01,32.01,"81,436,000"
"Sep 01, 2020",29.33,33.12,27.54,31.81,31.81,"96,240,800"
"Aug 01, 2020",24.37,31.33,23.79,29.40,29.40,"137,439,900"
"Jul 01, 2020",15.03,26.66,14.83,24.41,24.41,"146,376,500"
"Jun 01, 2020",16.25,19.88,13.18,14.97,14.97,"171,492,100"
"May 01, 2020",11.53,17.63,10.03,16.19,16.19,"217,546,800"
"Apr 01, 2020",10.59,16.96,8.80,11.89,11.89,"247,648,000"
"Mar 01, 2020",21.84,24.52,8.00,11.56,11.56,"246,412,700"
"Feb 01, 2020",22.88,25.26,20.61,21.66,21.40,"207,372,400"
"Jan 01, 2020",18.25,23.63,17.27,23.16,22.88,"186,201,800"
"Dec 01, 2019",19.25,19.29,16.99,18.12,17.90,"155,645,300"
"Nov 01, 2019",17.20,19.46,15.80,19.14,18.55,"174,823,200"
"Oct 01, 2019",19.70,20.03,16.10,17.04,16.51,"121,477,900"
"Sep 01, 2019",16.63,19.67,15.82,19.59,18.99,"114,682,800"
"Aug 01, 2019",26.00,26.22,16.00,16.51,15.76,"149,203,900"
"Jul 01, 2019",26.54,28.02,24.64,25.95,24.78,"91,352,900"
"Jun 01, 2019",22.29,26.71,21.45,26.10,24.92,"106,816,700"
"May 01, 2019",25.67,26.21,21.47,22.46,21.16,"120,637,800"
"Apr 01, 2019",27.82,28.06,24.73,25.64,24.16,"85,217,200"
"Mar 01, 2019",27.80,29.02,25.55,27.58,25.99,"106,065,500"
"Feb 01, 2019",27.97,28.27,24.77,26.14,24.36,"76,271,300"
"Jan 01, 2019",25.09,29.69,24.66,27.84,25.94,"91,553,000"
"Dec 01, 2018",33.90,34.89,23.71,25.67,23.92,"95,458,500"
"Nov 01, 2018",32.72,38.00,28.10,33.11,30.20,"137,016,300"
"Oct 01, 2018",30.53,32.81,28.10,32.42,29.58,"112,506,200"
"Sep 01, 2018",26.40,30.64,25.89,30.30,27.64,"106,197,300"
"Aug 01, 2018",31.52,33.32,26.08,26.43,23.67,"156,631,300"
"Jul 01, 2018",36.55,37.84,30.42,31.67,28.36,"88,404,700"
"Jun 01, 2018",33.95,38.14,33.81,36.88,33.02,"86,363,800"
"May 01, 2018",34.80,36.53,30.70,33.91,29.86,"121,205,000"
"Apr 01, 2018",38.31,38.94,34.20,34.91,30.74,"85,212,100"
