,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",76.65,82.55,70.97,76.23,76.01,"63,629,000"
"Nov 01, 2020",71.84,80.93,69.69,75.86,75.64,"52,459,700"
"Oct 01, 2020",82.46,86.80,69.41,70.23,69.81,"57,291,700"
"Sep 01, 2020",74.90,82.72,71.34,81.68,81.20,"66,368,700"
"Aug 01, 2020",72.86,80.00,71.93,74.82,74.38,"43,040,600"
"Jul 01, 2020",61.57,74.32,59.30,72.35,71.78,"69,219,200"
"Jun 01, 2020",60.90,65.69,57.09,61.62,61.14,"93,162,000"
"May 01, 2020",48.37,65.90,46.10,60.46,59.99,"68,289,100"
"Apr 01, 2020",36.33,53.31,32.41,50.07,49.53,"77,858,500"
"Mar 01, 2020",60.77,67.12,25.42,38.20,37.79,"131,962,200"
"Feb 01, 2020",66.51,71.38,59.02,60.34,59.69,"47,770,100"
"Jan 01, 2020",56.07,68.59,55.31,66.36,65.52,"88,447,000"
"Dec 01, 2019",59.60,60.27,55.10,55.79,55.09,"63,180,500"
"Nov 01, 2019",60.00,61.07,57.08,59.65,58.90,"55,152,000"
"Oct 01, 2019",55.99,62.63,54.95,59.60,58.81,"91,318,000"
"Sep 01, 2019",50.71,56.14,50.52,55.85,55.11,"56,860,800"
"Aug 01, 2019",47.79,52.72,47.01,51.00,50.32,"73,646,900"
"Jul 01, 2019",48.97,49.26,45.52,47.57,46.90,"69,518,100"
"Jun 01, 2019",49.54,53.87,47.07,48.46,47.78,"70,691,900"
"May 01, 2019",52.37,54.50,49.13,49.66,48.96,"50,925,800"
"Apr 01, 2019",48.94,53.18,48.05,52.03,51.26,"64,580,900"
"Mar 01, 2019",48.34,53.28,44.84,49.09,48.36,"90,717,900"
"Feb 01, 2019",47.32,50.50,45.46,47.98,47.27,"62,489,500"
"Jan 01, 2019",38.56,47.96,38.43,47.42,46.67,"99,328,100"
"Dec 01, 2018",43.45,43.85,37.29,39.15,38.53,"80,782,000"
"Nov 01, 2018",43.05,44.73,38.23,42.73,42.06,"93,685,300"
"Oct 01, 2018",47.00,48.00,38.79,42.98,42.26,"151,951,100"
"Sep 01, 2018",51.63,53.30,46.60,46.69,45.91,"72,054,200"
"Aug 01, 2018",52.44,53.98,49.74,51.67,50.81,"58,426,300"
"Jul 01, 2018",52.00,55.77,50.54,52.27,51.36,"70,574,900"
"Jun 01, 2018",52.00,54.82,48.71,52.50,51.59,"95,961,700"
"May 01, 2018",52.81,55.13,50.00,51.74,50.84,"74,374,700"
"Apr 01, 2018",58.71,64.90,52.85,52.89,51.93,"116,543,000"
"Mar 01, 2018",56.84,61.52,55.92,58.94,57.87,"75,777,000"
"Feb 01, 2018",62.20,63.52,55.94,56.58,55.56,"128,132,800"
"Jan 01, 2018",63.93,72.17,62.45,62.66,61.49,"96,376,300"
"Dec 01, 2017",62.84,64.42,60.67,63.24,62.06,"60,439,400"
"Nov 01, 2017",55.15,63.15,53.53,62.78,61.61,"88,185,300"
"Oct 01, 2017",52.18,57.97,51.62,54.74,53.68,"75,586,200"
"Sep 01, 2017",51.04,52.66,48.69,51.92,50.91,"44,451,700"
"Aug 01, 2017",51.68,53.94,49.59,50.89,49.91,"29,337,900"
"Jul 01, 2017",52.34,53.70,50.68,51.56,50.53,"38,844,400"
"Jun 01, 2017",50.50,54.82,50.15,52.43,51.38,"50,410,200"
"May 01, 2017",49.88,52.43,48.52,50.45,49.44,"36,477,500"
"Apr 01, 2017",50.39,52.11,49.06,49.66,48.62,"43,224,100"
"Mar 01, 2017",48.33,52.89,48.27,50.33,49.29,"69,270,200"
"Feb 01, 2017",43.99,48.18,43.30,47.97,46.97,"43,129,200"
"Jan 01, 2017",42.67,46.79,41.52,43.90,42.95,"50,772,500"
