,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",155.82,166.19,149.31,160.51,159.95,"112,757,200"
"Nov 01, 2020",159.89,173.56,146.72,155.82,155.27,"119,732,000"
"Oct 01, 2020",167.34,180.67,155.77,158.10,157.01,"76,283,800"
"Sep 01, 2020",164.41,171.72,151.89,165.86,164.71,"86,105,100"
"Aug 01, 2020",149.90,171.32,148.71,164.69,163.55,"84,487,200"
"Jul 01, 2020",135.40,149.92,134.05,148.91,147.32,"77,540,100"
"Jun 01, 2020",129.89,137.29,123.09,135.12,133.67,"108,752,000"
"May 01, 2020",102.50,131.40,102.31,130.35,128.95,"134,530,900"
"Apr 01, 2020",80.74,107.80,79.08,104.75,103.03,"132,101,200"
"Mar 01, 2020",107.20,113.55,60.00,86.05,84.64,"202,085,300"
"Feb 01, 2020",117.00,126.73,102.93,106.57,104.82,"87,816,600"
"Jan 01, 2020",120.05,123.14,116.09,116.24,113.82,"76,244,300"
"Dec 01, 2019",117.60,121.46,113.61,119.76,117.26,"66,612,000"
"Nov 01, 2019",111.92,121.22,110.15,117.31,114.86,"86,957,200"
"Oct 01, 2019",110.09,113.81,104.59,111.61,108.75,"75,839,900"
"Sep 01, 2019",111.37,115.96,108.81,109.96,107.14,"74,933,600"
"Aug 01, 2019",101.74,113.24,91.82,112.20,109.32,"125,759,700"
"Jul 01, 2019",102.10,108.31,100.84,101.40,98.27,"92,411,000"
"Jun 01, 2019",93.03,102.96,92.90,100.91,97.79,"95,671,900"
"May 01, 2019",113.04,113.13,91.60,93.28,90.40,"132,427,600"
"Apr 01, 2019",110.21,118.23,105.84,113.14,109.18,"86,340,500"
"Mar 01, 2019",105.90,109.94,97.55,109.47,105.64,"99,741,000"
"Feb 01, 2019",96.21,109.92,95.84,105.09,101.41,"88,244,000"
"Jan 01, 2019",91.22,98.22,90.23,96.16,92.33,"98,822,400"
"Dec 01, 2018",95.49,96.06,85.90,92.36,88.68,"106,725,000"
"Nov 01, 2018",95.29,100.69,84.75,94.37,90.61,"114,556,600"
"Oct 01, 2018",115.58,115.63,91.61,95.22,90.98,"117,775,300"
"Sep 01, 2018",108.39,117.70,108.03,114.82,109.71,"94,437,200"
"Aug 01, 2018",98.99,109.80,96.24,108.75,103.91,"107,517,700"
"Jul 01, 2018",95.36,101.98,93.96,99.34,94.46,"76,344,400"
"Jun 01, 2018",95.44,101.33,95.16,95.57,90.88,"91,697,700"
"May 01, 2018",81.75,97.98,81.16,95.01,90.35,"143,773,800"
"Apr 01, 2018",87.35,89.15,81.31,82.43,78.00,"132,443,800"
"Mar 01, 2018",89.57,90.33,83.74,87.75,83.04,"170,855,700"
"Feb 01, 2018",103.84,105.08,86.75,89.59,84.78,"151,269,400"
"Jan 01, 2018",93.02,108.98,91.17,104.73,98.73,"128,537,300"
"Dec 01, 2017",83.24,93.55,82.12,92.94,87.61,"131,002,100"
"Nov 01, 2017",79.62,84.68,75.36,83.37,78.59,"142,241,900"
"Oct 01, 2017",80.04,82.74,79.40,79.95,74.98,"110,493,800"
"Sep 01, 2017",74.19,80.15,73.72,79.94,74.97,"145,099,700"
"Aug 01, 2017",77.27,78.91,70.76,73.89,69.30,"149,943,300"
"Jul 01, 2017",78.00,78.45,71.58,77.40,72.19,"122,500,900"
