,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",73.29,80.00,71.58,78.74,78.50,"15,894,300"
"Nov 01, 2020",64.52,82.39,64.12,72.38,71.92,"23,698,600"
"Oct 01, 2020",66.84,75.00,62.62,63.45,63.04,"23,427,300"
"Sep 01, 2020",62.55,70.42,60.65,66.27,65.85,"21,029,300"
"Aug 01, 2020",60.24,65.59,59.25,62.85,62.22,"18,108,100"
"Jul 01, 2020",63.87,71.03,58.67,60.08,59.48,"26,854,400"
"Jun 01, 2020",60.92,74.81,60.43,63.93,63.29,"37,604,900"
"May 01, 2020",60.54,62.87,51.72,60.06,59.23,"33,960,500"
"Apr 01, 2020",52.00,65.42,48.12,61.36,60.51,"37,433,900"
"Mar 01, 2020",86.94,88.45,39.06,57.10,56.31,"49,074,900"
"Feb 01, 2020",91.67,96.32,85.41,86.89,85.68,"15,990,200"
"Jan 01, 2020",85.77,94.46,83.95,91.31,89.82,"25,075,200"
"Dec 01, 2019",83.81,86.59,82.82,86.03,84.62,"18,590,800"
"Nov 01, 2019",78.34,84.38,76.62,83.98,82.61,"20,088,800"
"Oct 01, 2019",72.82,79.39,72.51,78.04,76.57,"23,531,400"
"Sep 01, 2019",70.10,74.81,69.76,72.72,71.35,"18,339,500"
"Aug 01, 2019",67.26,70.77,63.69,70.39,68.85,"19,686,800"
"Jul 01, 2019",63.53,68.85,62.03,67.12,65.66,"36,309,700"
"Jun 01, 2019",59.25,63.38,58.83,63.36,61.98,"30,266,900"
"May 01, 2019",69.94,70.65,59.16,59.25,57.79,"46,350,900"
"Apr 01, 2019",74.79,79.10,67.08,70.05,68.33,"36,853,900"
"Mar 01, 2019",69.69,75.24,67.96,74.94,73.10,"33,214,700"
"Feb 01, 2019",72.48,72.55,67.84,69.31,67.60,"27,042,000"
"Jan 01, 2019",73.23,76.88,65.87,72.30,70.33,"38,905,300"
"Dec 01, 2018",77.33,77.87,70.91,73.56,71.55,"35,468,000"
"Nov 01, 2018",78.16,83.86,75.83,76.70,74.42,"66,856,300"
"Oct 01, 2018",66.96,79.97,65.80,78.16,75.84,"33,344,000"
"Sep 01, 2018",67.65,68.19,64.68,66.60,64.62,"16,895,500"
"Aug 01, 2018",70.29,73.19,63.02,67.60,65.41,"19,013,100"
"Jul 01, 2018",68.12,71.32,67.62,70.27,68.00,"19,425,000"
"Jun 01, 2018",64.12,69.55,63.35,68.51,66.29,"21,474,100"
"May 01, 2018",65.03,68.70,63.47,63.75,61.50,"18,176,600"
"Apr 01, 2018",58.50,66.85,57.45,65.32,63.02,"31,253,200"
"Mar 01, 2018",54.08,58.50,53.99,58.22,56.17,"17,169,200"
"Feb 01, 2018",58.40,58.80,52.92,54.09,52.02,"28,110,600"
"Jan 01, 2018",56.49,60.85,53.20,58.60,56.35,"23,950,900"
"Dec 01, 2017",54.50,57.51,53.86,56.45,54.28,"19,521,100"
"Nov 01, 2017",51.02,54.65,50.60,54.37,52.09,"18,977,300"
"Oct 01, 2017",46.80,51.56,46.30,50.99,48.85,"16,213,600"
"Sep 01, 2017",45.72,47.15,44.92,46.89,44.93,"14,897,000"
"Aug 01, 2017",44.21,45.97,42.90,45.48,43.39,"17,095,000"
"Jul 01, 2017",44.02,49.94,42.58,43.98,41.96,"20,377,000"
"Jun 01, 2017",46.48,47.99,43.89,44.04,42.02,"16,691,300"
"May 01, 2017",41.86,46.82,40.75,46.41,44.28,"20,719,600"
"Apr 01, 2017",42.01,43.40,40.61,41.75,39.65,"19,676,600"
"Mar 01, 2017",39.10,43.48,39.07,42.06,39.95,"29,902,200"
"Feb 01, 2017",37.58,40.16,37.16,39.19,37.22,"22,676,100"
"Jan 01, 2017",37.71,38.96,35.81,37.36,35.30,"30,072,800"
"Dec 01, 2016",33.04,38.52,32.01,37.85,35.77,"37,204,800"
"Nov 01, 2016",32.04,34.30,28.75,33.48,31.64,"84,954,600"
