,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",57.79,59.12,56.68,58.47,57.85,"128,132,600"
"Nov 01, 2020",53.94,59.03,53.60,57.45,56.84,"116,494,700"
"Oct 01, 2020",57.63,59.11,52.51,53.12,52.56,"116,358,000"
"Sep 01, 2020",58.40,59.72,54.48,57.45,56.53,"142,926,100"
"Aug 01, 2020",55.60,58.87,54.40,58.42,57.48,"108,062,600"
"Jul 01, 2020",51.06,57.70,50.00,55.49,54.60,"129,427,900"
"Jun 01, 2020",52.03,53.78,49.92,51.13,50.02,"149,292,300"
"May 01, 2020",51.14,52.30,48.77,52.12,50.99,"125,565,400"
"Apr 01, 2020",48.38,54.61,48.00,51.44,50.33,"170,907,200"
"Mar 01, 2020",52.63,58.13,41.19,50.08,48.70,"286,698,600"
"Feb 01, 2020",57.79,59.96,51.56,52.80,51.35,"136,852,200"
"Jan 01, 2020",55.06,59.43,53.57,57.38,55.80,"153,494,600"
"Dec 01, 2019",52.40,55.53,52.12,55.08,53.29,"125,140,300"
"Nov 01, 2019",52.67,53.41,51.42,52.54,50.83,"100,528,400"
"Oct 01, 2019",55.33,56.06,51.26,52.45,50.75,"140,933,900"
"Sep 01, 2019",54.91,56.72,53.57,55.32,53.25,"115,929,900"
"Aug 01, 2019",53.39,55.63,51.92,55.22,53.15,"130,295,700"
"Jul 01, 2019",54.37,55.85,52.82,53.49,51.49,"111,921,000"
"Jun 01, 2019",50.98,55.71,50.96,53.90,51.63,"128,018,000"
"May 01, 2019",52.00,52.98,50.55,50.85,48.71,"156,664,600"
"Apr 01, 2019",49.98,50.87,49.33,50.85,48.71,"118,877,000"
"Mar 01, 2019",47.19,50.05,46.37,49.92,47.57,"145,657,400"
"Feb 01, 2019",45.86,48.46,45.39,47.16,44.94,"168,398,600"
"Jan 01, 2019",39.70,46.31,39.46,46.26,44.08,"170,324,300"
"Dec 01, 2018",44.83,45.45,38.78,40.03,37.90,"172,490,000"
"Nov 01, 2018",42.03,45.10,41.33,44.98,42.59,"161,633,800"
"Oct 01, 2018",43.02,43.49,39.66,41.98,39.75,"184,590,800"
"Sep 01, 2018",42.68,44.35,41.78,42.96,40.43,"125,630,300"
"Aug 01, 2018",43.28,44.23,41.54,42.72,40.20,"131,779,200"
"Jul 01, 2018",40.93,43.64,40.52,43.38,40.82,"144,889,000"
"Jun 01, 2018",39.38,41.70,38.94,41.00,38.38,"167,493,400"
"May 01, 2018",39.42,39.95,37.42,39.27,36.76,"192,119,800"
"Apr 01, 2018",41.57,42.46,39.38,39.50,36.97,"179,241,500"
"Mar 01, 2018",43.97,45.71,40.51,41.73,38.85,"207,081,300"
"Feb 01, 2018",44.36,46.54,41.82,43.90,40.87,"212,590,500"
"Jan 01, 2018",43.22,45.06,42.29,44.40,41.34,"170,809,700"
"Dec 01, 2017",42.68,43.98,42.37,42.80,39.64,"183,857,800"
"Nov 01, 2017",41.85,43.43,40.20,42.94,39.77,"153,622,700"
"Oct 01, 2017",40.60,42.49,39.19,41.43,38.38,"176,054,500"
"Sep 01, 2017",40.79,41.40,40.04,40.66,37.46,"188,555,400"
"Aug 01, 2017",44.04,44.48,40.39,40.66,37.46,"205,530,200"
