,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",80.95,83.94,77.74,81.80,80.45,"192,566,600"
"Nov 01, 2020",76.45,85.17,75.64,80.39,79.07,"170,872,700"
"Oct 01, 2020",83.18,83.34,73.94,75.21,73.97,"186,057,100"
"Sep 01, 2020",85.35,87.80,81.70,82.95,80.99,"179,238,400"
"Aug 01, 2020",82.15,86.29,80.03,85.27,83.26,"148,658,500"
"Jul 01, 2020",77.43,81.68,76.04,80.24,78.35,"175,648,400"
"Jun 01, 2020",80.18,83.51,73.57,77.33,74.91,"241,226,500"
"May 01, 2020",78.86,81.00,75.43,80.72,78.20,"209,601,300"
"Apr 01, 2020",74.66,84.67,72.99,79.34,76.86,"244,122,500"
"Mar 01, 2020",77.13,83.07,65.25,76.94,73.92,"390,649,700"
"Feb 01, 2020",86.04,89.20,74.18,76.56,73.56,"263,441,900"
"Jan 01, 2020",91.08,92.14,84.71,85.44,82.09,"195,634,200"
"Dec 01, 2019",87.54,92.64,86.50,90.95,86.79,"151,362,600"
"Nov 01, 2019",87.07,87.87,82.67,87.18,83.19,"165,050,600"
"Oct 01, 2019",84.18,86.99,80.25,86.66,82.69,"183,698,100"
"Sep 01, 2019",86.24,87.17,78.85,84.18,79.80,"179,567,000"
"Aug 01, 2019",83.06,87.35,82.16,86.47,81.97,"180,223,200"
"Jul 01, 2019",84.33,87.07,78.63,82.99,78.67,"221,865,500"
"Jun 01, 2019",79.65,86.50,79.52,83.85,78.96,"225,784,100"
"May 01, 2019",78.69,81.94,76.80,79.21,74.59,"204,567,200"
"Apr 01, 2019",83.73,83.85,72.23,78.71,74.12,"259,664,600"
"Mar 01, 2019",81.76,83.47,79.05,83.17,77.79,"202,303,500"
"Feb 01, 2019",75.97,81.76,75.33,81.29,76.03,"189,680,000"
"Jan 01, 2019",75.29,76.50,72.05,74.43,69.61,"291,468,700"
"Dec 01, 2018",79.52,80.19,70.89,76.41,70.97,"284,095,500"
"Nov 01, 2018",73.80,79.49,70.12,79.34,73.69,"273,074,300"
"Oct 01, 2018",71.07,74.49,66.10,73.61,68.37,"279,961,100"
"Sep 01, 2018",68.37,71.58,67.91,70.94,65.44,"145,425,900"
"Aug 01, 2018",65.71,70.25,64.87,68.59,63.27,"175,830,200"
"Jul 01, 2018",60.55,66.12,59.92,65.87,60.77,"173,111,300"
