,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",120.21,129.97,118.54,127.30,126.41,"18,255,100"
"Nov 01, 2020",105.00,127.46,98.08,116.49,114.62,"27,698,700"
"Oct 01, 2020",92.22,107.82,90.45,103.58,101.92,"19,306,900"
"Sep 01, 2020",102.26,108.50,88.48,92.09,90.61,"20,758,400"
"Aug 01, 2020",105.93,114.13,100.80,103.26,100.55,"13,165,200"
"Jul 01, 2020",104.49,107.45,94.43,105.95,103.17,"17,673,500"
"Jun 01, 2020",106.25,130.14,98.68,103.97,101.24,"24,360,000"
"May 01, 2020",109.21,116.17,85.09,105.66,101.85,"18,657,700"
"Apr 01, 2020",97.96,119.97,90.95,112.08,108.04,"17,919,400"
"Mar 01, 2020",140.38,148.11,87.64,103.43,99.70,"31,660,500"
"Feb 01, 2020",169.45,174.00,136.38,140.38,134.29,"13,694,000"
"Jan 01, 2020",170.36,173.44,158.41,168.52,161.21,"15,262,300"
"Dec 01, 2019",165.75,172.63,160.46,169.75,162.39,"11,052,800"
"Nov 01, 2019",158.14,169.80,157.20,164.74,156.56,"11,269,900"
"Oct 01, 2019",159.04,160.51,147.01,156.53,148.75,"15,048,800"
"Sep 01, 2019",144.80,160.17,141.50,157.97,150.12,"13,200,800"
"Aug 01, 2019",163.89,164.55,142.96,146.21,138.00,"14,909,600"
"Jul 01, 2019",171.25,174.93,160.45,164.25,155.03,"16,486,600"
"Jun 01, 2019",159.18,170.41,158.62,170.07,160.52,"12,119,300"
"May 01, 2019",169.83,171.77,158.75,159.60,149.71,"16,922,600"
"Apr 01, 2019",158.14,171.61,157.92,170.07,159.53,"13,588,000"
"Mar 01, 2019",173.01,175.72,152.25,157.02,146.44,"18,808,300"
"Feb 01, 2019",164.86,176.11,160.59,173.06,161.40,"16,967,000"
"Jan 01, 2019",141.11,169.81,141.11,164.54,153.45,"19,669,600"
"Dec 01, 2018",170.32,171.01,133.78,143.13,133.49,"17,694,200"
"Nov 01, 2018",166.08,170.75,161.35,169.01,156.69,"19,312,600"
"Oct 01, 2018",166.19,170.94,154.33,165.41,153.35,"22,181,800"
"Sep 01, 2018",177.97,180.77,164.28,164.54,152.54,"16,750,000"
"Aug 01, 2018",174.29,178.20,171.86,177.15,163.30,"15,411,400"
"Jul 01, 2018",169.37,177.40,165.53,173.35,159.80,"24,196,300"
"Jun 01, 2018",174.25,180.13,167.32,170.15,156.85,"20,916,100"
"May 01, 2018",181.42,187.07,170.58,172.08,157.90,"14,962,600"
"Apr 01, 2018",183.40,188.80,175.90,182.27,167.25,"16,732,700"
"Mar 01, 2018",190.60,197.35,177.01,184.36,168.50,"14,096,400"
"Feb 01, 2018",190.17,197.37,175.31,189.84,173.51,"14,466,300"
"Jan 01, 2018",172.48,192.68,170.00,190.78,174.37,"13,187,100"
"Dec 01, 2017",169.59,176.62,163.27,170.99,156.28,"11,626,300"
"Nov 01, 2017",167.63,171.89,155.77,168.95,153.73,"14,008,300"
"Oct 01, 2017",161.17,168.40,159.30,166.77,151.75,"13,854,200"
"Sep 01, 2017",148.66,161.78,141.12,161.04,146.53,"15,833,000"
"Aug 01, 2017",163.88,166.70,147.74,147.86,133.87,"13,318,100"
"Jul 01, 2017",162.98,166.85,157.26,163.15,147.71,"15,424,500"
"Jun 01, 2017",157.56,164.03,155.10,161.95,146.62,"14,496,300"
"May 01, 2017",156.88,163.50,155.19,156.47,141.00,"15,513,100"
"Apr 01, 2017",155.27,159.91,147.55,155.41,140.04,"14,984,900"
"Mar 01, 2017",169.64,173.72,149.51,154.73,138.82,"20,127,200"
"Feb 01, 2017",163.99,170.81,160.52,166.97,149.81,"17,845,300"
"Jan 01, 2017",158.20,164.53,152.20,162.57,145.86,"17,655,100"
"Dec 01, 2016",144.74,158.35,144.34,154.17,138.32,"22,100,100"
"Nov 01, 2016",123.33,144.38,120.31,143.94,128.50,"27,204,100"
"Oct 01, 2016",115.62,123.34,112.25,122.73,109.57,"16,378,800"
"Sep 01, 2016",118.68,118.92,113.58,116.10,103.65,"16,645,700"
"Aug 01, 2016",114.43,118.75,111.82,118.33,105.01,"17,130,000"
"Jul 01, 2016",117.65,120.40,111.13,114.56,101.67,"17,398,100"
"Jun 01, 2016",119.50,120.79,108.04,118.23,104.92,"20,720,100"
"May 01, 2016",118.92,120.10,112.41,119.50,105.42,"15,353,800"
"Apr 01, 2016",111.06,121.11,107.01,118.32,104.38,"16,361,200"
"Mar 01, 2016",103.38,113.39,103.17,111.00,97.93,"21,532,000"
"Feb 01, 2016",109.78,111.09,100.08,102.55,89.87,"24,519,000"
"Jan 01, 2016",119.24,119.24,101.51,110.18,96.56,"28,586,200"
"Dec 01, 2015",126.13,127.39,118.64,121.18,106.20,"19,592,500"
"Nov 01, 2015",120.93,126.49,119.14,125.33,109.83,"24,751,400"
"Oct 01, 2015",121.62,126.16,111.50,119.85,104.43,"38,198,200"
"Sep 01, 2015",115.47,123.89,111.86,121.95,106.26,"23,454,600"
"Aug 01, 2015",131.10,133.15,112.86,120.67,104.54,"16,045,800"
"Jul 01, 2015",126.57,134.00,122.65,131.15,113.62,"13,938,700"
"Jun 01, 2015",121.49,128.70,119.56,124.93,108.23,"13,403,600"
"May 01, 2015",120.45,124.35,118.80,120.88,104.12,"15,200,900"
"Apr 01, 2015",126.91,127.52,117.86,119.67,103.08,"25,787,400"
"Mar 01, 2015",121.00,129.58,120.83,127.00,109.39,"19,156,500"
"Feb 01, 2015",114.01,124.80,113.21,121.00,103.62,"13,908,900"
"Jan 01, 2015",126.42,126.79,111.78,113.16,96.91,"18,311,000"
"Dec 01, 2014",125.14,128.96,119.58,125.62,107.58,"15,213,000"
"Nov 01, 2014",122.62,126.80,120.37,126.02,107.32,"9,917,800"
"Oct 01, 2014",123.26,123.93,112.42,122.18,104.05,"19,834,700"
