,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020","4,016.00","4,316.86","3,875.20","4,079.86","4,079.86","477,300"
"Nov 01, 2020","4,032.00","4,424.95","3,939.97","3,997.18","3,997.18","455,700"
"Oct 01, 2020","4,117.34","4,530.00","3,868.01","3,953.09","3,953.09","447,800"
"Sep 01, 2020","4,140.00","4,247.43","3,823.31","4,083.12","4,083.12","424,600"
"Aug 01, 2020","3,935.00","4,318.00","3,770.02","4,168.34","4,168.34","447,900"
"Jul 01, 2020","3,254.88","4,000.00","3,158.88","3,930.15","3,930.15","481,400"
"Jun 01, 2020","3,245.08","3,619.26","3,050.00","3,258.75","3,258.75","662,900"
"May 01, 2020","3,000.00","3,417.56","2,660.00","3,221.61","3,221.61","629,500"
"Apr 01, 2020","2,502.00","3,349.97","2,294.72","3,100.00","3,100.00","738,100"
"Mar 01, 2020","3,689.30","4,034.99","2,043.01","2,569.11","2,569.11","1,131,200"
"Feb 01, 2020","3,842.76","4,071.13","3,585.19","3,667.18","3,667.18","505,400"
"Jan 01, 2020","3,777.00","4,058.00","3,696.54","3,816.97","3,816.97","633,000"
"Dec 01, 2019","3,771.11","3,912.47","3,675.85","3,808.41","3,808.41","570,600"
"Nov 01, 2019","3,651.90","3,827.72","3,315.61","3,791.89","3,791.89","695,100"
"Oct 01, 2019","3,715.10","3,946.50","3,555.10","3,636.59","3,636.59","581,200"
"Sep 01, 2019","3,598.85","3,770.00","3,457.92","3,717.35","3,717.35","1,401,400"
"Aug 01, 2019","3,325.20","3,720.00","3,305.00","3,599.00","3,599.00","488,200"
"Jul 01, 2019","3,396.99","3,582.99","3,245.68","3,344.14","3,344.14","455,600"
"Jun 01, 2019","3,190.00","3,489.00","3,170.00","3,370.25","3,370.25","482,200"
"May 01, 2019","3,160.00","3,381.98","3,151.20","3,201.57","3,201.57","580,200"
"Apr 01, 2019","2,776.99","3,335.23","2,744.73","3,152.48","3,152.48","472,400"
"Mar 01, 2019","2,623.92","2,893.75","2,586.54","2,767.00","2,767.00","485,500"
"Feb 01, 2019","2,653.55","2,706.85","2,513.82","2,620.00","2,620.00","477,800"
"Jan 01, 2019","2,387.35","2,710.89","2,285.00","2,660.00","2,660.00","592,900"
"Dec 01, 2018","2,470.80","2,549.89","2,297.46","2,436.99","2,436.99","545,200"
"Nov 01, 2018","2,248.09","2,580.96","2,185.10","2,450.00","2,450.00","706,100"
"Oct 01, 2018","2,475.35","2,515.31","2,040.71","2,239.03","2,239.03","964,500"
"Sep 01, 2018","2,656.40","2,689.85","2,465.01","2,470.80","2,470.80","510,900"
"Aug 01, 2018","2,759.92","2,791.11","2,598.90","2,668.45","2,668.45","588,700"
"Jul 01, 2018","2,938.58","3,188.18","2,694.00","2,759.43","2,759.43","533,200"
"Jun 01, 2018","2,996.12","3,233.00","2,919.41","2,970.35","2,970.35","648,800"
"May 01, 2018","3,075.60","3,184.56","2,878.25","2,990.54","2,990.54","664,300"
"Apr 01, 2018","2,930.00","3,223.90","2,862.20","3,100.00","3,100.00","571,600"
"Mar 01, 2018","2,856.00","3,169.95","2,800.00","2,800.00","2,800.00","615,900"
"Feb 01, 2018","3,110.05","3,250.00","2,738.76","2,843.17","2,843.17","812,500"
"Jan 01, 2018","3,410.00","3,700.00","3,058.14","3,178.17","3,178.17","737,600"
"Dec 01, 2017","3,479.90","3,536.97","3,296.49","3,508.22","3,508.22","595,800"
"Nov 01, 2017","3,300.00","3,508.38","3,162.02","3,475.00","3,475.00","621,800"
"Oct 01, 2017","2,862.00","3,320.18","2,828.00","3,281.37","3,281.37","606,500"
"Sep 01, 2017","2,715.20","2,891.43","2,674.99","2,855.00","2,855.00","436,100"
"Aug 01, 2017","2,612.00","2,775.52","2,606.76","2,720.85","2,720.85","548,300"
"Jul 01, 2017","2,413.11","2,705.16","2,393.82","2,610.44","2,610.44","557,700"
"Jun 01, 2017","2,297.00","2,510.76","2,275.20","2,410.61","2,410.61","650,800"
"May 01, 2017","2,124.80","2,368.66","2,084.50","2,282.38","2,282.38","819,100"
"Apr 01, 2017","2,119.81","2,191.75","2,028.99","2,111.25","2,111.25","606,400"
"Mar 01, 2017","1,942.33","2,115.00","1,941.97","2,106.88","2,106.88","518,400"
"Feb 01, 2017","1,872.78","1,962.00","1,832.70","1,934.97","1,934.97","484,500"
"Jan 01, 2017","1,650.00","1,920.52","1,631.78","1,858.00","1,858.00","663,300"
"Dec 01, 2016","1,596.25","1,695.41","1,570.00","1,650.90","1,650.90","444,100"
"Nov 01, 2016","1,519.03","1,620.00","1,478.04","1,595.00","1,595.00","693,800"
"Oct 01, 2016","1,634.09","1,648.00","1,505.03","1,523.00","1,523.00","602,900"
"Sep 01, 2016","1,690.97","1,712.81","1,633.00","1,639.87","1,639.87","429,800"
"Aug 01, 2016","1,691.00","1,720.94","1,655.00","1,686.80","1,686.80","536,700"
"Jul 01, 2016","1,779.95","1,845.37","1,676.08","1,705.00","1,705.00","528,800"
"Jun 01, 2016","1,733.00","1,789.49","1,662.00","1,780.34","1,780.34","581,900"
"May 01, 2016","1,669.74","1,747.99","1,606.75","1,733.00","1,733.00","487,200"
"Apr 01, 2016","1,732.58","1,801.94","1,641.01","1,661.29","1,661.29","559,700"
"Mar 01, 2016","1,648.84","1,820.00","1,600.60","1,732.40","1,732.40","547,000"
"Feb 01, 2016","1,643.90","1,665.00","1,503.05","1,637.00","1,637.00","469,000"
"Jan 01, 2016","1,629.89","1,660.00","1,462.02","1,651.00","1,651.00","622,100"
"Dec 01, 2015","1,683.00","1,721.95","1,617.55","1,643.00","1,643.00","539,700"
"Nov 01, 2015","1,636.21","1,699.30","1,604.89","1,682.48","1,682.48","445,600"
"Oct 01, 2015","1,540.89","1,672.65","1,500.23","1,637.76","1,637.76","880,100"
"Sep 01, 2015","1,514.80","1,610.00","1,494.00","1,525.22","1,525.22","600,500"
"Aug 01, 2015","1,481.26","1,584.54","1,430.12","1,519.95","1,519.95","566,000"
"Jul 01, 2015","1,343.99","1,500.00","1,317.23","1,490.04","1,490.04","782,200"
"Jun 01, 2015","1,361.33","1,386.39","1,335.00","1,340.00","1,340.00","469,000"
"May 01, 2015","1,327.15","1,387.40","1,292.11","1,360.60","1,360.60","543,200"
"Apr 01, 2015","1,324.08","1,369.13","1,307.00","1,326.49","1,326.49","613,600"
"Mar 01, 2015","1,351.61","1,371.93","1,307.51","1,328.66","1,328.66","432,800"
"Feb 01, 2015","1,279.39","1,377.76","1,237.00","1,332.00","1,332.00","397,300"
"Jan 01, 2015","1,246.98","1,355.09","1,187.84","1,254.23","1,254.23","785,200"
"Dec 01, 2014","1,258.50","1,284.50","1,150.54","1,275.33","1,275.33","728,400"
"Nov 01, 2014","1,211.34","1,264.99","1,205.00","1,258.67","1,258.67","446,000"
"Oct 01, 2014","1,130.02","1,258.06","1,050.95","1,227.58","1,227.58","929,000"
"Sep 01, 2014","1,161.51","1,200.00","1,112.53","1,130.02","1,130.02","465,600"
"Aug 01, 2014","1,122.00","1,193.93","1,117.92","1,173.19","1,173.19","546,500"
"Jul 01, 2014","1,155.17","1,177.79","1,040.83","1,126.46","1,126.46","1,007,600"
"Jun 01, 2014","1,110.01","1,163.55","1,102.15","1,150.60","1,150.60","626,300"
"May 01, 2014","1,080.88","1,132.60","1,066.32","1,113.64","1,113.64","797,000"
"Apr 01, 2014","1,144.20","1,173.78","1,027.00","1,077.00","1,077.00","1,274,800"
"Mar 01, 2014","1,184.90","1,220.95","1,121.18","1,147.00","1,147.00","826,100"
"Feb 01, 2014","1,142.51","1,199.99","1,126.16","1,192.00","1,192.00","958,900"
"Jan 01, 2014",995.01,"1,197.45",991.05,"1,153.41","1,153.41","1,172,200"
"Dec 01, 2013",972.90,"1,042.55",945.00,"1,026.01","1,026.01","808,600"
"Nov 01, 2013",913.78,992.00,912.18,969.98,969.98,"751,100"
"Oct 01, 2013",927.85,950.00,883.96,917.32,917.32,"755,900"
"Sep 01, 2013",860.50,950.61,830.00,919.19,919.19,"719,400"
"Aug 01, 2013",935.00,948.99,830.81,855.81,855.81,"843,000"
"Jul 01, 2013",929.90,967.00,889.32,925.60,925.60,"947,800"
"Jun 01, 2013",987.79,991.98,885.43,922.00,922.00,"830,100"
"May 01, 2013","1,023.25","1,042.01",977.03,983.31,983.31,"736,700"
"Apr 01, 2013","1,065.10","1,084.00",910.00,"1,030.00","1,030.00","861,200"
"Mar 01, 2013","1,000.60","1,100.00",996.10,"1,080.11","1,080.11","651,600"
"Feb 01, 2013","1,033.85","1,046.89",961.35,"1,009.20","1,009.20","582,800"
