,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",21.43,22.09,19.80,21.23,21.03,"64,530,300"
"Nov 01, 2020",17.80,21.60,17.70,21.26,20.83,"64,586,900"
"Oct 01, 2020",17.31,18.49,16.57,17.66,17.31,"42,086,900"
"Sep 01, 2020",15.91,18.28,15.67,17.16,16.82,"60,784,100"
"Aug 01, 2020",16.41,17.94,15.88,15.98,15.44,"52,319,900"
"Jul 01, 2020",15.81,18.00,14.95,16.40,15.84,"79,119,900"
"Jun 01, 2020",13.10,17.48,13.06,15.88,15.34,"94,004,600"
"May 01, 2020",13.20,14.41,11.05,13.15,12.50,"75,374,900"
"Apr 01, 2020",12.52,14.69,11.70,13.88,13.19,"85,133,200"
"Mar 01, 2020",15.51,16.77,10.44,13.28,12.62,"128,372,000"
"Feb 01, 2020",19.62,20.80,14.50,15.43,14.46,"81,816,600"
"Jan 01, 2020",19.43,20.49,18.44,19.53,18.31,"63,530,100"
"Dec 01, 2019",19.25,19.99,18.26,19.22,18.02,"72,071,100"
"Nov 01, 2019",19.86,20.99,18.72,19.22,17.80,"78,975,300"
"Oct 01, 2019",18.74,20.00,17.55,18.97,17.57,"98,116,000"
"Sep 01, 2019",16.52,19.65,16.16,18.72,17.34,"95,221,700"
"Aug 01, 2019",14.10,16.77,13.39,16.60,15.16,"130,811,700"
"Jul 01, 2019",15.58,15.84,14.00,14.19,12.96,"97,868,200"
"Jun 01, 2019",13.28,15.64,13.28,15.42,14.08,"91,810,300"
"May 01, 2019",14.42,16.70,13.04,13.42,12.05,"137,520,500"
"Apr 01, 2019",15.40,16.09,13.57,14.38,12.91,"123,731,100"
"Mar 01, 2019",16.28,16.40,14.74,15.34,13.77,"147,189,500"
"Feb 01, 2019",21.23,22.06,16.07,16.23,14.37,"170,636,300"
"Jan 01, 2019",18.05,21.73,17.98,21.21,18.78,"103,412,900"
"Dec 01, 2018",23.89,24.57,17.71,18.59,16.46,"179,684,900"
"Nov 01, 2018",15.90,24.22,15.75,23.40,20.52,"239,052,600"
"Oct 01, 2018",20.38,20.81,15.12,15.88,13.93,"219,580,100"
"Sep 01, 2018",21.62,22.34,20.14,20.30,17.80,"142,809,300"
"Aug 01, 2018",26.02,27.04,20.21,21.72,18.85,"251,536,500"
"Jul 01, 2018",25.55,28.00,25.43,26.19,22.73,"96,034,700"
"Jun 01, 2018",23.59,26.71,22.60,25.79,22.39,"151,266,200"
"May 01, 2018",27.46,28.38,23.41,23.58,20.28,"145,361,900"
"Apr 01, 2018",25.40,27.80,24.43,27.63,23.76,"110,883,600"
"Mar 01, 2018",27.50,29.55,24.60,25.48,21.91,"213,823,700"
"Feb 01, 2018",26.44,30.17,25.56,25.69,21.91,"228,013,700"
"Jan 01, 2018",31.09,32.58,23.85,26.44,22.55,"222,358,700"
"Dec 01, 2017",30.90,32.28,30.13,30.90,26.35,"114,672,800"
"Nov 01, 2017",40.89,41.31,27.46,30.97,26.22,"232,819,600"
"Oct 01, 2017",42.70,43.99,39.58,40.78,34.52,"101,159,800"
"Sep 01, 2017",48.64,49.24,40.88,42.67,36.12,"130,186,100"
"Aug 01, 2017",53.03,53.10,47.13,48.28,40.67,"86,318,400"
"Jul 01, 2017",53.86,54.19,51.91,52.72,44.41,"45,085,100"
"Jun 01, 2017",53.00,55.08,52.00,53.62,45.17,"80,207,500"
"May 01, 2017",47.18,53.63,45.19,52.95,44.42,"105,213,500"
"Apr 01, 2017",47.15,49.27,45.67,47.74,40.05,"57,002,400"
"Mar 01, 2017",49.42,49.77,46.95,47.17,39.57,"72,266,400"
"Feb 01, 2017",47.30,50.17,43.43,49.03,40.96,"104,612,000"
"Jan 01, 2017",45.00,47.75,44.75,47.33,39.54,"77,074,200"
"Dec 01, 2016",46.87,48.02,44.24,44.65,37.30,"83,694,400"
"Nov 01, 2016",48.56,50.70,45.95,47.01,39.12,"99,023,700"
"Oct 01, 2016",52.44,53.22,47.86,48.02,39.96,"79,411,000"
"Sep 01, 2016",52.84,54.38,49.11,52.66,43.82,"83,694,900"
"Aug 01, 2016",52.58,55.45,52.41,53.08,44.02,"85,092,600"
"Jul 01, 2016",48.57,53.75,47.07,52.46,43.50,"78,553,400"
"Jun 01, 2016",47.69,49.49,44.83,48.57,40.28,"94,044,500"
"May 01, 2016",46.21,49.18,45.84,47.69,39.39,"96,967,200"
"Apr 01, 2016",43.86,46.90,43.11,45.54,37.61,"171,146,800"
"Mar 01, 2016",38.33,45.57,37.96,44.29,36.58,"108,249,200"
"Feb 01, 2016",39.18,39.42,33.26,38.01,31.24,"110,765,600"
"Jan 01, 2016",43.31,43.83,34.50,38.78,31.87,"117,796,700"
"Dec 01, 2015",44.83,50.90,40.12,44.08,36.22,"124,919,800"
"Nov 01, 2015",42.54,44.99,42.39,44.66,36.54,"34,423,200"
"Oct 01, 2015",40.08,43.90,39.39,42.43,34.72,"46,772,300"
"Sep 01, 2015",41.21,44.30,38.17,39.71,32.49,"44,047,300"
"Aug 01, 2015",43.46,44.51,39.31,42.13,34.31,"33,735,300"
"Jul 01, 2015",41.49,44.00,40.16,43.28,35.25,"32,137,900"
"Jun 01, 2015",39.60,42.00,39.14,41.11,33.48,"36,747,500"
"May 01, 2015",39.33,40.48,38.53,39.53,32.04,"32,033,700"
"Apr 01, 2015",39.05,40.73,37.95,38.13,30.91,"27,672,400"
"Mar 01, 2015",39.29,39.86,37.55,39.07,31.67,"29,469,500"
"Feb 01, 2015",36.94,40.37,36.33,39.29,31.70,"32,937,800"
"Jan 01, 2015",38.15,38.77,36.69,36.87,29.74,"41,924,200"
"Dec 01, 2014",36.19,38.73,34.44,38.09,30.73,"41,265,000"
"Nov 01, 2014",33.55,36.39,33.37,36.31,29.15,"31,693,200"
"Oct 01, 2014",34.41,35.43,31.14,33.33,26.76,"47,290,700"
