,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",203.74,212.58,191.96,195.18,194.86,"14,194,300"
"Nov 01, 2020",193.89,213.66,191.23,203.36,203.03,"12,887,700"
"Oct 01, 2020",182.45,205.11,180.50,190.37,190.06,"14,674,900"
"Sep 01, 2020",202.17,207.44,176.34,180.92,180.49,"21,397,700"
"Aug 01, 2020",183.15,204.44,181.75,202.18,201.70,"13,973,200"
"Jul 01, 2020",171.00,190.13,167.03,182.82,182.38,"15,857,200"
"Jun 01, 2020",170.02,171.51,153.57,169.59,169.03,"18,741,800"
"May 01, 2020",143.22,171.77,142.10,171.09,170.53,"17,272,600"
"Apr 01, 2020",126.97,150.19,119.01,145.29,144.81,"19,373,100"
"Mar 01, 2020",128.61,141.62,105.80,131.26,130.68,"29,068,800"
"Feb 01, 2020",131.75,151.47,124.67,129.20,128.63,"12,265,400"
"Jan 01, 2020",126.84,140.12,124.05,130.82,130.24,"16,064,600"
"Dec 01, 2019",127.46,128.00,119.89,126.52,125.85,"41,111,700"
"Nov 01, 2019",122.43,131.50,121.43,127.73,127.05,"11,895,900"
"Oct 01, 2019",114.01,127.52,105.47,121.39,120.74,"16,470,800"
"Sep 01, 2019",107.88,117.48,105.39,113.31,112.59,"14,301,700"
"Aug 01, 2019",111.03,114.58,104.61,109.17,108.48,"20,355,700"
"Jul 01, 2019",100.19,112.66,93.34,111.32,110.61,"17,594,600"
"Jun 01, 2019",88.03,100.62,87.25,99.51,98.75,"13,248,500"
"May 01, 2019",99.33,103.07,87.74,88.29,87.62,"17,418,900"
"Apr 01, 2019",97.34,108.66,96.31,99.52,98.76,"16,090,900"
"Mar 01, 2019",101.12,102.61,92.43,96.26,95.41,"14,297,000"
"Feb 01, 2019",90.55,102.00,90.55,100.51,99.63,"17,625,000"
"Jan 01, 2019",80.83,93.12,78.66,90.62,89.82,"14,240,800"
"Dec 01, 2018",92.87,93.33,76.67,82.33,81.40,"16,858,000"
"Nov 01, 2018",87.47,94.89,84.21,91.15,90.13,"19,012,500"
"Oct 01, 2018",108.34,109.01,79.15,86.95,85.97,"25,100,800"
"Sep 01, 2018",101.11,113.48,101.11,107.51,106.21,"19,855,200"
"Aug 01, 2018",98.01,103.14,93.67,101.60,100.37,"15,174,900"
"Jul 01, 2018",99.05,102.74,89.28,97.87,96.68,"22,387,600"
"Jun 01, 2018",105.06,109.40,98.49,99.31,98.02,"18,783,100"
"May 01, 2018",89.23,106.51,86.84,103.97,102.63,"20,298,800"
"Apr 01, 2018",97.74,101.21,86.60,89.24,88.09,"18,869,100"
"Mar 01, 2018",92.87,101.67,89.55,97.98,96.62,"19,200,600"
"Feb 01, 2018",97.43,98.59,85.65,92.61,91.33,"20,297,300"
"Jan 01, 2018",87.83,100.21,87.70,97.63,96.28,"17,673,600"
"Dec 01, 2017",86.32,89.38,82.53,87.70,86.42,"19,423,300"
"Nov 01, 2017",81.32,121.66,77.74,119.09,117.35,"26,017,700"
"Oct 01, 2017",73.41,82.75,70.80,80.75,79.57,"19,285,400"
"Sep 01, 2017",66.77,73.63,66.21,73.41,72.26,"13,170,400"
"Aug 01, 2017",64.17,67.31,62.19,66.60,65.56,"13,988,300"
"Jul 01, 2017",63.79,69.01,63.39,63.94,62.94,"13,746,900"
"Jun 01, 2017",59.69,64.31,59.28,63.49,62.43,"14,326,100"
"May 01, 2017",59.39,60.00,55.00,59.55,58.55,"13,664,900"
"Apr 01, 2017",57.03,60.73,53.71,59.01,58.03,"13,091,800"
"Mar 01, 2017",61.67,63.31,55.29,57.05,56.03,"15,134,700"
"Feb 01, 2017",59.26,62.33,55.33,61.17,60.09,"13,854,400"
"Jan 01, 2017",57.77,61.18,56.58,58.85,57.81,"12,019,400"
"Dec 01, 2016",58.46,61.13,56.87,57.19,56.18,"15,838,400"
"Nov 01, 2016",50.00,59.40,48.66,58.20,57.17,"23,602,400"
"Oct 01, 2016",45.79,51.42,45.47,49.79,48.90,"20,530,100"
"Sep 01, 2016",47.55,47.83,44.22,45.74,44.93,"15,287,600"
"Aug 01, 2016",46.50,47.48,45.01,47.42,46.58,"14,510,800"
"Jul 01, 2016",40.21,46.57,39.70,46.44,45.62,"17,052,100"
"Jun 01, 2016",42.45,42.53,37.83,40.21,39.49,"21,521,100"
"May 01, 2016",44.07,44.51,40.58,42.90,42.14,"19,053,900"
"Apr 01, 2016",46.01,48.30,43.00,44.03,43.25,"21,897,800"
"Mar 01, 2016",43.51,47.01,43.08,46.41,45.59,"23,247,100"
"Feb 01, 2016",36.37,43.35,34.88,43.04,42.28,"28,818,700"
"Jan 01, 2016",38.87,39.44,32.61,36.55,35.90,"28,271,600"
"Dec 01, 2015",42.59,42.61,37.87,39.38,38.68,"24,158,000"
"Nov 01, 2015",41.27,43.85,40.59,42.47,41.72,"17,627,200"
"Oct 01, 2015",40.79,43.82,39.55,41.29,40.56,"30,554,500"
"Sep 01, 2015",43.34,46.01,40.27,40.67,39.95,"22,423,600"
"Aug 01, 2015",48.87,49.91,41.69,44.33,43.54,"17,642,300"
"Jul 01, 2015",44.89,49.57,44.14,48.77,47.90,"23,566,800"
"Jun 01, 2015",45.62,48.19,44.83,45.74,44.93,"24,989,700"
"May 01, 2015",47.19,48.76,45.01,45.34,44.54,"20,579,800"
"Apr 01, 2015",51.31,51.32,47.29,47.42,46.58,"23,189,500"
"Mar 01, 2015",52.17,53.97,50.53,51.53,50.62,"15,399,500"
"Feb 01, 2015",46.49,52.59,46.33,52.08,51.16,"19,205,100"
"Jan 01, 2015",51.95,52.41,46.68,46.75,45.92,"19,913,500"
"Dec 01, 2014",54.25,54.32,49.57,51.76,50.84,"15,349,400"
"Nov 01, 2014",48.55,54.12,48.34,54.03,53.07,"14,677,400"
"Oct 01, 2014",47.12,49.49,41.45,48.58,47.72,"20,611,400"
"Sep 01, 2014",44.72,48.42,44.53,47.09,46.26,"14,581,100"
"Aug 01, 2014",42.32,45.21,41.87,44.45,43.66,"11,608,300"
"Jul 01, 2014",42.43,43.33,40.78,42.32,41.57,"14,918,400"
"Jun 01, 2014",42.70,43.57,41.45,42.45,41.70,"14,267,400"
"May 01, 2014",40.71,42.82,39.57,42.64,41.88,"16,756,400"
"Apr 01, 2014",37.93,40.44,35.75,40.42,39.70,"16,287,700"
"Mar 01, 2014",35.25,38.32,34.89,37.83,37.16,"16,878,300"
