,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",58.89,59.26,55.82,58.30,57.28,"47,848,200"
"Nov 01, 2020",58.89,62.15,56.84,58.28,57.26,"51,119,200"
"Oct 01, 2020",54.96,61.89,54.18,58.15,57.13,"46,932,300"
"Sep 01, 2020",51.82,55.40,50.32,54.91,53.44,"46,663,200"
"Aug 01, 2020",55.50,56.23,51.56,52.24,50.84,"37,574,600"
"Jul 01, 2020",49.18,56.13,48.94,55.94,54.45,"55,078,000"
"Jun 01, 2020",50.92,55.73,46.70,49.16,47.41,"57,310,200"
"May 01, 2020",50.20,51.33,43.87,51.04,49.22,"57,931,600"
"Apr 01, 2020",43.05,54.87,41.63,50.71,48.90,"66,728,300"
"Mar 01, 2020",51.35,55.61,34.75,44.91,42.92,"115,042,700"
"Feb 01, 2020",59.44,60.16,50.14,51.31,49.04,"58,502,100"
"Jan 01, 2020",59.12,62.13,57.38,59.20,56.58,"57,696,100"
"Dec 01, 2019",59.01,59.93,57.54,59.05,55.98,"64,943,100"
"Nov 01, 2019",63.41,63.68,58.93,59.31,56.23,"39,939,600"
"Oct 01, 2019",61.90,63.88,60.88,63.31,60.02,"39,715,000"
"Sep 01, 2019",60.63,62.60,60.00,62.08,58.40,"41,154,900"
"Aug 01, 2019",57.15,60.87,55.27,60.47,56.89,"49,596,000"
"Jul 01, 2019",58.82,61.35,56.81,57.15,53.76,"50,437,400"
"Jun 01, 2019",58.95,61.50,58.22,58.82,54.90,"42,375,700"
"May 01, 2019",59.39,61.63,57.50,58.76,54.85,"45,062,400"
"Apr 01, 2019",59.32,60.36,57.70,59.65,55.68,"55,367,200"
"Mar 01, 2019",58.92,60.09,58.42,59.41,55.01,"65,484,500"
"Feb 01, 2019",54.49,59.05,53.91,58.81,54.46,"65,234,500"
"Jan 01, 2019",51.80,54.68,49.97,54.55,50.51,"68,843,100"
"Dec 01, 2018",55.59,56.33,49.23,52.05,47.81,"62,178,600"
