,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",50.03,52.70,46.81,49.61,48.58,"33,798,500"
"Nov 01, 2020",40.07,52.67,39.11,49.79,48.76,"34,262,700"
"Oct 01, 2020",40.37,43.99,37.50,39.22,38.41,"27,274,400"
"Sep 01, 2020",41.75,44.53,37.03,40.27,39.44,"28,509,200"
"Aug 01, 2020",42.76,47.40,42.07,42.11,40.72,"24,592,500"
"Jul 01, 2020",41.90,47.00,39.73,42.43,41.03,"35,240,200"
"Jun 01, 2020",38.62,49.34,37.95,41.54,40.16,"41,634,100"
"May 01, 2020",35.28,41.79,30.74,38.62,36.83,"34,987,500"
"Apr 01, 2020",29.37,36.80,25.80,36.41,34.72,"47,816,900"
"Mar 01, 2020",44.60,47.63,23.31,31.34,29.89,"62,554,100"
"Feb 01, 2020",53.51,57.00,43.10,44.39,41.82,"22,167,100"
"Jan 01, 2020",55.43,57.16,52.80,52.95,49.89,"27,925,500"
"Dec 01, 2019",54.63,55.88,52.17,55.00,51.30,"19,819,600"
"Nov 01, 2019",53.94,57.03,53.63,55.10,51.40,"18,112,600"
"Oct 01, 2019",57.56,57.73,52.34,53.38,49.79,"21,426,900"
"Sep 01, 2019",52.95,58.28,52.03,57.14,52.74,"20,340,800"
"Aug 01, 2019",57.99,58.01,51.96,53.22,49.13,"26,907,300"
"Jul 01, 2019",58.54,60.81,57.31,58.04,53.58,"26,553,800"
"Jun 01, 2019",51.50,58.56,51.36,57.92,53.46,"24,668,600"
"May 01, 2019",57.25,57.67,51.42,51.57,47.13,"28,853,200"
"Apr 01, 2019",50.74,57.94,50.68,57.16,52.24,"27,338,000"
"Mar 01, 2019",52.38,53.24,48.84,50.19,45.40,"43,565,700"
"Feb 01, 2019",50.17,53.48,46.56,52.64,47.61,"31,201,300"
"Jan 01, 2019",43.29,50.30,43.25,50.07,45.29,"39,028,400"
"Dec 01, 2018",49.82,50.03,40.42,44.17,39.95,"40,758,200"
"Nov 01, 2018",47.45,50.45,47.14,49.32,44.12,"40,393,600"
"Oct 01, 2018",59.00,61.12,45.20,47.07,42.11,"47,594,500"
"Sep 01, 2018",55.06,60.15,53.93,58.59,51.92,"26,434,700"
"Aug 01, 2018",58.33,58.54,53.44,55.19,48.91,"24,869,600"
"Jul 01, 2018",52.95,58.83,52.39,58.08,51.47,"30,928,800"
