,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",43.87,45.76,41.23,43.12,42.85,"65,026,300"
"Nov 01, 2020",41.65,47.16,40.55,43.63,43.36,"60,103,600"
"Oct 01, 2020",46.85,49.70,39.92,40.76,40.51,"62,328,400"
"Sep 01, 2020",44.53,47.18,42.18,46.29,45.88,"52,296,400"
"Aug 01, 2020",43.87,48.00,43.57,44.59,44.20,"51,337,900"
"Jul 01, 2020",34.17,44.98,32.72,43.60,43.22,"80,781,400"
"Jun 01, 2020",34.15,38.77,31.55,34.03,33.62,"81,020,600"
"May 01, 2020",27.41,37.10,26.10,33.97,33.56,"82,321,400"
"Apr 01, 2020",20.89,30.83,18.28,28.27,27.93,"112,272,600"
"Mar 01, 2020",40.49,44.49,17.12,22.32,21.98,"140,594,500"
"Feb 01, 2020",44.80,47.37,39.11,40.20,39.58,"64,894,800"
"Jan 01, 2020",38.87,47.30,38.31,44.65,43.96,"79,113,200"
"Dec 01, 2019",39.60,40.76,38.31,38.80,38.09,"61,979,100"
"Nov 01, 2019",39.45,40.33,37.62,39.65,38.92,"63,157,200"
"Oct 01, 2019",36.56,41.22,35.87,39.24,38.52,"83,378,500"
"Sep 01, 2019",33.55,36.61,33.49,36.55,35.77,"63,170,300"
"Aug 01, 2019",31.47,33.93,30.65,33.80,33.07,"61,799,100"
"Jul 01, 2019",31.97,34.03,30.26,31.51,30.83,"93,833,600"
"Jun 01, 2019",30.99,33.15,30.82,31.62,30.84,"71,640,800"
"May 01, 2019",31.52,32.80,30.68,31.00,30.23,"66,636,600"
"Apr 01, 2019",28.05,31.95,27.36,31.46,30.68,"69,091,400"
"Mar 01, 2019",27.22,28.90,25.24,27.96,27.16,"96,572,600"
"Feb 01, 2019",27.84,28.27,26.28,27.00,26.23,"88,619,100"
"Jan 01, 2019",25.60,29.19,25.10,27.81,27.01,"141,044,000"
"Dec 01, 2018",26.72,27.09,24.45,25.99,25.14,"105,531,800"
"Nov 01, 2018",24.58,27.14,23.21,26.52,25.65,"138,415,000"
"Oct 01, 2018",24.86,25.40,20.64,24.57,23.76,"187,275,700"
"Sep 01, 2018",27.92,28.76,24.67,24.77,23.88,"90,768,700"
"Aug 01, 2018",28.52,29.71,27.37,27.95,26.94,"86,430,300"
"Jul 01, 2018",28.55,31.56,27.55,28.49,27.46,"100,984,200"
"Jun 01, 2018",30.43,33.04,27.77,28.75,27.63,"101,075,100"
"May 01, 2018",30.32,31.60,28.66,30.25,29.07,"90,999,400"
"Apr 01, 2018",29.41,31.57,27.95,30.36,29.18,"102,774,600"
"Mar 01, 2018",28.11,30.73,27.94,29.49,28.26,"92,264,400"
"Feb 01, 2018",31.49,32.16,27.84,28.07,26.90,"105,794,600"
"Jan 01, 2018",33.45,35.21,31.57,31.83,30.50,"105,279,400"
"Dec 01, 2017",34.01,34.59,32.88,33.25,31.77,"87,513,000"
"Nov 01, 2017",30.35,34.60,29.27,34.13,32.62,"106,635,200"
"Oct 01, 2017",27.43,30.37,26.68,30.23,28.89,"99,771,500"
"Sep 01, 2017",25.88,27.51,25.35,27.33,26.03,"84,102,400"
"Aug 01, 2017",24.47,26.00,24.43,25.82,24.59,"92,363,600"
"Jul 01, 2017",24.59,25.20,23.81,24.42,23.26,"109,334,300"
"Jun 01, 2017",22.69,24.73,22.62,24.53,23.27,"115,663,600"
"May 01, 2017",22.70,23.62,22.07,22.67,21.51,"101,820,200"
"Apr 01, 2017",23.65,24.43,21.41,22.67,21.51,"122,718,500"
"Mar 01, 2017",22.25,24.05,22.20,23.55,22.25,"135,202,300"
"Feb 01, 2017",21.54,22.19,21.06,22.05,20.84,"91,297,700"
"Jan 01, 2017",18.55,21.99,18.18,21.51,20.33,"111,118,900"
