,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",132.89,149.95,131.94,143.50,143.43,"16,594,000"
"Nov 01, 2020",130.19,142.65,123.02,133.00,132.94,"22,583,000"
"Oct 01, 2020",127.50,134.39,119.94,129.55,129.42,"20,252,900"
"Sep 01, 2020",118.73,126.10,111.50,125.51,125.38,"15,973,000"
"Aug 01, 2020",119.66,123.21,111.46,117.72,117.60,"17,898,400"
"Jul 01, 2020",98.00,121.44,96.54,118.91,118.71,"23,761,100"
"Jun 01, 2020",99.97,105.70,93.23,98.09,97.93,"18,405,000"
"May 01, 2020",89.00,101.26,85.71,100.47,100.30,"20,256,000"
"Apr 01, 2020",72.55,91.54,69.60,90.53,90.30,"20,675,200"
"Mar 01, 2020",86.56,90.35,62.91,75.28,75.09,"23,692,400"
"Feb 01, 2020",93.45,97.24,82.62,86.44,86.22,"12,170,900"
"Jan 01, 2020",98.25,102.46,91.95,92.48,92.18,"15,618,500"
"Dec 01, 2019",93.19,97.65,90.30,97.10,96.78,"8,998,400"
"Nov 01, 2019",86.79,93.81,85.47,92.90,92.60,"12,068,500"
"Oct 01, 2019",85.32,88.12,78.35,85.96,85.61,"18,144,100"
"Sep 01, 2019",82.24,87.72,80.99,85.17,84.82,"11,698,700"
"Aug 01, 2019",86.21,87.41,79.36,82.70,82.36,"15,211,500"
"Jul 01, 2019",97.73,99.57,84.67,86.12,85.70,"15,061,800"
"Jun 01, 2019",86.34,97.39,85.50,96.34,95.87,"15,497,100"
"May 01, 2019",95.92,96.96,83.45,86.34,85.92,"25,135,100"
"Apr 01, 2019",97.30,103.00,91.15,95.84,95.31,"17,153,500"
"Mar 01, 2019",94.70,97.89,91.44,96.36,95.82,"10,424,900"
"Feb 01, 2019",91.23,95.70,88.28,94.16,93.64,"10,532,100"
"Jan 01, 2019",77.41,91.25,72.16,90.50,89.92,"12,919,400"
"Dec 01, 2018",88.48,91.37,71.83,78.55,78.05,"13,359,300"
"Nov 01, 2018",80.00,87.77,78.57,87.06,86.50,"15,871,000"
"Oct 01, 2018",97.70,98.33,81.88,86.48,85.86,"16,699,200"
"Sep 01, 2018",92.00,97.77,90.89,97.27,96.57,"9,264,500"
"Aug 01, 2018",79.03,93.15,79.00,92.43,91.77,"15,603,400"
"Jul 01, 2018",72.70,79.65,71.95,79.18,78.54,"14,000,800"
"Jun 01, 2018",74.86,79.71,71.31,73.23,72.64,"11,068,500"
"May 01, 2018",73.06,76.91,70.83,74.33,73.73,"13,498,200"
"Apr 01, 2018",75.62,77.02,72.15,73.36,72.70,"11,336,400"
"Mar 01, 2018",76.37,79.82,73.06,75.72,75.04,"13,656,100"
"Feb 01, 2018",79.87,80.26,70.74,76.34,75.65,"14,723,300"
"Jan 01, 2018",73.71,84.49,73.27,80.16,79.37,"14,137,100"
"Dec 01, 2017",73.62,74.12,69.21,73.12,72.40,"11,554,300"
"Nov 01, 2017",72.75,74.11,70.10,73.68,72.95,"13,601,200"
"Oct 01, 2017",69.20,72.82,69.05,72.32,71.53,"12,599,700"
"Sep 01, 2017",67.04,69.61,66.48,68.97,68.22,"13,507,200"
"Aug 01, 2017",66.15,67.24,62.43,66.99,66.26,"13,383,300"
"Jul 01, 2017",68.40,70.16,65.44,65.83,65.05,"11,136,400"
"Jun 01, 2017",63.10,68.91,62.95,68.14,67.33,"14,669,100"
"May 01, 2017",59.75,63.15,59.05,63.06,62.31,"12,574,200"
"Apr 01, 2017",58.03,60.35,56.21,59.41,58.56,"11,093,900"
"Mar 01, 2017",54.69,58.37,53.97,58.06,57.23,"15,759,300"
"Feb 01, 2017",53.15,56.14,50.59,54.26,53.49,"14,284,200"
"Jan 01, 2017",52.35,54.06,51.06,53.19,52.36,"13,406,400"
"Dec 01, 2016",50.76,54.36,50.51,52.15,51.34,"14,209,300"
"Nov 01, 2016",51.13,52.54,45.35,50.72,49.93,"15,368,000"
"Oct 01, 2016",55.58,56.53,50.41,50.89,50.03,"13,994,200"
"Sep 01, 2016",53.27,56.34,51.49,56.11,55.16,"12,087,400"
"Aug 01, 2016",56.87,57.28,52.96,53.25,52.35,"10,282,100"
"Jul 01, 2016",52.43,57.00,51.83,56.92,55.89,"10,104,100"
"Jun 01, 2016",54.52,55.12,50.26,52.42,51.47,"16,501,700"
