,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",140.24,149.31,139.30,149.00,147.94,"41,357,500"
"Nov 01, 2020",113.49,141.82,112.19,138.07,137.09,"58,021,600"
"Oct 01, 2020",110.05,117.22,106.85,111.88,109.92,"44,525,200"
"Sep 01, 2020",109.81,116.67,101.58,109.91,107.98,"39,144,700"
"Aug 01, 2020",106.54,115.29,104.41,111.20,109.25,"42,648,200"
"Jul 01, 2020",105.77,109.30,97.09,106.67,103.64,"59,442,700"
"Jun 01, 2020",114.79,132.58,100.11,105.21,102.22,"73,667,400"
"May 01, 2020",103.41,118.00,93.27,114.04,110.80,"68,277,400"
"Apr 01, 2020",90.00,112.90,84.02,106.67,102.45,"64,650,500"
"Mar 01, 2020",126.82,133.64,79.41,95.72,91.93,"90,751,700"
"Feb 01, 2020",150.04,156.92,122.55,126.40,121.39,"37,342,400"
"Jan 01, 2020",159.75,161.25,147.13,148.55,141.60,"48,572,300"
"Dec 01, 2019",153.93,161.79,148.09,159.63,152.16,"38,716,600"
"Nov 01, 2019",148.32,154.75,147.31,153.21,146.04,"29,972,500"
"Oct 01, 2019",141.15,149.39,133.37,146.70,138.70,"38,546,600"
"Sep 01, 2019",127.61,142.26,125.23,140.16,132.52,"43,467,800"
"Aug 01, 2019",142.41,143.54,122.37,128.93,121.90,"46,982,600"
"Jul 01, 2019",138.38,144.32,137.83,142.90,134.00,"39,881,200"
"Jun 01, 2019",126.98,137.39,126.52,137.28,128.73,"33,567,600"
"May 01, 2019",136.72,138.04,126.34,127.26,119.33,"31,980,500"
"Apr 01, 2019",123.98,138.08,123.84,136.93,127.48,"40,026,800"
"Mar 01, 2019",126.60,132.50,118.70,122.66,114.20,"51,460,400"
"Feb 01, 2019",123.12,126.72,119.37,126.02,117.32,"40,963,100"
"Jan 01, 2019",115.15,125.84,114.85,122.67,113.31,"60,383,400"
"Dec 01, 2018",137.33,138.24,108.45,116.91,107.99,"58,524,400"
"Nov 01, 2018",129.28,137.47,127.82,135.78,125.42,"54,572,200"
"Oct 01, 2018",137.34,140.76,116.55,128.49,117.79,"70,755,900"
"Sep 01, 2018",143.49,145.30,135.85,136.19,124.85,"38,014,700"
"Aug 01, 2018",146.03,147.23,141.56,143.54,131.58,"34,754,400"
"Jul 01, 2018",134.24,146.14,133.50,144.83,131.86,"51,818,200"
"Jun 01, 2018",145.75,149.49,134.59,135.10,123.00,"52,670,900"
"May 01, 2018",145.27,152.29,139.96,143.41,130.56,"42,538,200"
"Apr 01, 2018",151.24,154.58,139.86,145.61,131.91,"50,905,100"
"Mar 01, 2018",157.66,163.00,146.91,151.24,137.01,"43,813,000"
