,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",62.78,71.70,61.04,69.94,69.15,"74,620,000"
"Nov 01, 2020",47.38,68.71,46.19,60.58,58.98,"88,668,200"
"Oct 01, 2020",51.19,54.50,43.27,46.66,45.43,"73,871,100"
"Sep 01, 2020",58.38,61.73,51.05,51.84,50.47,"77,982,300"
"Aug 01, 2020",61.31,67.47,58.46,58.47,56.12,"66,231,500"
"Jul 01, 2020",71.77,73.35,58.72,62.02,59.53,"67,963,600"
"Jun 01, 2020",78.03,89.79,67.26,71.90,69.01,"76,038,200"
"May 01, 2020",70.55,82.03,65.26,78.26,74.18,"80,827,900"
"Apr 01, 2020",51.47,75.63,49.04,73.17,69.35,"88,512,400"
"Mar 01, 2020",75.27,77.58,40.04,53.65,50.85,"140,475,100"
"Feb 01, 2020",91.29,93.29,71.39,74.86,70.25,"66,559,100"
"Jan 01, 2020",112.08,113.18,90.21,91.37,85.74,"58,778,700"
"Dec 01, 2019",114.87,116.06,110.04,111.41,104.54,"44,674,900"
"Nov 01, 2019",117.63,119.92,114.04,114.72,106.84,"44,561,700"
"Oct 01, 2019",103.16,119.78,96.95,116.82,108.79,"59,675,700"
"Sep 01, 2019",97.28,105.52,97.03,102.40,95.36,"52,400,500"
"Aug 01, 2019",101.95,103.60,94.35,98.63,91.02,"49,840,100"
"Jul 01, 2019",94.86,104.46,93.06,102.56,94.64,"55,679,100"
"Jun 01, 2019",80.92,93.64,80.60,93.54,86.32,"61,844,800"
"May 01, 2019",94.25,94.89,80.24,80.80,73.80,"62,281,600"
"Apr 01, 2019",96.01,99.73,93.53,94.27,86.11,"48,274,900"
"Mar 01, 2019",96.82,100.41,93.84,95.17,86.93,"53,218,800"
"Feb 01, 2019",95.57,98.84,91.36,96.36,87.28,"53,604,900"
"Jan 01, 2019",85.32,96.60,85.00,95.41,86.42,"60,074,000"
"Dec 01, 2018",93.83,95.95,78.44,86.15,78.03,"64,970,200"
"Nov 01, 2018",102.64,103.57,88.99,93.52,84.00,"59,640,600"
"Oct 01, 2018",113.25,119.14,95.05,102.82,92.36,"69,415,100"
"Sep 01, 2018",118.61,120.24,108.85,112.72,101.25,"56,122,000"
"Aug 01, 2018",122.55,123.97,114.40,118.51,105.71,"53,753,200"
"Jul 01, 2018",111.75,123.88,109.07,123.34,110.02,"46,353,800"
"Jun 01, 2018",117.39,120.80,109.72,112.31,100.18,"50,411,400"
"May 01, 2018",111.67,122.38,110.33,116.49,103.23,"62,200,300"
"Apr 01, 2018",95.83,113.32,92.68,111.31,98.64,"47,371,800"
"Mar 01, 2018",90.54,97.29,89.50,95.92,85.00,"42,212,800"
"Feb 01, 2018",102.33,102.99,89.14,90.37,79.48,"55,433,700"
"Jan 01, 2018",101.66,107.47,101.07,102.40,90.06,"37,743,000"
"Dec 01, 2017",97.98,102.43,95.35,101.15,88.96,"34,570,700"
"Nov 01, 2017",91.03,97.69,90.92,97.56,85.15,"35,835,900"
"Oct 01, 2017",91.36,95.00,89.26,91.08,79.50,"42,553,200"
"Sep 01, 2017",83.87,92.19,82.66,91.61,79.96,"42,141,400"
"Aug 01, 2017",84.04,87.30,80.73,83.81,72.54,"47,740,000"
"Jul 01, 2017",82.97,84.93,81.11,83.75,72.49,"36,290,800"
"Jun 01, 2017",76.38,83.11,75.85,82.69,71.57,"52,391,300"
"May 01, 2017",79.52,80.68,76.00,76.11,65.30,"45,994,400"
"Apr 01, 2017",79.09,80.94,75.14,79.56,68.26,"47,898,500"
"Mar 01, 2017",78.91,80.28,76.28,79.22,67.97,"62,028,700"
"Feb 01, 2017",82.11,82.32,77.69,78.19,66.56,"50,951,800"
"Jan 01, 2017",87.31,88.26,81.15,81.62,69.48,"46,163,600"
"Dec 01, 2016",83.92,88.87,83.60,86.41,73.55,"39,989,800"
"Nov 01, 2016",82.35,85.63,77.66,83.08,70.18,"55,816,200"
"Oct 01, 2016",80.42,81.99,78.06,81.15,68.55,"40,682,500"
"Sep 01, 2016",78.93,81.31,76.76,80.55,68.05,"60,300,100"
"Aug 01, 2016",75.30,79.79,74.02,78.45,65.74,"59,726,600"
"Jul 01, 2016",79.07,79.91,73.67,76.06,63.74,"66,492,600"
"Jun 01, 2016",79.90,82.42,76.40,79.34,66.49,"63,560,000"
"May 01, 2016",82.44,82.50,76.68,80.36,66.80,"65,215,000"
"Apr 01, 2016",85.60,89.31,81.15,82.11,68.26,"52,758,600"
"Mar 01, 2016",80.01,90.87,79.70,86.59,71.98,"64,121,100"
