,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",82.35,97.46,79.45,93.89,93.89,"23,186,800"
"Nov 01, 2020",59.33,87.40,58.67,79.49,79.49,"25,859,900"
"Oct 01, 2020",60.10,68.48,57.35,58.29,58.29,"23,826,700"
"Sep 01, 2020",55.47,73.60,54.12,59.64,59.64,"33,273,500"
"Aug 01, 2020",48.87,57.34,47.21,55.76,55.76,"22,348,400"
"Jul 01, 2020",47.89,52.58,41.77,48.66,48.66,"28,856,400"
"Jun 01, 2020",45.50,69.81,44.20,48.05,48.05,"48,598,100"
"May 01, 2020",47.02,55.31,36.34,45.47,45.47,"40,350,900"
"Apr 01, 2020",35.33,56.69,29.02,49.23,49.23,"47,280,700"
"Mar 01, 2020",74.80,76.50,28.40,37.64,37.60,"37,390,200"
"Feb 01, 2020",87.60,91.93,70.10,74.11,74.03,"22,521,900"
"Jan 01, 2020",105.94,108.06,86.67,87.17,87.07,"16,539,500"
"Dec 01, 2019",97.14,107.30,93.29,105.15,105.03,"16,104,500"
"Nov 01, 2019",88.09,103.00,88.09,96.96,96.81,"20,867,800"
"Oct 01, 2019",88.70,93.37,80.43,90.84,90.70,"22,977,800"
"Sep 01, 2019",75.55,92.80,74.08,88.23,88.10,"29,027,700"
"Aug 01, 2019",88.47,88.92,67.41,75.80,75.64,"36,306,400"
"Jul 01, 2019",97.22,98.79,86.60,88.92,88.74,"28,566,800"
"Jun 01, 2019",84.64,95.50,84.64,94.64,94.45,"26,729,300"
"May 01, 2019",129.64,130.29,82.51,85.19,84.99,"34,188,500"
"Apr 01, 2019",123.22,134.24,122.85,128.99,128.68,"21,610,500"
"Mar 01, 2019",116.37,132.36,106.19,121.95,121.66,"27,570,100"
"Feb 01, 2019",109.50,118.93,107.73,114.84,114.53,"17,865,800"
"Jan 01, 2019",91.25,110.84,89.93,109.11,108.81,"24,597,200"
"Dec 01, 2018",113.29,116.89,86.46,92.95,92.70,"26,553,300"
"Nov 01, 2018",120.64,128.73,106.63,110.51,110.17,"26,603,600"
"Oct 01, 2018",144.50,145.25,116.52,120.79,120.42,"23,587,800"
"Sep 01, 2018",142.35,144.73,131.60,144.40,143.96,"25,954,400"
"Aug 01, 2018",152.91,157.63,140.25,143.16,142.69,"25,179,400"
"Jul 01, 2018",148.29,159.84,144.47,153.52,153.01,"18,076,000"
"Jun 01, 2018",162.00,169.22,148.80,149.72,149.22,"21,275,100"
"May 01, 2018",158.75,160.46,149.15,160.00,159.43,"22,164,100"
"Apr 01, 2018",151.63,163.78,149.81,159.67,159.10,"20,893,400"
"Mar 01, 2018",143.89,154.74,139.10,151.43,150.89,"21,099,700"
"Feb 01, 2018",153.00,155.66,139.43,144.28,143.73,"14,864,600"
"Jan 01, 2018",137.59,157.96,137.27,155.08,154.49,"14,307,200"
"Dec 01, 2017",135.18,138.70,130.81,137.21,136.69,"16,470,800"
"Nov 01, 2017",127.37,139.51,120.91,134.55,134.00,"18,634,900"
"Oct 01, 2017",125.92,133.24,123.65,126.81,126.29,"15,436,800"
"Sep 01, 2017",126.19,130.75,123.78,126.06,125.55,"15,250,800"
"Aug 01, 2017",119.41,130.25,118.45,125.89,125.34,"22,606,900"
"Jul 01, 2017",114.45,120.49,110.59,119.29,118.77,"13,663,000"
"Jun 01, 2017",106.04,115.86,102.05,114.50,114.00,"21,104,800"
"May 01, 2017",101.02,109.01,96.85,105.95,105.45,"27,268,900"
"Apr 01, 2017",103.48,104.72,98.04,101.03,100.55,"19,972,500"
"Mar 01, 2017",92.48,104.28,88.89,103.47,102.98,"30,272,100"
"Feb 01, 2017",93.25,93.32,84.53,91.60,91.13,"24,866,100"
"Jan 01, 2017",90.96,96.50,88.71,93.81,93.32,"24,655,600"
"Dec 01, 2016",105.00,113.21,89.51,90.24,89.77,"32,826,600"
"Nov 01, 2016",107.57,114.88,102.29,105.94,105.35,"21,222,400"
"Oct 01, 2016",110.29,115.40,104.92,106.98,106.39,"17,472,000"
"Sep 01, 2016",107.84,111.93,105.04,110.50,109.89,"16,687,400"
"Aug 01, 2016",100.85,111.75,92.83,107.76,107.13,"21,502,600"
"Jul 01, 2016",94.39,102.93,91.31,101.06,100.46,"15,005,600"
"Jun 01, 2016",93.60,103.36,83.80,94.23,93.68,"28,494,900"
"May 01, 2016",96.00,97.16,82.10,93.80,93.21,"33,211,600"
"Apr 01, 2016",98.68,99.79,91.39,95.60,95.00,"18,785,000"
"Mar 01, 2016",80.09,100.00,79.10,99.06,98.43,"26,773,800"
"Feb 01, 2016",72.37,80.95,68.96,79.15,78.61,"28,267,700"
"Jan 01, 2016",72.72,74.83,64.16,73.38,72.88,"24,145,400"
"Dec 01, 2015",91.24,94.88,71.99,73.65,73.15,"36,979,100"
"Nov 01, 2015",90.95,96.16,84.05,91.29,90.63,"19,369,500"
"Oct 01, 2015",101.81,103.37,87.12,90.95,90.29,"24,607,100"
"Sep 01, 2015",116.34,120.67,96.26,101.94,101.20,"20,612,700"
"Aug 01, 2015",115.61,120.11,104.88,118.98,118.08,"23,028,600"
"Jul 01, 2015",116.14,118.27,111.07,116.04,115.16,"14,421,900"
"Jun 01, 2015",104.54,117.50,103.90,115.20,114.33,"26,076,800"
"May 01, 2015",103.98,107.15,102.12,104.64,103.81,"15,177,800"
"Apr 01, 2015",106.68,111.98,102.30,103.35,102.53,"21,121,900"
"Mar 01, 2015",106.07,108.20,93.80,106.56,105.71,"39,315,800"
"Feb 01, 2015",110.45,113.84,101.74,106.53,105.65,"25,169,900"
"Jan 01, 2015",128.89,129.03,109.00,110.26,109.35,"22,506,300"
"Dec 01, 2014",126.24,129.17,119.15,128.17,127.11,"22,030,000"
"Nov 01, 2014",114.74,127.43,112.10,127.14,126.05,"15,314,500"
"Oct 01, 2014",121.22,123.56,109.29,114.35,113.37,"20,573,900"
"Sep 01, 2014",116.97,130.00,115.07,121.15,120.11,"19,084,800"
"Aug 01, 2014",110.13,119.29,107.05,116.74,115.70,"20,349,900"
