,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",46.34,49.38,44.43,45.59,44.56,"22,005,200"
"Nov 01, 2020",35.88,50.65,33.29,45.58,44.55,"32,500,000"
"Oct 01, 2020",38.05,40.93,34.57,35.59,34.78,"18,525,700"
"Sep 01, 2020",39.33,42.36,35.99,38.02,37.16,"32,822,900"
"Aug 01, 2020",40.57,44.82,39.35,39.71,38.28,"19,454,700"
"Jul 01, 2020",46.39,47.83,38.48,41.03,39.55,"25,711,200"
"Jun 01, 2020",42.97,54.57,42.49,45.89,44.24,"31,356,600"
"May 01, 2020",42.48,46.86,33.56,42.79,40.58,"32,099,200"
"Apr 01, 2020",36.39,45.89,31.80,43.91,41.64,"40,599,600"
"Mar 01, 2020",57.67,62.34,32.84,38.43,36.44,"44,071,400"
"Feb 01, 2020",62.39,64.65,55.45,57.44,53.97,"22,886,200"
"Jan 01, 2020",63.47,64.31,61.22,62.04,58.29,"14,892,600"
"Dec 01, 2019",65.09,65.43,60.35,63.09,59.27,"21,133,500"
"Nov 01, 2019",67.10,67.70,62.99,65.04,60.56,"16,779,900"
"Oct 01, 2019",69.44,70.13,66.23,67.24,62.61,"18,598,600"
"Sep 01, 2019",64.17,69.72,64.12,69.49,64.70,"20,913,000"
"Aug 01, 2019",66.52,67.44,62.74,64.51,59.53,"19,212,300"
"Jul 01, 2019",67.22,69.83,64.46,66.70,61.55,"14,550,000"
"Jun 01, 2019",66.10,70.26,65.17,66.74,61.59,"19,519,000"
"May 01, 2019",67.21,68.03,64.41,65.96,60.33,"23,762,900"
"Apr 01, 2019",67.51,69.01,64.02,67.17,61.43,"13,988,000"
"Mar 01, 2019",65.32,68.33,63.56,67.49,61.72,"15,860,500"
"Feb 01, 2019",65.26,67.10,63.78,65.25,59.15,"16,593,600"
"Jan 01, 2019",58.29,65.11,56.50,65.00,58.92,"19,616,300"
"Dec 01, 2018",63.85,65.90,55.50,58.68,53.19,"26,945,100"
"Nov 01, 2018",63.53,66.09,62.07,63.66,57.22,"18,273,700"
"Oct 01, 2018",64.71,65.76,61.42,63.36,56.95,"26,958,700"
"Sep 01, 2018",65.97,66.86,63.32,64.67,58.12,"24,524,600"
"Aug 01, 2018",62.91,66.26,61.93,66.03,58.82,"27,426,600"
"Jul 01, 2018",62.02,64.40,60.28,63.63,56.68,"34,100,900"
"Jun 01, 2018",58.19,62.92,57.62,62.08,55.30,"25,417,300"
"May 01, 2018",58.85,59.52,55.38,58.08,51.24,"23,304,700"
"Apr 01, 2018",58.98,60.09,55.43,58.85,51.92,"18,336,800"
"Mar 01, 2018",57.97,59.60,55.60,58.98,52.04,"25,926,300"
"Feb 01, 2018",62.94,63.22,54.87,58.11,50.78,"26,736,400"
"Jan 01, 2018",69.33,69.78,61.58,62.91,54.97,"21,105,600"
"Dec 01, 2017",68.06,70.64,66.89,69.18,60.45,"18,530,100"
"Nov 01, 2017",61.56,68.45,61.56,67.81,58.79,"17,857,900"
"Oct 01, 2017",62.05,65.25,61.19,61.55,53.36,"16,116,000"
"Sep 01, 2017",64.32,65.56,61.46,62.04,53.78,"20,130,800"
"Aug 01, 2017",66.51,67.67,62.66,64.32,55.31,"20,752,700"
"Jul 01, 2017",62.86,67.39,60.80,66.22,56.94,"14,796,700"
"Jun 01, 2017",60.64,65.25,59.21,62.64,53.86,"31,287,400"
"May 01, 2017",63.56,64.71,58.63,60.86,51.87,"30,622,300"
"Apr 01, 2017",66.43,69.07,62.90,63.18,53.85,"17,086,700"
"Mar 01, 2017",69.73,70.56,61.90,66.39,56.58,"67,895,700"
"Feb 01, 2017",69.64,72.05,68.62,70.35,59.52,"18,571,000"
"Jan 01, 2017",68.96,71.50,67.54,69.73,59.00,"13,271,100"
"Dec 01, 2016",66.60,69.72,65.16,68.95,58.34,"19,618,700"
