,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",289.14,289.68,272.01,282.13,281.46,"13,140,900"
"Nov 01, 2020",295.60,312.13,279.00,287.18,286.05,"13,552,900"
"Oct 01, 2020",320.45,322.57,286.49,290.37,289.23,"11,404,900"
"Sep 01, 2020",305.62,328.37,294.35,318.48,317.22,"11,769,500"
"Aug 01, 2020",310.62,319.92,294.57,306.07,304.40,"9,465,300"
"Jul 01, 2020",297.72,321.19,288.97,311.54,309.84,"12,558,100"
"Jun 01, 2020",314.68,323.02,281.15,297.92,296.29,"22,766,000"
"May 01, 2020",287.96,315.01,276.36,314.13,311.92,"14,137,000"
"Apr 01, 2020",258.30,317.11,252.16,289.92,287.88,"17,520,700"
"Mar 01, 2020",266.95,304.61,205.20,269.97,267.63,"29,017,900"
"Feb 01, 2020",250.91,309.85,248.73,265.09,262.80,"16,069,600"
"Jan 01, 2020",241.15,256.47,235.50,249.56,247.40,"11,306,200"
"Dec 01, 2019",236.12,243.95,227.40,240.99,238.91,"13,780,100"
"Nov 01, 2019",240.65,244.61,225.00,236.47,234.06,"11,325,700"
"Oct 01, 2019",240.84,250.85,229.29,240.65,238.20,"14,386,000"
"Sep 01, 2019",262.87,270.42,234.83,241.15,238.70,"16,183,200"
"Aug 01, 2019",245.00,266.58,239.62,262.43,259.40,"12,015,000"
"Jul 01, 2019",227.48,249.05,221.10,245.41,242.57,"11,976,100"
"Jun 01, 2019",217.55,236.56,213.67,224.84,222.24,"12,449,200"
"May 01, 2019",202.94,218.05,199.22,216.41,213.91,"15,386,900"
"Apr 01, 2019",200.22,204.34,193.91,203.73,201.37,"12,381,400"
"Mar 01, 2019",181.21,200.04,178.85,199.66,197.35,"15,980,900"
"Feb 01, 2019",182.94,186.35,178.10,180.56,178.47,"12,297,900"
"Jan 01, 2019",160.10,182.80,158.07,182.53,180.42,"14,542,400"
"Dec 01, 2018",171.81,173.66,155.19,161.89,160.02,"17,756,000"
"Nov 01, 2018",162.98,174.19,161.89,170.81,168.84,"18,401,100"
"Oct 01, 2018",158.40,164.66,146.13,162.17,160.30,"19,175,100"
"Sep 01, 2018",154.77,161.80,154.32,160.63,158.77,"12,165,400"
"Aug 01, 2018",157.02,162.66,153.26,155.23,153.44,"20,750,400"
"Jul 01, 2018",164.68,167.41,156.39,158.25,156.42,"19,232,900"
"Jun 01, 2018",158.51,166.18,155.61,165.12,163.21,"16,891,200"
"May 01, 2018",161.84,163.13,151.24,158.07,156.24,"17,679,000"
"Apr 01, 2018",171.15,173.85,156.42,160.23,158.38,"26,296,000"
"Mar 01, 2018",157.57,175.00,151.43,170.92,168.94,"24,325,000"
"Feb 01, 2018",174.41,177.67,154.36,157.27,155.45,"26,079,500"
"Jan 01, 2018",163.08,176.00,154.95,174.50,172.48,"20,754,300"
"Dec 01, 2017",169.80,170.64,156.02,163.36,161.47,"18,927,800"
"Nov 01, 2017",157.25,173.97,151.43,164.67,162.77,"36,352,500"
"Oct 01, 2017",143.82,159.14,142.31,157.18,155.36,"24,403,500"
"Sep 01, 2017",154.42,154.50,140.62,144.05,142.38,"29,054,100"
"Aug 01, 2017",135.10,154.71,134.50,153.55,151.77,"47,642,100"
"Jul 01, 2017",135.05,138.99,133.27,137.55,135.96,"16,963,700"
"Jun 01, 2017",138.30,139.75,129.40,134.90,133.34,"22,735,700"
"May 01, 2017",126.74,140.38,126.06,138.18,136.58,"26,696,400"
"Apr 01, 2017",119.95,127.05,118.59,126.49,125.03,"18,977,500"
"Mar 01, 2017",116.16,120.51,112.73,120.37,118.98,"30,763,200"
"Feb 01, 2017",105.78,116.70,103.30,115.77,114.43,"18,490,200"
"Jan 01, 2017",105.25,107.99,102.06,105.26,104.04,"16,043,000"
"Dec 01, 2016",99.10,105.89,95.76,103.26,102.07,"18,113,900"
"Nov 01, 2016",113.60,113.90,95.66,98.96,97.82,"37,215,700"
"Oct 01, 2016",111.76,116.27,108.15,113.28,111.97,"15,220,100"
"Sep 01, 2016",114.53,118.57,107.36,112.16,110.86,"15,865,800"
"Aug 01, 2016",114.60,117.67,110.76,114.15,112.83,"14,630,400"
"Jul 01, 2016",108.18,115.29,107.58,115.00,113.67,"20,052,700"
