,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",21.37,23.89,20.87,21.83,21.60,"246,656,300"
"Nov 01, 2020",15.12,22.50,14.78,20.79,20.57,"312,477,300"
"Oct 01, 2020",15.36,16.60,13.70,14.94,14.78,"360,088,300"
"Sep 01, 2020",18.52,19.68,15.42,15.56,15.29,"281,479,900"
"Aug 01, 2020",18.10,21.27,17.87,19.01,18.68,"203,688,500"
"Jul 01, 2020",18.50,19.92,16.96,18.14,17.83,"277,267,500"
"Jun 01, 2020",18.51,23.74,17.30,18.39,17.95,"377,316,800"
"May 01, 2020",16.32,19.36,15.11,18.47,18.03,"298,146,700"
"Apr 01, 2020",13.09,18.60,12.17,16.82,16.42,"480,165,100"
"Mar 01, 2020",27.65,27.91,11.87,13.49,13.17,"645,079,000"
"Feb 01, 2020",33.44,35.66,25.45,27.09,26.06,"233,012,800"
"Jan 01, 2020",40.52,41.14,33.00,33.51,32.24,"262,225,700"
"Dec 01, 2019",36.45,40.93,34.52,40.20,38.14,"202,122,000"
"Nov 01, 2019",33.05,37.22,32.97,36.20,34.34,"209,044,300"
"Oct 01, 2019",34.36,35.65,30.65,32.69,31.01,"309,561,700"
"Sep 01, 2019",31.18,40.25,31.11,34.17,31.92,"245,488,900"
"Aug 01, 2019",39.38,39.45,31.03,32.43,30.29,"244,750,500"
"Jul 01, 2019",40.42,41.40,37.29,39.97,37.34,"204,047,200"
"Jun 01, 2019",34.99,39.78,34.66,39.74,36.60,"213,639,800"
"May 01, 2019",42.63,42.89,34.46,34.69,31.95,"218,306,300"
"Apr 01, 2019",43.98,48.88,42.39,42.68,39.31,"186,080,700"
"Mar 01, 2019",44.22,45.66,40.88,43.57,40.13,"182,027,000"
"Feb 01, 2019",44.40,46.35,42.23,44.06,40.11,"170,229,600"
"Jan 01, 2019",35.49,45.05,35.34,44.21,40.25,"307,943,600"
"Dec 01, 2018",46.28,46.61,34.99,36.08,32.49,"353,283,400"
"Nov 01, 2018",51.60,52.94,44.68,45.10,40.62,"244,690,700"
"Oct 01, 2018",61.20,63.65,50.80,51.31,46.21,"222,917,300"
"Sep 01, 2018",63.06,63.14,59.25,60.92,54.43,"171,170,700"
"Aug 01, 2018",67.00,67.31,61.82,63.16,56.43,"134,188,400"
"Jul 01, 2018",66.45,69.61,64.73,67.52,60.33,"136,705,800"
"Jun 01, 2018",68.64,70.47,64.51,67.03,59.45,"161,397,800"
"May 01, 2018",68.11,75.43,66.89,68.67,60.91,"148,751,800"
"Apr 01, 2018",64.37,71.25,62.02,68.56,60.81,"153,544,400"
"Mar 01, 2018",65.49,69.21,62.67,64.78,57.46,"144,593,100"
"Feb 01, 2018",73.79,75.56,63.37,65.64,57.81,"185,654,800"
"Jan 01, 2018",68.07,80.35,67.60,73.58,64.81,"207,069,000"
"Dec 01, 2017",63.23,68.40,61.78,67.39,58.90,"181,909,700"
"Nov 01, 2017",64.62,67.68,61.02,62.85,54.93,"177,524,000"
"Oct 01, 2017",68.73,69.57,61.40,64.00,55.93,"179,132,600"
"Sep 01, 2017",63.20,70.01,62.97,69.76,60.49,"130,750,000"
"Aug 01, 2017",68.50,69.37,62.56,63.51,55.07,"143,572,800"
"Jul 01, 2017",66.12,69.04,64.15,68.60,59.48,"143,273,000"
"Jun 01, 2017",69.67,70.69,65.10,65.84,57.09,"175,121,200"
"May 01, 2017",72.70,73.20,68.23,69.59,59.91,"175,648,400"
"Apr 01, 2017",78.30,80.89,72.10,72.59,62.49,"129,505,700"
"Mar 01, 2017",80.91,82.69,76.14,78.10,67.23,"151,782,100"
"Feb 01, 2017",84.06,84.44,79.48,80.36,68.76,"109,564,200"
"Jan 01, 2017",84.86,87.84,83.11,83.71,71.63,"115,258,900"
"Dec 01, 2016",84.99,87.00,83.16,83.95,71.41,"109,409,100"
"Nov 01, 2016",78.66,84.37,76.92,84.05,71.49,"116,237,500"
"Oct 01, 2016",78.82,84.30,78.03,78.23,66.54,"118,142,300"
"Sep 01, 2016",78.44,79.76,74.33,78.64,66.47,"135,165,500"
"Aug 01, 2016",79.79,83.97,77.91,79.00,66.77,"121,820,200"
"Jul 01, 2016",79.14,81.61,76.83,80.52,68.06,"123,651,000"
"Jun 01, 2016",76.30,81.41,74.53,79.08,66.84,"131,201,400"
"May 01, 2016",79.95,80.72,72.00,76.30,64.08,"147,984,900"
"Apr 01, 2016",72.37,81.96,71.69,80.34,67.47,"181,915,900"
"Mar 01, 2016",72.46,76.16,71.34,73.75,61.94,"176,356,600"
"Feb 01, 2016",71.12,74.77,66.10,71.72,59.79,"200,698,800"
"Jan 01, 2016",69.45,72.50,59.60,72.27,60.25,"244,650,900"
"Dec 01, 2015",76.81,78.22,67.15,69.75,58.15,"183,770,100"
"Nov 01, 2015",77.65,82.43,75.71,77.15,63.90,"136,893,200"
"Oct 01, 2015",70.11,79.95,66.57,78.16,64.74,"210,415,100"
"Sep 01, 2015",75.30,77.52,67.75,68.97,56.76,"189,412,200"
"Aug 01, 2015",82.04,85.12,68.01,77.37,63.25,"249,277,600"
"Jul 01, 2015",86.42,86.69,81.15,82.82,67.71,"166,624,500"
"Jun 01, 2015",90.19,92.61,85.01,86.19,70.08,"156,990,900"
"May 01, 2015",94.48,94.89,89.57,90.77,73.80,"114,866,700"
"Apr 01, 2015",84.00,95.13,83.60,94.61,76.92,"188,420,400"
"Mar 01, 2015",83.69,85.50,79.39,83.44,67.84,"177,179,000"
"Feb 01, 2015",83.99,89.00,82.50,84.16,68.03,"155,737,600"
"Jan 01, 2015",84.81,86.20,75.60,82.39,66.60,"195,355,700"
"Dec 01, 2014",84.53,88.16,78.47,85.41,68.72,"238,987,300"
"Nov 01, 2014",98.02,100.54,83.25,85.95,69.15,"181,117,800"
