,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",60.90,68.28,57.06,61.36,58.58,"28,675,500"
"Nov 01, 2020",44.86,67.49,43.80,59.63,56.65,"40,812,100"
"Oct 01, 2020",47.84,55.02,41.68,44.09,41.59,"29,833,000"
"Sep 01, 2020",47.58,53.73,43.94,47.75,44.78,"32,818,200"
"Aug 01, 2020",47.65,55.09,46.16,48.16,44.89,"23,150,700"
"Jul 01, 2020",51.06,53.51,46.06,47.89,44.38,"27,338,100"
"Jun 01, 2020",43.26,65.27,42.90,50.76,46.75,"47,701,200"
"May 01, 2020",52.62,52.63,36.21,43.38,39.68,"44,687,000"
"Apr 01, 2020",41.26,58.03,38.62,54.63,49.68,"37,588,400"
"Mar 01, 2020",81.27,87.63,40.48,44.39,40.11,"32,266,700"
"Feb 01, 2020",95.05,98.80,78.09,80.78,73.00,"12,764,900"
"Jan 01, 2020",95.14,99.27,90.32,94.79,85.66,"18,602,100"
"Dec 01, 2019",87.78,96.20,86.73,94.62,84.69,"17,364,500"
"Nov 01, 2019",86.23,89.18,84.16,87.88,78.65,"12,448,700"
"Oct 01, 2019",83.52,87.93,80.29,86.10,77.06,"18,076,500"
"Sep 01, 2019",82.07,86.33,81.83,84.19,74.58,"13,367,700"
"Aug 01, 2019",83.43,83.43,77.71,82.62,73.18,"14,542,000"
"Jul 01, 2019",83.42,86.86,82.08,83.50,73.97,"21,921,400"
"Jun 01, 2019",88.85,92.41,81.54,82.77,72.54,"13,344,200"
"May 01, 2019",91.26,92.13,85.59,88.57,77.62,"11,489,100"
"Apr 01, 2019",92.89,95.46,87.97,90.98,79.73,"9,996,300"
"Mar 01, 2019",93.56,95.07,91.03,92.61,80.39,"8,836,800"
"Feb 01, 2019",95.37,96.71,91.80,93.43,81.10,"10,779,400"
"Jan 01, 2019",80.61,95.24,79.30,95.19,82.63,"14,332,800"
"Dec 01, 2018",99.70,100.50,79.06,81.44,69.94,"17,358,500"
"Nov 01, 2018",94.10,99.67,93.26,99.30,85.28,"12,809,100"
"Oct 01, 2018",100.59,100.97,92.23,93.99,80.71,"17,993,900"
"Sep 01, 2018",107.33,108.14,97.90,100.44,85.53,"14,490,700"
"Aug 01, 2018",105.57,109.72,105.36,107.52,91.55,"8,680,400"
"Jul 01, 2018",103.50,106.77,100.90,106.19,90.42,"13,520,600"
"Jun 01, 2018",101.03,105.51,98.38,103.53,87.45,"19,302,100"
"May 01, 2018",100.72,104.76,96.35,100.43,84.83,"23,256,800"
"Apr 01, 2018",99.81,102.42,96.78,100.66,85.02,"16,642,400"
"Mar 01, 2018",99.27,103.56,95.18,99.72,83.53,"19,616,400"
"Feb 01, 2018",103.47,104.01,92.13,99.81,83.61,"21,898,200"
"Jan 01, 2018",104.07,104.22,95.73,103.52,86.71,"19,856,500"
"Dec 01, 2017",105.68,109.21,101.65,103.94,86.36,"19,514,800"
"Nov 01, 2017",98.53,105.81,96.76,105.28,87.48,"17,547,200"
"Oct 01, 2017",104.34,108.95,96.73,98.54,81.87,"21,857,800"
"Sep 01, 2017",99.41,106.50,97.75,104.35,86.03,"18,471,500"
"Aug 01, 2017",106.62,108.43,98.29,99.26,81.84,"14,757,800"
"Jul 01, 2017",109.26,111.10,102.18,106.35,87.69,"14,414,500"
"Jun 01, 2017",103.94,112.26,103.89,108.96,89.18,"17,122,300"
"May 01, 2017",108.28,109.68,103.70,104.05,85.16,"13,570,100"
"Apr 01, 2017",109.75,113.23,107.15,108.06,88.44,"11,809,700"
"Mar 01, 2017",116.09,118.78,106.63,109.80,89.21,"15,055,500"
"Feb 01, 2017",112.30,117.14,109.84,116.05,94.28,"9,357,700"
"Jan 01, 2017",111.96,114.34,107.38,112.22,91.17,"12,870,900"
"Dec 01, 2016",108.25,117.17,107.05,110.76,89.32,"18,585,600"
"Nov 01, 2016",100.95,111.89,96.70,108.51,87.50,"20,346,600"
"Oct 01, 2016",111.11,112.13,98.09,101.15,81.57,"16,680,100"
"Sep 01, 2016",121.25,122.42,110.71,111.33,89.20,"14,574,700"
"Aug 01, 2016",121.32,124.23,116.90,121.24,97.13,"15,196,400"
"Jul 01, 2016",108.89,121.96,104.39,121.34,97.22,"12,798,600"
"Jun 01, 2016",104.05,109.70,99.95,109.65,87.21,"14,858,200"
"May 01, 2016",109.13,110.12,100.20,104.39,83.02,"15,515,400"
"Apr 01, 2016",99.19,112.01,97.21,108.22,86.07,"17,767,000"
"Mar 01, 2016",91.67,100.11,91.59,99.77,78.74,"19,962,800"
"Feb 01, 2016",98.63,99.33,82.51,90.81,71.67,"29,953,600"
"Jan 01, 2016",115.15,115.15,94.75,99.50,78.52,"22,157,200"
"Dec 01, 2015",122.17,124.40,112.63,116.35,91.25,"13,638,600"
"Nov 01, 2015",122.23,125.58,117.14,121.61,95.37,"8,861,900"
"Oct 01, 2015",111.87,124.36,110.14,122.16,95.81,"12,687,300"
"Sep 01, 2015",106.04,115.89,102.96,111.39,86.88,"13,262,100"
"Aug 01, 2015",118.58,120.56,104.89,106.60,83.14,"13,596,300"
"Jul 01, 2015",113.92,119.51,112.85,118.58,92.49,"13,175,200"
"Jun 01, 2015",122.36,124.79,112.72,113.17,87.80,"15,926,500"
"May 01, 2015",126.45,128.69,121.89,122.20,94.80,"12,849,800"
"Apr 01, 2015",132.49,135.93,125.21,126.01,97.76,"11,844,700"
"Mar 01, 2015",131.01,139.87,126.79,132.21,102.09,"32,001,900"
