,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",59.35,66.69,58.85,62.16,60.98,"61,859,000"
"Nov 01, 2020",48.48,59.34,47.95,58.81,57.69,"57,800,600"
"Oct 01, 2020",49.82,53.00,46.92,47.82,46.91,"63,749,500"
"Sep 01, 2020",48.01,50.70,45.25,49.27,47.68,"64,248,100"
"Aug 01, 2020",45.42,48.20,44.17,47.99,46.44,"57,843,000"
"Jul 01, 2020",48.37,50.82,43.53,45.22,43.76,"80,353,600"
"Jun 01, 2020",52.63,55.79,46.28,48.41,46.25,"77,190,400"
"May 01, 2020",48.55,53.36,46.09,53.04,50.67,"43,718,600"
"Apr 01, 2020",47.39,53.27,45.45,49.95,47.72,"57,473,300"
"Mar 01, 2020",49.01,51.61,39.02,48.80,45.88,"86,871,200"
"Feb 01, 2020",57.83,59.85,46.20,47.95,45.08,"63,581,500"
"Jan 01, 2020",59.81,64.17,56.78,56.99,53.58,"45,966,300"
"Dec 01, 2019",60.00,60.83,56.02,59.50,55.34,"51,636,000"
"Nov 01, 2019",55.50,60.57,54.61,59.68,55.50,"39,212,800"
"Oct 01, 2019",54.00,58.14,51.12,58.03,53.97,"45,287,000"
"Sep 01, 2019",49.69,57.20,49.00,53.79,49.43,"73,430,500"
"Aug 01, 2019",46.20,51.15,42.10,50.21,46.14,"68,004,400"
"Jul 01, 2019",48.77,49.59,45.63,46.31,42.56,"44,869,900"
"Jun 01, 2019",41.97,47.93,41.63,47.12,42.69,"57,881,300"
"May 01, 2019",49.74,49.81,41.80,41.85,37.91,"69,080,200"
"Apr 01, 2019",48.37,51.28,43.43,48.32,43.77,"65,238,700"
"Mar 01, 2019",46.70,49.41,44.40,47.89,42.82,"68,076,700"
"Feb 01, 2019",44.40,48.93,43.36,46.56,41.63,"71,385,700"
"Jan 01, 2019",37.92,46.31,36.47,44.28,39.59,"77,873,400"
"Dec 01, 2018",43.97,44.87,35.38,38.59,33.92,"84,634,100"
"Nov 01, 2018",40.55,46.39,40.33,43.09,37.88,"96,315,600"
"Oct 01, 2018",47.77,48.31,36.69,40.23,35.36,"92,811,200"
"Sep 01, 2018",51.24,51.54,46.06,47.35,41.07,"90,462,400"
"Aug 01, 2018",52.63,57.20,50.04,53.54,46.44,"74,391,700"
"Jul 01, 2018",55.42,59.66,51.93,52.62,45.64,"52,275,500"
"Jun 01, 2018",56.60,59.93,54.22,56.47,48.46,"64,248,000"
"May 01, 2018",51.91,60.01,49.08,56.35,48.36,"80,761,300"
"Apr 01, 2018",59.00,62.70,56.07,57.89,49.68,"74,807,600"
"Mar 01, 2018",53.82,61.01,52.71,58.52,49.70,"96,681,300"
"Feb 01, 2018",54.72,55.53,46.12,53.40,45.35,"82,280,800"
"Jan 01, 2018",42.35,56.45,41.91,55.20,46.88,"127,038,000"
"Dec 01, 2017",38.31,43.07,37.25,41.84,35.01,"75,339,600"
"Nov 01, 2017",37.38,40.64,36.07,38.56,32.27,"76,094,600"
"Oct 01, 2017",33.64,40.90,33.15,36.97,30.94,"142,245,600"
"Sep 01, 2017",31.59,33.92,30.89,33.17,27.23,"102,515,100"
"Aug 01, 2017",33.05,34.03,30.60,31.53,25.89,"103,288,900"
"Jul 01, 2017",38.92,40.17,31.88,32.96,27.06,"145,869,400"
"Jun 01, 2017",43.56,43.56,38.28,38.75,31.34,"91,193,400"
"May 01, 2017",42.08,44.06,41.67,43.57,35.24,"90,824,100"
"Apr 01, 2017",45.63,50.96,41.20,42.13,34.07,"123,552,000"
"Mar 01, 2017",48.65,49.79,43.70,45.93,36.65,"89,991,900"
"Feb 01, 2017",45.61,48.68,44.05,48.19,38.45,"84,637,400"
"Jan 01, 2017",38.46,46.68,35.54,45.15,36.02,"143,146,200"
"Dec 01, 2016",40.73,41.45,36.50,38.17,29.96,"84,077,200"
"Nov 01, 2016",34.37,40.27,32.45,40.10,31.48,"82,614,800"
"Oct 01, 2016",38.56,39.33,33.54,34.31,26.93,"109,925,800"
"Sep 01, 2016",33.76,39.04,33.34,38.55,29.74,"102,744,600"
"Aug 01, 2016",32.00,34.14,30.09,33.74,26.03,"99,251,900"
"Jul 01, 2016",24.21,33.03,22.09,32.03,24.71,"138,545,300"
"Jun 01, 2016",22.29,24.90,20.77,24.36,18.79,"130,477,300"
"May 01, 2016",21.14,22.60,18.42,22.56,16.86,"169,629,300"
"Apr 01, 2016",33.90,35.79,21.61,21.77,16.27,"205,971,800"
"Mar 01, 2016",31.80,37.45,31.65,34.45,25.74,"108,565,300"
"Feb 01, 2016",29.06,33.65,28.27,31.36,22.97,"113,343,100"
"Jan 01, 2016",36.03,36.88,26.25,29.05,21.28,"129,734,100"
"Dec 01, 2015",36.15,37.94,33.40,36.66,26.85,"85,057,500"
"Nov 01, 2015",37.76,40.91,32.38,35.94,25.92,"83,726,300"
"Oct 01, 2015",44.81,49.50,36.80,38.06,27.44,"140,072,500"
"Sep 01, 2015",50.24,52.12,41.59,44.80,32.30,"98,659,100"
"Aug 01, 2015",50.79,52.59,45.63,51.40,36.67,"99,426,100"
"Jul 01, 2015",47.87,52.88,44.46,50.60,36.10,"125,027,400"
"Jun 01, 2015",55.74,56.12,47.42,47.50,33.89,"79,848,600"
"May 01, 2015",58.98,60.09,54.30,55.64,39.70,"54,266,600"
"Apr 01, 2015",52.05,59.61,51.05,58.72,41.51,"76,336,500"
"Mar 01, 2015",61.21,63.39,51.74,52.03,36.78,"89,317,100"
"Feb 01, 2015",56.51,62.61,55.89,61.12,42.82,"55,219,100"
"Jan 01, 2015",66.67,67.21,56.31,56.44,39.54,"79,538,900"
"Dec 01, 2014",65.81,69.40,62.87,66.50,46.59,"51,195,000"
"Nov 01, 2014",62.93,66.68,61.21,66.11,45.53,"50,824,900"
