,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",344.77,354.10,329.40,350.68,348.19,"63,965,800"
"Nov 01, 2020",312.64,367.95,307.36,336.34,333.95,"74,427,900"
"Oct 01, 2020",312.91,335.65,299.60,305.14,302.97,"57,916,400"
"Sep 01, 2020",310.16,323.82,289.64,311.77,308.28,"59,489,700"
"Aug 01, 2020",303.59,324.57,299.20,312.55,309.05,"57,208,300"
"Jul 01, 2020",295.83,310.97,287.10,302.78,299.39,"61,208,700"
"Jun 01, 2020",304.02,315.84,273.71,294.95,290.40,"85,407,700"
"May 01, 2020",288.39,309.66,275.56,304.85,300.15,"86,562,000"
"Apr 01, 2020",238.69,304.00,226.03,292.47,287.96,"104,541,700"
"Mar 01, 2020",257.34,295.84,187.72,249.38,244.47,"189,875,500"
"Feb 01, 2020",275.13,306.71,245.30,254.96,249.94,"94,532,600"
"Jan 01, 2020",293.98,302.54,271.18,272.45,267.09,"84,374,200"
"Dec 01, 2019",281.78,300.00,273.85,293.98,287.09,"60,550,900"
"Nov 01, 2019",253.99,283.00,249.09,279.87,273.31,"72,367,800"
"Oct 01, 2019",219.19,255.72,212.08,252.70,246.78,"107,377,000"
"Sep 01, 2019",231.74,236.56,213.12,217.32,211.23,"87,632,100"
"Aug 01, 2019",249.19,251.58,220.78,234.00,227.45,"76,577,600"
"Jul 01, 2019",245.95,268.69,239.54,249.01,242.03,"82,523,900"
"Jun 01, 2019",241.49,253.49,234.83,244.01,236.13,"72,927,300"
"May 01, 2019",233.07,251.18,227.18,241.80,233.99,"101,175,300"
"Apr 01, 2019",249.71,250.20,208.07,233.07,225.54,"173,459,600"
"Mar 01, 2019",243.56,259.25,234.51,247.26,238.36,"101,319,700"
"Feb 01, 2019",268.47,272.49,239.15,242.22,233.51,"77,371,500"
"Jan 01, 2019",245.00,272.44,236.13,270.20,260.48,"82,836,100"
"Dec 01, 2018",283.00,287.94,231.81,249.12,240.16,"88,902,900"
"Nov 01, 2018",262.92,285.45,258.28,281.36,270.37,"74,853,800"
"Oct 01, 2018",267.25,272.81,253.32,261.35,251.14,"84,593,100"
"Sep 01, 2018",268.00,271.16,257.48,266.04,254.79,"53,229,200"
"Aug 01, 2018",256.10,270.17,252.23,268.46,257.11,"47,631,000"
"Jul 01, 2018",245.00,259.01,244.12,253.22,242.51,"49,156,400"
"Jun 01, 2018",243.74,256.73,241.29,245.34,234.14,"55,299,900"
"May 01, 2018",237.00,249.17,228.23,241.51,230.48,"59,234,200"
"Apr 01, 2018",218.46,241.67,214.63,236.40,225.61,"72,689,800"
"Mar 01, 2018",225.70,231.27,212.50,214.00,203.56,"79,400,300"
"Feb 01, 2018",235.26,237.82,208.48,226.16,215.12,"80,192,600"
"Jan 01, 2018",221.02,250.79,220.00,236.78,225.22,"82,310,600"
"Dec 01, 2017",228.89,231.77,218.19,220.46,209.70,"55,743,700"
"Nov 01, 2017",211.62,228.75,208.92,211.13,200.15,"69,053,700"
"Oct 01, 2017",196.59,212.77,186.00,210.22,199.29,"81,206,400"
"Sep 01, 2017",199.79,200.76,188.25,195.85,184.96,"57,668,800"
"Aug 01, 2017",193.40,199.49,190.63,198.90,187.84,"50,905,300"
"Jul 01, 2017",186.29,193.00,183.86,191.81,181.15,"55,903,600"
"Jun 01, 2017",175.78,188.66,175.19,185.42,174.39,"65,419,100"
"May 01, 2017",175.00,178.89,166.65,175.18,164.76,"63,390,800"
"Apr 01, 2017",164.62,176.07,164.25,174.88,164.48,"61,871,600"
"Mar 01, 2017",166.72,172.14,162.74,164.01,153.68,"84,728,500"
"Feb 01, 2017",162.75,166.76,156.49,165.38,154.97,"72,701,100"
"Jan 01, 2017",161.13,163.80,156.09,162.10,151.89,"72,828,900"
"Dec 01, 2016",159.12,164.00,156.23,160.04,149.96,"76,784,500"
"Nov 01, 2016",141.51,159.76,136.22,158.32,147.76,"96,049,600"
"Oct 01, 2016",139.35,146.36,133.03,141.33,131.91,"82,024,500"
"Sep 01, 2016",136.82,141.78,132.39,140.00,130.06,"67,502,400"
"Aug 01, 2016",143.42,144.16,135.55,136.05,126.39,"50,523,900"
"Jul 01, 2016",141.16,144.48,139.32,143.20,133.04,"71,163,700"
"Jun 01, 2016",133.58,141.31,133.02,141.20,130.58,"76,424,000"
"May 01, 2016",132.61,134.75,128.53,133.67,123.62,"55,534,400"
"Apr 01, 2016",128.69,135.11,125.26,131.68,121.78,"71,253,100"
"Mar 01, 2016",119.49,131.10,119.37,128.90,118.72,"70,857,500"
"Feb 01, 2016",114.83,122.26,108.83,119.10,109.69,"72,337,900"
"Jan 01, 2016",116.91,117.89,107.51,115.16,106.06,"88,345,100"
"Dec 01, 2015",113.53,121.09,113.05,117.64,107.88,"76,147,300"
"Nov 01, 2015",118.64,119.95,109.61,112.71,103.36,"82,097,600"
"Oct 01, 2015",115.94,125.99,110.07,117.78,108.01,"105,913,800"
"Sep 01, 2015",113.36,125.12,111.01,116.01,105.93,"94,372,800"
"Aug 01, 2015",121.61,126.21,95.00,115.70,105.65,"84,232,500"
"Jul 01, 2015",122.95,126.05,116.66,121.40,110.85,"95,034,600"
"Jun 01, 2015",120.54,124.11,115.36,122.00,110.93,"106,449,200"
"May 01, 2015",112.29,121.85,111.74,120.21,109.30,"72,260,800"
"Apr 01, 2015",119.52,122.32,111.12,111.40,101.29,"86,883,100"
"Mar 01, 2015",113.63,123.76,111.65,118.29,107.20,"83,244,700"
"Feb 01, 2015",106.73,116.58,105.07,113.63,102.97,"76,172,000"
"Jan 01, 2015",101.50,114.32,98.46,106.25,96.29,"100,742,400"
"Dec 01, 2014",98.75,104.00,95.75,101.09,91.27,"82,445,400"
"Nov 01, 2014",95.45,99.42,93.01,98.63,89.04,"68,331,900"
"Oct 01, 2014",86.00,95.67,80.72,95.01,85.78,"108,326,400"
