,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",173.51,175.94,163.63,168.40,167.34,"76,403,400"
"Nov 01, 2020",158.88,173.11,156.97,171.07,168.96,"78,400,800"
"Oct 01, 2020",169.04,178.01,155.25,157.11,155.18,"89,067,700"
"Sep 01, 2020",163.13,171.98,154.63,166.63,164.58,"79,560,200"
"Aug 01, 2020",143.47,165.22,140.54,163.62,160.58,"83,701,200"
"Jul 01, 2020",117.86,145.50,113.05,142.76,140.11,"105,689,500"
"Jun 01, 2020",99.48,112.02,98.36,111.18,109.12,"96,978,300"
"May 01, 2020",93.23,101.10,88.85,99.71,96.84,"85,657,100"
"Apr 01, 2020",90.91,103.75,88.35,94.66,91.94,"109,685,000"
"Mar 01, 2020",92.05,103.80,82.00,93.42,90.73,"163,951,500"
"Feb 01, 2020",104.16,107.79,87.67,90.49,87.03,"98,196,800"
"Jan 01, 2020",117.68,119.24,103.09,103.52,99.56,"66,496,900"
"Dec 01, 2019",120.09,121.32,114.25,117.06,112.58,"61,191,300"
"Nov 01, 2019",116.46,125.31,116.11,119.73,114.26,"49,247,300"
"Oct 01, 2019",120.25,120.70,111.78,114.01,108.80,"72,992,100"
"Sep 01, 2019",117.66,123.63,116.19,119.82,114.34,"57,325,600"
"Aug 01, 2019",118.87,120.77,110.51,118.66,112.28,"68,599,000"
"Jul 01, 2019",104.58,121.30,101.16,119.47,113.05,"80,392,100"
"Jun 01, 2019",92.84,103.69,92.83,103.27,97.72,"66,087,900"
"May 01, 2019",106.06,106.95,92.65,92.92,87.09,"66,606,800"
"Apr 01, 2019",113.19,115.03,103.02,106.22,99.56,"67,209,000"
"Mar 01, 2019",110.94,112.90,104.94,111.74,104.73,"60,680,100"
"Feb 01, 2019",105.72,112.28,105.26,110.20,102.39,"60,104,900"
"Jan 01, 2019",96.12,108.00,94.19,105.40,97.93,"82,892,800"
"Dec 01, 2018",116.62,117.29,89.89,97.53,90.62,"83,111,000"
"Nov 01, 2018",106.89,115.44,105.48,115.29,106.24,"56,818,000"
"Oct 01, 2018",118.55,119.22,103.83,106.54,98.17,"70,915,300"
"Sep 01, 2018",123.79,125.09,115.73,116.75,107.58,"50,754,200"
"Aug 01, 2018",119.89,124.44,117.72,122.88,112.38,"46,590,000"
"Jul 01, 2018",105.87,121.36,104.94,119.89,109.64,"52,384,600"
"Jun 01, 2018",116.69,119.17,105.10,106.23,97.15,"63,027,700"
"May 01, 2018",113.55,118.77,108.16,116.12,105.37,"67,943,000"
"Apr 01, 2018",104.33,114.46,102.40,113.50,102.99,"77,487,800"
"Mar 01, 2018",104.96,111.20,101.45,104.66,94.97,"93,099,200"
"Feb 01, 2018",119.22,121.00,103.81,104.41,93.95,"131,437,800"
"Jan 01, 2018",120.04,135.53,119.61,127.32,114.56,"79,526,300"
"Dec 01, 2017",121.89,125.16,116.33,119.15,107.21,"57,106,900"
"Nov 01, 2017",117.94,122.00,111.30,121.45,108.47,"58,559,500"
"Oct 01, 2017",120.00,121.75,116.52,117.53,104.97,"53,481,200"
"Sep 01, 2017",114.72,120.42,113.54,120.09,107.26,"43,751,100"
"Aug 01, 2017",110.80,115.64,109.65,114.36,101.39,"48,428,900"
"Jul 01, 2017",110.90,113.76,106.98,110.29,97.78,"51,627,600"
"Jun 01, 2017",106.49,111.55,105.70,110.59,98.04,"61,257,900"
"May 01, 2017",107.42,107.83,102.12,105.97,93.21,"54,330,100"
"Apr 01, 2017",107.66,109.30,103.56,107.46,94.52,"55,734,700"
"Mar 01, 2017",106.97,108.97,103.75,107.30,94.37,"60,386,400"
"Feb 01, 2017",107.79,109.34,103.23,105.76,92.31,"83,748,000"
"Jan 01, 2017",115.52,118.19,108.68,109.13,95.25,"53,083,500"
"Dec 01, 2016",116.04,120.44,114.36,114.64,100.06,"52,181,200"
"Nov 01, 2016",108.02,116.96,106.16,115.92,100.48,"62,746,300"
"Oct 01, 2016",109.36,109.61,105.87,107.76,93.40,"43,726,800"
"Sep 01, 2016",109.51,110.72,106.07,109.36,94.79,"53,175,200"
"Aug 01, 2016",108.14,111.03,106.92,109.22,94.00,"46,169,800"
"Jul 01, 2016",107.60,111.83,105.96,108.10,93.04,"48,774,900"
"Jun 01, 2016",103.08,107.74,101.95,107.72,92.71,"59,039,900"
"May 01, 2016",105.32,105.60,100.05,103.09,88.05,"56,002,300"
"Apr 01, 2016",104.92,107.21,103.41,105.07,89.74,"48,451,600"
"Mar 01, 2016",97.43,106.61,97.03,105.47,90.08,"60,881,700"
"Feb 01, 2016",92.04,99.50,92.04,96.55,81.81,"76,065,200"
"Jan 01, 2016",95.34,96.10,87.30,93.20,78.97,"68,562,300"
"Dec 01, 2015",103.46,104.50,95.82,96.23,81.54,"75,692,000"
"Nov 01, 2015",103.01,105.37,101.43,103.01,86.68,"49,048,800"
"Oct 01, 2015",99.00,107.32,96.96,103.02,86.69,"65,687,500"
"Sep 01, 2015",95.81,101.79,94.65,98.69,83.04,"70,596,400"
"Aug 01, 2015",102.49,104.07,93.64,97.65,81.58,"74,416,900"
"Jul 01, 2015",97.52,102.76,94.15,102.36,85.52,"64,611,900"
"Jun 01, 2015",99.77,101.68,96.81,96.91,80.97,"60,264,900"
"May 01, 2015",100.95,102.84,98.58,99.22,82.29,"63,584,300"
"Apr 01, 2015",96.49,101.98,94.88,100.53,83.37,"73,885,900"
"Mar 01, 2015",101.73,102.37,96.32,96.94,80.40,"64,639,800"
"Feb 01, 2015",99.00,102.82,98.34,101.73,83.77,"56,880,100"
"Jan 01, 2015",111.27,114.40,98.29,98.84,81.39,"92,901,100"
"Dec 01, 2014",110.30,113.10,106.47,111.17,91.54,"72,327,900"
"Nov 01, 2014",104.91,111.09,104.66,109.92,89.95,"69,901,700"
"Oct 01, 2014",98.44,105.84,94.05,104.91,85.85,"83,362,100"
