,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",44.31,47.25,43.96,46.59,45.82,"140,464,800"
"Nov 01, 2020",39.45,45.43,38.47,43.21,42.49,"150,119,700"
"Oct 01, 2020",36.03,41.03,35.25,38.95,38.30,"139,228,400"
"Sep 01, 2020",36.16,38.94,34.17,35.85,34.85,"148,727,900"
"Aug 01, 2020",36.79,39.35,35.03,36.40,35.38,"108,174,400"
"Jul 01, 2020",36.92,38.47,34.01,36.84,35.81,"154,893,700"
"Jun 01, 2020",35.79,44.26,35.61,36.82,35.37,"230,637,200"
"May 01, 2020",35.71,38.65,28.36,35.56,34.16,"189,683,800"
"Apr 01, 2020",32.53,38.94,30.78,36.50,35.06,"185,090,200"
"Mar 01, 2020",46.48,49.04,28.59,34.45,32.71,"337,874,500"
"Feb 01, 2020",53.57,55.69,44.91,46.44,44.09,"139,247,200"
"Jan 01, 2020",59.47,59.48,52.87,53.22,50.53,"142,127,800"
"Dec 01, 2019",60.25,61.11,58.64,59.29,55.89,"134,297,000"
"Nov 01, 2019",57.55,60.51,57.38,60.03,56.59,"99,217,200"
"Oct 01, 2019",55.61,57.71,52.08,56.31,53.08,"123,038,800"
"Sep 01, 2019",52.40,56.45,51.74,55.34,51.77,"108,549,000"
"Aug 01, 2019",56.85,57.19,50.60,52.69,49.30,"117,152,600"
"Jul 01, 2019",52.93,57.81,52.63,57.15,53.47,"117,638,400"
"Jun 01, 2019",50.06,53.64,49.85,52.40,48.67,"106,957,000"
"May 01, 2019",53.27,53.78,49.75,50.20,46.63,"110,339,900"
"Apr 01, 2019",48.55,53.38,48.30,53.32,49.53,"135,882,500"
"Mar 01, 2019",52.12,52.96,47.57,48.19,44.42,"128,007,700"
"Feb 01, 2019",51.26,52.19,49.94,51.69,47.65,"115,914,500"
"Jan 01, 2019",45.22,51.63,45.05,51.16,47.16,"160,690,200"
"Dec 01, 2018",54.88,55.04,43.14,45.70,41.78,"203,391,500"
"Nov 01, 2018",52.39,55.35,51.49,54.46,49.79,"155,835,200"
"Oct 01, 2018",52.95,54.66,50.01,52.27,47.79,"201,322,100"
"Sep 01, 2018",54.21,55.56,52.48,52.81,47.95,"105,851,400"
"Aug 01, 2018",53.31,54.72,52.14,54.11,49.13,"113,271,700"
"Jul 01, 2018",49.62,53.35,49.59,53.01,48.13,"155,872,100"
"Jun 01, 2018",50.50,52.23,49.24,50.02,45.14,"164,303,100"
"May 01, 2018",50.25,51.86,48.49,49.99,45.12,"139,437,500"
"Apr 01, 2018",50.45,51.89,49.03,50.45,45.53,"154,604,600"
"Mar 01, 2018",54.39,55.51,49.15,50.50,45.30,"144,554,100"
"Feb 01, 2018",56.93,57.80,51.87,54.36,48.77,"149,613,100"
"Jan 01, 2018",54.05,58.50,53.79,57.14,51.26,"144,678,600"
"Dec 01, 2017",55.23,56.43,53.58,53.58,47.80,"103,318,200"
"Nov 01, 2017",54.58,55.92,51.14,55.15,49.20,"113,313,300"
"Oct 01, 2017",53.29,54.82,52.34,54.38,48.51,"125,305,000"
"Sep 01, 2017",51.38,54.35,49.54,53.59,47.54,"113,567,900"
"Aug 01, 2017",52.96,53.65,51.17,51.50,45.69,"145,472,500"
"Jul 01, 2017",52.15,53.71,51.40,52.78,46.82,"115,726,600"
"Jun 01, 2017",51.16,53.46,50.58,51.78,45.69,"200,969,700"
"May 01, 2017",51.55,52.81,50.10,50.89,44.90,"172,915,900"
"Apr 01, 2017",51.62,52.62,49.55,51.28,45.25,"194,785,100"
"Mar 01, 2017",55.87,56.61,51.05,52.12,45.74,"268,477,900"
"Feb 01, 2017",53.16,55.51,52.53,55.00,48.27,"167,256,900"
"Jan 01, 2017",51.62,53.14,49.99,52.99,46.51,"209,917,700"
"Dec 01, 2016",49.81,52.68,49.63,51.37,44.84,"148,392,000"
"Nov 01, 2016",44.88,49.77,43.83,49.62,43.32,"184,570,700"
"Oct 01, 2016",42.69,45.14,42.37,44.76,39.07,"149,768,700"
"Sep 01, 2016",44.25,44.26,42.17,42.89,37.20,"145,238,300"
"Aug 01, 2016",42.15,44.23,41.13,44.15,38.29,"125,658,500"
"Jul 01, 2016",40.15,42.50,38.63,42.17,36.57,"122,912,800"
"Jun 01, 2016",42.45,43.15,38.48,40.33,34.75,"165,506,500"
"May 01, 2016",43.02,43.23,40.57,42.82,36.89,"159,851,600"
"Apr 01, 2016",40.31,43.94,38.83,42.69,36.78,"167,833,600"
"Mar 01, 2016",38.69,41.54,38.69,40.59,34.75,"140,184,100"
"Feb 01, 2016",39.89,40.71,37.07,38.52,32.98,"189,474,300"
"Jan 01, 2016",41.75,41.82,37.97,40.06,34.30,"191,125,300"
"Dec 01, 2015",44.14,44.58,41.84,42.67,36.32,"140,761,800"
"Nov 01, 2015",42.24,44.41,42.23,43.89,37.35,"123,301,400"
"Oct 01, 2015",41.02,43.23,39.28,42.18,35.90,"167,408,900"
"Sep 01, 2015",41.34,42.69,40.00,41.01,34.69,"209,906,000"
"Aug 01, 2015",45.13,46.02,38.81,42.35,35.82,"149,676,900"
