,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",54.90,61.67,51.90,56.57,55.71,"92,574,600"
"Nov 01, 2020",39.35,59.92,37.88,53.77,52.02,"124,226,900"
"Oct 01, 2020",41.62,44.89,35.44,38.61,37.35,"118,101,300"
"Sep 01, 2020",52.28,54.48,42.93,43.32,41.91,"99,340,600"
"Aug 01, 2020",55.23,56.18,50.73,52.59,49.99,"83,327,700"
"Jul 01, 2020",59.20,60.30,49.87,56.23,53.45,"90,746,900"
"Jun 01, 2020",66.83,77.11,55.66,58.82,55.92,"102,955,800"
"May 01, 2020",60.83,71.29,55.81,66.64,62.37,"95,462,700"
"Apr 01, 2020",42.08,66.94,39.67,63.35,59.29,"123,414,400"
"Mar 01, 2020",66.97,69.05,31.00,45.36,42.45,"192,397,000"
"Feb 01, 2020",84.30,86.79,62.41,66.25,61.28,"67,943,600"
"Jan 01, 2020",94.63,98.03,83.32,84.31,77.99,"71,734,200"
"Dec 01, 2019",95.84,97.21,91.94,93.65,86.63,"59,375,200"
"Nov 01, 2019",97.80,101.99,94.77,95.49,87.55,"57,439,600"
"Oct 01, 2019",85.64,101.44,81.30,96.98,88.91,"70,025,700"
"Sep 01, 2019",73.90,86.00,73.24,85.24,78.15,"69,927,900"
"Aug 01, 2019",85.21,86.53,71.00,75.28,68.26,"71,025,000"
"Jul 01, 2019",86.84,87.24,79.74,85.25,77.30,"64,443,500"
"Jun 01, 2019",70.71,85.77,70.66,85.61,77.63,"63,622,500"
"May 01, 2019",90.97,91.83,69.44,70.40,63.13,"90,481,300"
"Apr 01, 2019",85.87,92.70,83.04,90.66,81.30,"71,123,500"
"Mar 01, 2019",82.12,87.95,78.55,84.83,76.07,"75,140,400"
"Feb 01, 2019",88.00,88.21,81.53,81.56,72.35,"62,670,100"
"Jan 01, 2019",73.82,88.36,72.95,87.82,77.90,"96,289,700"
"Dec 01, 2018",82.26,83.78,68.81,74.97,66.50,"97,629,000"
"Nov 01, 2018",92.07,94.72,76.25,79.90,70.20,"87,882,900"
"Oct 01, 2018",114.59,120.72,82.64,91.09,80.03,"100,049,000"
"Sep 01, 2018",118.36,121.22,108.10,113.75,99.94,"55,913,400"
"Aug 01, 2018",116.61,122.42,110.61,117.88,102.85,"55,631,700"
"Jul 01, 2018",109.90,118.74,103.75,118.35,103.26,"64,045,200"
"Jun 01, 2018",122.08,126.98,107.68,110.83,96.70,"76,264,800"
"May 01, 2018",110.26,124.77,108.77,121.20,105.02,"85,229,900"
"Apr 01, 2018",92.25,113.32,89.75,110.93,96.12,"75,079,900"
"Mar 01, 2018",90.53,96.41,89.57,92.77,80.38,"72,316,400"
"Feb 01, 2018",96.42,96.87,82.90,90.42,77.64,"74,434,800"
"Jan 01, 2018",92.19,99.95,91.71,95.97,82.40,"62,744,300"
"Dec 01, 2017",85.37,93.18,82.52,91.91,78.92,"62,449,000"
"Nov 01, 2017",79.32,85.86,79.07,85.62,72.89,"69,379,600"
"Oct 01, 2017",76.73,79.14,75.84,78.89,67.16,"76,912,800"
"Sep 01, 2017",68.11,77.77,67.24,76.93,65.50,"80,911,100"
"Aug 01, 2017",69.35,69.79,64.22,68.10,57.39,"82,233,700"
"Jul 01, 2017",67.81,69.44,65.95,68.97,58.12,"72,156,800"
"Jun 01, 2017",61.37,68.39,61.07,67.46,56.85,"96,808,300"
"May 01, 2017",64.82,67.16,60.69,61.47,51.25,"86,099,400"
"Apr 01, 2017",66.59,67.69,63.26,64.61,53.87,"81,180,700"
"Mar 01, 2017",68.51,69.84,65.42,66.29,55.27,"106,371,700"
"Feb 01, 2017",66.53,69.41,64.62,67.95,56.07,"82,318,800"
"Jan 01, 2017",69.55,71.40,64.45,65.76,54.26,"100,934,700"
"Dec 01, 2016",61.50,69.85,60.41,68.32,56.37,"98,863,000"
"Nov 01, 2016",60.37,66.17,57.40,61.56,50.32,"117,039,600"
"Oct 01, 2016",53.04,60.36,52.51,59.24,48.43,"116,046,200"
"Sep 01, 2016",55.37,58.08,51.17,53.00,43.33,"126,496,200"
"Aug 01, 2016",52.13,56.00,51.39,55.35,44.75,"137,286,400"
"Jul 01, 2016",50.79,53.67,46.88,52.28,42.27,"144,503,300"
"Jun 01, 2016",54.70,56.73,49.91,51.00,41.23,"141,818,600"
"May 01, 2016",58.96,60.10,53.51,54.70,43.75,"117,472,900"
"Apr 01, 2016",63.59,64.06,58.10,58.87,47.08,"112,230,400"
"Mar 01, 2016",60.17,66.89,59.16,64.14,51.30,"115,302,100"
"Feb 01, 2016",68.20,69.13,52.55,60.08,47.59,"144,702,600"
