,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",141.60,148.82,134.53,148.31,147.98,"17,431,900"
"Nov 01, 2020",146.47,151.42,131.36,139.65,139.00,"21,553,400"
"Oct 01, 2020",136.00,153.88,132.25,144.84,144.17,"20,824,400"
"Sep 01, 2020",119.54,136.44,119.28,135.54,134.91,"17,736,600"
"Aug 01, 2020",118.00,136.14,115.62,120.00,119.13,"19,029,600"
"Jul 01, 2020",116.36,128.88,114.33,117.42,116.57,"20,880,800"
"Jun 01, 2020",108.07,128.79,107.00,115.85,115.01,"32,819,800"
"May 01, 2020",110.90,114.13,88.60,108.32,107.17,"27,882,300"
"Apr 01, 2020",104.20,124.48,94.10,112.97,111.77,"34,545,600"
"Mar 01, 2020",120.68,134.89,65.56,108.07,106.93,"43,697,100"
"Feb 01, 2020",142.39,149.05,113.20,120.26,118.68,"23,237,400"
"Jan 01, 2020",145.00,145.71,138.06,141.63,139.76,"17,720,500"
"Dec 01, 2019",142.30,145.00,139.52,143.99,142.09,"16,649,000"
"Nov 01, 2019",143.71,145.47,131.50,141.87,139.69,"21,824,400"
"Oct 01, 2019",151.34,152.47,141.91,142.87,140.68,"20,349,500"
"Sep 01, 2019",140.47,152.49,137.29,151.24,148.92,"19,331,100"
"Aug 01, 2019",138.38,144.23,134.28,141.25,138.78,"17,338,400"
"Jul 01, 2019",138.70,141.84,132.51,138.35,135.93,"23,157,600"
"Jun 01, 2019",125.29,137.92,125.29,137.31,134.91,"18,694,200"
"May 01, 2019",126.98,132.60,123.41,124.91,122.43,"23,863,500"
"Apr 01, 2019",119.10,126.89,118.37,126.11,123.60,"19,544,400"
"Mar 01, 2019",111.89,120.00,109.19,118.40,116.05,"25,264,300"
"Feb 01, 2019",102.21,115.42,100.50,111.46,108.95,"29,627,800"
"Jan 01, 2019",97.50,105.38,95.31,101.65,99.36,"22,086,100"
"Dec 01, 2018",107.77,109.13,90.04,98.80,96.57,"23,636,800"
"Nov 01, 2018",101.77,112.58,98.13,105.71,103.05,"30,594,300"
"Oct 01, 2018",111.86,114.59,82.52,101.14,98.59,"45,858,900"
"Sep 01, 2018",110.00,117.57,106.10,111.20,108.40,"22,728,500"
"Aug 01, 2018",113.91,117.43,109.15,110.80,107.74,"24,912,300"
