,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",39.61,41.64,35.02,37.34,36.85,"47,451,500"
"Nov 01, 2020",31.30,43.35,30.26,38.91,37.76,"67,595,700"
"Oct 01, 2020",33.87,37.18,29.79,30.73,29.82,"40,247,200"
"Sep 01, 2020",35.71,38.17,31.36,33.71,32.71,"41,618,600"
"Aug 01, 2020",34.37,38.40,32.84,35.83,34.25,"36,979,100"
"Jul 01, 2020",38.30,39.98,33.85,34.52,33.00,"40,374,300"
"Jun 01, 2020",36.16,45.96,36.02,38.21,36.53,"61,681,300"
"May 01, 2020",42.52,42.98,30.82,36.21,34.01,"68,758,900"
"Apr 01, 2020",34.19,45.20,30.31,43.82,41.16,"57,779,900"
"Mar 01, 2020",53.94,56.82,27.64,36.21,34.01,"63,442,500"
"Feb 01, 2020",66.01,68.50,51.72,53.58,50.33,"30,176,800"
"Jan 01, 2020",66.72,68.68,64.79,65.77,61.18,"25,305,900"
"Dec 01, 2019",64.51,67.95,62.97,66.50,60.09,"24,735,100"
"Nov 01, 2019",65.05,66.17,62.50,64.57,57.76,"17,994,400"
"Oct 01, 2019",63.80,66.82,61.78,65.63,58.70,"22,347,500"
"Sep 01, 2019",60.34,64.82,60.03,63.67,56.95,"29,838,700"
"Aug 01, 2019",64.32,64.81,58.60,60.47,53.53,"29,699,400"
"Jul 01, 2019",64.67,66.72,62.97,64.32,56.93,"20,838,500"
"Jun 01, 2019",66.47,68.85,62.87,64.10,56.74,"17,981,000"
"May 01, 2019",69.08,69.75,65.20,66.23,58.06,"23,989,700"
"Apr 01, 2019",67.60,70.45,65.67,69.14,60.61,"19,843,600"
"Mar 01, 2019",67.36,69.71,65.91,67.44,59.12,"18,635,400"
"Feb 01, 2019",69.99,70.54,66.31,67.31,59.00,"21,675,700"
"Jan 01, 2019",61.51,70.05,59.95,69.91,60.67,"19,803,700"
"Dec 01, 2018",71.90,72.50,59.48,62.03,53.83,"21,031,000"
"Nov 01, 2018",68.30,72.06,66.02,71.96,61.87,"22,772,200"
"Oct 01, 2018",73.04,73.06,66.04,68.08,58.53,"21,361,500"
"Sep 01, 2018",76.81,77.14,71.81,73.00,62.76,"16,946,900"
"Aug 01, 2018",71.20,77.59,71.10,77.00,65.62,"19,074,500"
"Jul 01, 2018",73.85,76.10,69.50,71.92,61.29,"15,733,200"
"Jun 01, 2018",69.73,74.28,69.56,73.92,62.99,"24,496,900"
"May 01, 2018",68.21,70.84,65.54,69.71,58.87,"21,716,500"
"Apr 01, 2018",67.41,68.44,64.53,68.03,57.45,"19,307,800"
"Mar 01, 2018",66.17,69.66,64.13,67.30,56.83,"23,309,300"
"Feb 01, 2018",71.71,71.88,65.16,66.47,56.13,"30,917,000"
"Jan 01, 2018",78.31,78.31,70.01,71.68,60.00,"21,388,500"
"Dec 01, 2017",77.78,79.56,75.27,78.18,65.44,"23,482,500"
"Nov 01, 2017",74.89,77.84,72.76,77.62,64.45,"19,499,600"
"Oct 01, 2017",77.00,80.30,71.90,74.86,62.16,"22,886,900"
"Sep 01, 2017",74.52,77.57,72.77,76.88,63.83,"24,454,800"
"Aug 01, 2017",79.80,80.92,73.02,74.49,61.38,"23,907,700"
"Jul 01, 2017",76.39,80.63,74.42,79.35,65.38,"25,775,300"
"Jun 01, 2017",74.32,77.42,73.71,75.91,62.55,"24,939,100"
"May 01, 2017",78.12,78.12,73.82,74.54,60.95,"29,170,200"
"Apr 01, 2017",81.12,83.55,77.26,77.80,63.63,"22,360,100"
"Mar 01, 2017",88.80,89.03,79.64,81.09,66.32,"26,772,400"
"Feb 01, 2017",86.05,90.32,83.82,88.82,72.64,"18,053,000"
"Jan 01, 2017",85.15,87.50,83.65,85.94,69.82,"21,425,400"
"Dec 01, 2016",79.05,104.62,78.38,103.22,83.86,"26,982,200"
"Nov 01, 2016",74.99,80.65,69.81,79.02,63.74,"32,506,000"
"Oct 01, 2016",81.49,81.50,73.42,75.00,60.50,"20,052,300"
"Sep 01, 2016",83.61,84.89,78.56,81.82,65.99,"21,453,500"
"Aug 01, 2016",86.60,87.87,81.03,83.52,66.96,"19,109,000"
"Jul 01, 2016",81.24,87.00,78.76,86.82,69.61,"23,827,500"
"Jun 01, 2016",76.73,80.95,76.42,80.94,64.89,"26,626,700"
"May 01, 2016",77.69,79.22,72.86,77.22,61.50,"23,711,000"
"Apr 01, 2016",75.94,78.86,75.14,77.39,61.63,"17,569,800"
"Mar 01, 2016",70.27,76.86,70.13,76.34,60.80,"18,906,000"
"Feb 01, 2016",70.74,72.51,63.79,69.81,55.60,"35,115,400"
"Jan 01, 2016",79.95,80.82,69.49,71.51,56.56,"24,830,800"
"Dec 01, 2015",78.75,82.38,77.37,80.81,63.91,"20,019,100"
"Nov 01, 2015",81.29,83.60,75.23,78.22,61.48,"17,508,200"
"Oct 01, 2015",73.44,81.54,72.21,81.29,63.88,"20,583,900"
"Sep 01, 2015",69.36,75.68,68.39,73.10,57.45,"21,403,500"
"Aug 01, 2015",78.88,79.33,68.50,70.49,55.03,"22,278,300"
"Jul 01, 2015",75.94,80.00,75.52,78.86,61.57,"19,815,300"
"Jun 01, 2015",80.84,82.12,76.43,76.74,59.91,"23,249,900"
"May 01, 2015",84.24,85.29,79.63,80.75,62.65,"17,086,200"
"Apr 01, 2015",90.50,91.45,83.16,83.66,64.91,"15,584,000"
"Mar 01, 2015",89.19,92.17,84.16,90.54,70.25,"25,184,300"
"Feb 01, 2015",89.33,92.28,88.01,88.96,69.02,"19,391,700"
"Jan 01, 2015",86.59,93.56,86.11,89.28,68.88,"22,636,200"
