,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",201.00,219.53,198.94,216.40,216.40,"12,442,200"
"Nov 01, 2020",193.26,211.84,187.83,200.72,200.72,"12,820,200"
"Oct 01, 2020",206.52,218.02,188.35,190.70,190.70,"12,525,800"
"Sep 01, 2020",215.37,220.51,194.95,204.85,204.85,"16,561,600"
"Aug 01, 2020",211.63,215.75,201.51,214.80,214.80,"12,993,500"
"Jul 01, 2020",206.13,216.66,196.34,211.68,211.68,"14,926,600"
"Jun 01, 2020",218.03,221.30,197.76,206.83,206.83,"14,658,100"
"May 01, 2020",206.18,219.90,202.54,219.01,219.01,"11,884,700"
"Apr 01, 2020",173.43,219.00,171.72,209.49,209.49,"16,614,500"
"Mar 01, 2020",188.27,199.90,148.77,180.09,180.09,"22,406,000"
"Feb 01, 2020",208.63,217.23,183.84,189.75,189.75,"13,332,200"
"Jan 01, 2020",194.91,216.92,193.20,208.14,208.14,"10,788,200"
"Dec 01, 2019",190.40,194.52,182.24,192.68,192.68,"12,399,700"
"Nov 01, 2019",191.35,194.90,182.72,190.74,190.74,"12,735,100"
"Oct 01, 2019",187.58,198.57,177.03,190.02,190.02,"13,453,500"
"Sep 01, 2019",202.55,209.75,185.39,188.63,188.63,"13,192,100"
"Aug 01, 2019",211.59,217.01,198.54,203.85,203.85,"10,949,200"
"Jul 01, 2019",211.60,221.78,208.70,211.09,211.09,"14,421,600"
"Jun 01, 2019",194.79,214.36,188.16,209.16,209.16,"11,958,100"
"May 01, 2019",197.86,199.41,187.02,194.98,194.98,"11,524,000"
"Apr 01, 2019",183.04,203.28,182.11,197.45,197.45,"12,823,400"
"Mar 01, 2019",178.90,185.75,173.84,181.56,181.56,"12,269,300"
"Feb 01, 2019",169.73,180.21,168.32,178.04,178.04,"11,701,300"
"Jan 01, 2019",145.44,170.17,142.37,169.27,169.27,"13,704,900"
"Dec 01, 2018",158.66,160.77,138.77,148.29,148.29,"19,894,100"
"Nov 01, 2018",142.54,176.76,138.97,156.06,156.06,"22,066,100"
"Oct 01, 2018",161.05,161.49,131.28,142.54,142.54,"19,827,500"
"Sep 01, 2018",158.75,164.19,154.30,160.12,160.12,"16,573,600"
"Aug 01, 2018",145.72,160.08,145.38,158.61,158.61,"14,794,400"
"Jul 01, 2018",136.73,159.11,136.63,145.23,145.23,"12,424,000"
"Jun 01, 2018",131.35,145.57,131.35,137.42,137.42,"21,385,300"
"May 01, 2018",117.13,131.44,116.31,130.44,130.44,"21,041,500"
"Apr 01, 2018",118.17,127.16,114.01,117.42,117.42,"24,876,800"
"Mar 01, 2018",116.06,127.24,113.04,118.56,118.56,"26,463,800"
"Feb 01, 2018",114.21,121.61,105.40,116.02,116.02,"24,675,600"
"Jan 01, 2018",114.69,116.64,108.55,114.92,114.92,"15,913,700"
"Dec 01, 2017",115.36,117.13,111.61,114.44,114.44,"15,527,300"
"Nov 01, 2017",108.14,118.28,107.60,115.10,115.10,"20,627,500"
"Oct 01, 2017",106.76,110.82,106.17,107.52,107.52,"18,983,800"
"Sep 01, 2017",104.18,106.81,102.06,106.39,106.39,"12,255,300"
"Aug 01, 2017",101.00,103.91,97.15,103.75,103.75,"14,313,900"
"Jul 01, 2017",93.50,103.79,92.91,101.17,101.17,"16,979,300"
"Jun 01, 2017",90.55,94.93,90.39,92.96,92.96,"16,437,500"
"May 01, 2017",89.20,91.20,87.55,90.16,90.16,"17,847,600"
"Apr 01, 2017",87.49,91.80,87.01,88.92,88.92,"15,407,200"
"Mar 01, 2017",83.25,88.08,82.56,87.11,87.11,"18,922,400"
"Feb 01, 2017",80.09,85.52,79.21,82.47,82.47,"22,643,000"
"Jan 01, 2017",76.49,82.00,76.45,80.21,80.21,"13,075,000"
"Dec 01, 2016",78.45,82.50,75.71,76.07,76.07,"16,992,700"
"Nov 01, 2016",84.00,84.94,77.98,78.85,78.85,"15,729,400"
"Oct 01, 2016",78.52,86.98,74.46,84.02,84.02,"20,705,500"
"Sep 01, 2016",74.36,82.88,74.31,78.24,78.24,"29,610,600"
"Aug 01, 2016",86.35,86.60,74.01,74.45,74.45,"27,261,100"
"Jul 01, 2016",86.44,87.19,82.40,86.61,86.61,"17,770,800"
"Jun 01, 2016",85.00,87.78,80.47,86.46,86.46,"13,489,500"
"May 01, 2016",86.49,88.37,82.06,85.46,85.46,"15,419,500"
"Apr 01, 2016",88.19,91.99,86.17,86.40,86.40,"18,737,700"
"Mar 01, 2016",85.08,90.61,84.65,88.54,88.54,"19,477,800"
"Feb 01, 2016",75.03,86.30,70.26,84.49,84.49,"25,111,500"
"Jan 01, 2016",85.69,86.15,72.54,75.60,75.60,"23,009,200"
"Dec 01, 2015",89.44,93.94,85.98,87.36,87.36,"23,196,400"
"Nov 01, 2015",80.86,91.22,80.04,89.44,89.44,"24,093,900"
"Oct 01, 2015",70.76,81.49,70.21,80.60,80.60,"25,117,500"
"Sep 01, 2015",67.84,71.29,66.25,70.56,70.56,"16,153,300"
"Aug 01, 2015",70.61,71.82,64.00,68.94,68.94,"21,975,300"
"Jul 01, 2015",62.39,71.73,61.42,70.94,70.94,"21,315,700"
"Jun 01, 2015",63.62,64.88,61.31,61.72,61.72,"17,669,700"
"May 01, 2015",63.90,64.89,62.68,63.19,63.19,"19,094,200"
"Apr 01, 2015",66.69,68.25,62.62,63.51,63.51,"25,416,400"
"Mar 01, 2015",64.04,67.50,62.61,66.97,66.97,"20,209,400"
"Feb 01, 2015",54.47,64.95,53.48,64.02,64.02,"25,848,000"
"Jan 01, 2015",57.23,57.92,53.70,54.48,54.48,"19,633,700"
"Dec 01, 2014",59.67,60.03,55.42,57.00,57.00,"20,752,400"
"Nov 01, 2014",59.67,61.25,58.19,60.10,60.10,"17,383,100"
"Oct 01, 2014",55.01,59.85,52.10,59.76,59.76,"22,735,900"
"Sep 01, 2014",57.38,57.57,54.81,55.12,55.12,"26,848,100"
"Aug 01, 2014",54.41,57.43,52.75,57.08,57.08,"21,122,300"
"Jul 01, 2014",48.80,56.33,48.50,54.05,54.05,"30,496,000"
"Jun 01, 2014",50.07,51.95,48.35,48.81,48.81,"23,096,300"
"May 01, 2014",47.32,50.59,46.54,50.08,50.08,"27,237,800"
"Apr 01, 2014",54.08,54.47,46.45,47.18,47.18,"39,983,400"
"Mar 01, 2014",54.71,56.66,48.55,53.91,53.91,"38,428,600"
"Feb 01, 2014",58.40,58.73,50.49,55.11,55.11,"50,083,300"
"Jan 01, 2014",59.74,62.96,58.47,58.75,58.75,"32,426,600"
"Dec 01, 2013",57.06,59.89,55.72,59.78,59.78,"27,979,300"
"Nov 01, 2013",54.38,57.30,53.23,56.86,56.86,"19,891,500"
"Oct 01, 2013",50.67,55.00,49.16,54.28,54.28,"26,156,800"
"Sep 01, 2013",48.54,52.13,48.17,50.89,50.89,"25,261,600"
"Aug 01, 2013",48.01,50.11,47.87,47.99,47.99,"29,724,500"
"Jul 01, 2013",45.01,48.84,44.38,47.84,47.84,"28,801,300"
"Jun 01, 2013",47.14,47.18,43.28,44.66,44.66,"35,287,800"
"May 01, 2013",46.11,49.62,46.03,47.04,47.04,"29,532,600"
"Apr 01, 2013",47.24,47.73,43.31,46.07,46.07,"46,276,200"
"Mar 01, 2013",45.97,47.50,44.95,47.27,47.27,"40,468,300"
"Feb 01, 2013",43.60,46.70,43.04,45.81,45.81,"50,670,100"
"Jan 01, 2013",39.35,43.62,37.55,43.41,43.41,"73,923,900"
"Dec 01, 2012",34.76,39.02,34.68,38.82,38.82,"95,487,200"
"Nov 01, 2012",37.22,43.55,32.81,34.15,34.15,"129,817,700"
"Oct 01, 2012",49.00,50.15,36.35,37.07,37.07,"64,917,500"
"Sep 01, 2012",47.70,49.40,46.74,48.69,48.69,"36,312,300"
