,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",60.43,61.95,58.02,58.75,58.13,"329,170,400"
"Nov 01, 2020",57.67,61.46,56.58,60.41,59.77,"292,033,600"
"Oct 01, 2020",59.40,59.97,56.02,56.99,55.79,"340,715,100"
"Sep 01, 2020",59.12,61.50,58.65,59.49,58.24,"319,509,500"
"Aug 01, 2020",57.87,59.79,57.12,59.27,58.02,"233,570,600"
"Jul 01, 2020",55.09,57.70,53.75,57.48,55.65,"306,703,900"
"Jun 01, 2020",56.70,58.23,52.85,55.13,53.37,"385,391,700"
"May 01, 2020",57.76,57.79,53.67,57.38,55.55,"327,980,100"
"Apr 01, 2020",52.50,58.91,52.16,57.45,55.03,"354,230,300"
"Mar 01, 2020",55.16,58.25,48.84,53.73,51.46,"704,952,900"
"Feb 01, 2020",59.61,60.35,52.18,54.16,51.88,"324,785,500"
"Jan 01, 2020",61.38,61.45,58.34,59.44,56.35,"279,657,000"
"Dec 01, 2019",60.20,62.22,59.58,61.40,58.20,"238,202,500"
"Nov 01, 2019",61.29,61.34,58.80,60.24,57.10,"208,937,700"
"Oct 01, 2019",60.40,61.32,58.33,60.47,56.73,"255,517,200"
"Sep 01, 2019",57.90,61.00,57.59,60.36,56.63,"208,337,000"
"Aug 01, 2019",57.11,58.41,54.41,58.16,54.57,"277,684,500"
"Jul 01, 2019",57.42,58.51,54.56,55.27,51.31,"267,342,600"
"Jun 01, 2019",54.68,58.67,54.56,57.13,53.04,"261,156,100"
"May 01, 2019",57.23,60.54,54.26,54.35,50.46,"309,139,500"
"Apr 01, 2019",59.39,59.41,55.75,57.19,52.56,"272,992,300"
"Mar 01, 2019",57.02,61.19,55.45,59.13,54.34,"306,516,700"
"Feb 01, 2019",55.21,57.61,53.02,56.92,52.31,"242,014,600"
"Jan 01, 2019",56.16,58.69,52.28,55.06,50.08,"382,338,800"
"Dec 01, 2018",59.50,59.75,52.40,56.22,51.13,"395,011,400"
"Nov 01, 2018",56.98,61.58,55.55,60.30,54.84,"345,222,600"
"Oct 01, 2018",53.61,58.80,52.82,57.09,51.35,"458,625,800"
"Sep 01, 2018",53.55,55.42,52.84,53.39,48.03,"292,423,000"
"Aug 01, 2018",52.02,55.21,51.43,54.37,48.91,"261,174,600"
"Jul 01, 2018",50.25,53.00,49.70,51.64,45.92,"262,389,800"
"Jun 01, 2018",47.89,51.05,47.13,50.31,44.74,"372,708,100"
"May 01, 2018",49.49,49.65,46.09,47.67,42.39,"319,269,500"
"Apr 01, 2018",47.62,51.69,46.71,49.35,43.34,"320,901,700"
"Mar 01, 2018",47.69,49.26,46.20,47.82,41.99,"327,700,000"
"Feb 01, 2018",54.49,54.75,47.54,47.74,41.92,"391,625,300"
"Jan 01, 2018",53.16,54.77,51.15,54.07,46.95,"378,149,400"
"Dec 01, 2017",50.90,53.69,50.20,52.93,45.96,"305,509,400"
"Nov 01, 2017",48.15,51.09,43.97,50.89,44.19,"391,576,100"
"Oct 01, 2017",49.39,51.18,47.42,47.87,41.07,"329,044,000"
"Sep 01, 2017",48.02,50.32,45.71,49.49,42.46,"302,316,600"
"Aug 01, 2017",48.68,49.63,47.51,47.97,41.16,"291,245,600"
"Jul 01, 2017",44.61,48.57,42.80,48.40,40.99,"324,789,200"
"Jun 01, 2017",46.71,47.50,44.36,44.66,37.82,"304,900,900"
"May 01, 2017",46.06,46.95,44.46,46.64,39.50,"329,434,100"
