,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",38.38,43.67,38.31,39.88,39.50,"153,049,900"
"Nov 01, 2020",34.53,44.87,34.37,38.01,37.21,"196,140,400"
"Oct 01, 2020",35.84,38.22,33.36,34.04,33.32,"147,647,500"
"Sep 01, 2020",37.89,38.33,33.88,35.92,35.16,"160,981,000"
"Aug 01, 2020",40.58,44.05,38.00,38.02,36.80,"117,717,100"
"Jul 01, 2020",42.15,43.81,38.05,40.71,39.40,"164,695,500"
"Jun 01, 2020",42.71,47.38,39.83,42.39,41.02,"130,380,100"
"May 01, 2020",42.77,43.70,36.65,42.94,41.09,"152,320,500"
"Apr 01, 2020",45.07,46.45,39.41,43.29,41.43,"142,652,500"
"Mar 01, 2020",45.92,54.23,40.52,45.75,43.78,"223,206,000"
"Feb 01, 2020",51.04,54.53,44.61,45.76,43.41,"104,997,900"
"Jan 01, 2020",59.28,59.78,50.66,50.85,48.24,"121,820,700"
"Dec 01, 2019",59.30,59.92,56.76,58.96,55.93,"88,029,800"
"Nov 01, 2019",55.08,64.50,55.01,59.60,56.12,"163,083,400"
"Oct 01, 2019",55.26,56.81,51.57,54.78,51.58,"103,688,200"
"Sep 01, 2019",51.25,58.10,50.04,55.31,52.08,"99,636,600"
"Aug 01, 2019",54.60,55.77,49.03,51.19,47.77,"103,203,700"
"Jul 01, 2019",55.36,56.95,53.66,54.49,50.84,"93,618,000"
"Jun 01, 2019",49.52,55.19,49.52,54.67,51.01,"122,038,400"
"May 01, 2019",53.57,54.33,49.31,49.34,45.65,"111,719,500"
"Apr 01, 2019",63.55,64.11,52.25,53.57,49.57,"201,758,600"
"Mar 01, 2019",70.85,71.18,59.33,63.27,58.54,"151,777,400"
"Feb 01, 2019",72.38,74.94,69.53,71.19,65.47,"93,376,800"
"Jan 01, 2019",67.20,72.88,66.69,72.26,66.45,"110,441,200"
"Dec 01, 2018",85.03,86.31,64.51,68.33,62.84,"155,700,500"
"Nov 01, 2018",79.48,85.31,78.28,84.67,77.45,"118,463,600"
"Oct 01, 2018",72.88,80.25,69.69,79.77,72.97,"168,569,400"
"Sep 01, 2018",68.53,74.57,67.42,72.90,66.68,"90,642,700"
"Aug 01, 2018",67.61,70.95,65.54,68.56,62.32,"124,995,400"
"Jul 01, 2018",59.68,69.53,59.50,67.62,61.46,"180,765,300"
"Jun 01, 2018",62.56,68.87,59.07,60.02,54.55,"190,506,800"
"May 01, 2018",65.37,66.23,61.56,62.39,56.36,"103,151,400"
"Apr 01, 2018",65.10,68.15,61.74,66.45,60.03,"117,097,100"
"Mar 01, 2018",69.06,71.18,64.76,65.47,59.15,"122,681,400"
"Feb 01, 2018",74.53,76.35,66.34,68.89,61.87,"106,097,400"
