,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",45.47,55.95,45.36,55.39,55.39,"102,373,800"
"Nov 01, 2020",38.09,46.54,36.59,44.88,44.88,"82,911,700"
"Oct 01, 2020",36.81,43.77,35.29,37.73,37.73,"142,077,500"
"Sep 01, 2020",38.05,41.12,35.57,36.55,36.55,"136,407,300"
"Aug 01, 2020",43.15,45.36,33.53,38.42,38.42,"159,179,500"
"Jul 01, 2020",44.01,47.39,40.57,43.10,43.10,"97,922,500"
"Jun 01, 2020",43.40,49.88,40.60,44.15,44.15,"128,502,100"
"May 01, 2020",40.50,46.31,37.65,44.37,44.37,"129,346,700"
"Apr 01, 2020",39.70,48.83,37.43,46.08,45.48,"126,028,500"
"Mar 01, 2020",57.35,60.96,27.40,41.62,41.08,"170,731,000"
"Feb 01, 2020",65.60,71.30,51.78,55.56,54.84,"82,844,800"
"Jan 01, 2020",64.20,72.00,62.75,65.50,64.14,"119,393,800"
"Dec 01, 2019",50.34,63.60,46.65,63.47,62.16,"103,482,200"
"Nov 01, 2019",51.81,55.18,47.26,50.33,49.29,"104,339,400"
"Oct 01, 2019",60.06,63.13,51.55,51.65,50.14,"94,506,500"
"Sep 01, 2019",56.63,65.31,56.11,59.64,57.89,"90,432,600"
"Aug 01, 2019",56.61,58.50,51.43,57.27,55.59,"101,694,900"
"Jul 01, 2019",50.40,57.86,47.28,53.89,52.31,"140,262,900"
"Jun 01, 2019",37.34,47.60,35.61,47.55,45.63,"137,091,200"
"May 01, 2019",51.59,53.04,37.17,37.22,35.72,"114,755,600"
"Apr 01, 2019",48.93,55.54,47.81,51.12,49.06,"130,994,700"
"Mar 01, 2019",51.02,53.40,44.76,48.06,45.61,"153,634,100"
"Feb 01, 2019",44.73,52.24,44.05,50.30,47.74,"113,136,300"
"Jan 01, 2019",36.15,47.95,35.02,44.99,42.70,"194,662,100"
"Dec 01, 2018",46.26,46.54,33.83,36.97,34.61,"122,548,100"
"Nov 01, 2018",43.29,49.58,42.60,45.39,42.50,"122,964,900"
"Oct 01, 2018",58.01,59.56,40.58,43.07,40.32,"146,507,000"
"Sep 01, 2018",61.75,61.75,53.61,58.54,54.34,"102,708,300"
"Aug 01, 2018",70.20,70.43,61.54,63.24,58.71,"90,722,500"
"Jul 01, 2018",76.50,80.12,69.53,70.15,65.12,"71,961,200"
"Jun 01, 2018",84.21,87.16,76.40,77.41,71.40,"83,618,200"
"May 01, 2018",78.22,88.62,75.96,83.51,77.02,"94,340,400"
"Apr 01, 2018",92.51,93.41,76.70,78.79,72.67,"71,334,300"
"Mar 01, 2018",87.42,106.96,86.03,92.27,84.64,"92,345,600"
"Feb 01, 2018",87.43,89.93,77.90,87.04,79.84,"68,556,600"
"Jan 01, 2018",80.51,91.19,78.80,88.98,81.62,"100,047,300"
"Dec 01, 2017",79.27,85.63,76.59,79.53,72.50,"81,191,500"
"Nov 01, 2017",90.01,93.31,78.60,78.86,71.89,"78,557,400"
"Oct 01, 2017",84.84,90.33,82.15,89.27,81.38,"87,824,100"
"Sep 01, 2017",88.67,91.17,83.32,86.40,78.32,"87,773,800"
"Aug 01, 2017",85.29,92.14,78.31,88.27,80.02,"93,777,300"
"Jul 01, 2017",89.00,95.77,84.10,85.12,77.16,"84,957,400"
"Jun 01, 2017",89.94,95.00,82.14,88.60,79.88,"95,436,600"
"May 01, 2017",88.00,92.27,84.13,90.06,81.19,"80,943,100"
"Apr 01, 2017",82.60,91.00,80.51,89.07,80.30,"97,587,900"
"Mar 01, 2017",78.13,84.28,71.38,82.53,73.94,"89,122,900"
"Feb 01, 2017",80.47,80.70,72.75,76.88,68.88,"65,911,900"
"Jan 01, 2017",68.95,81.67,68.58,79.73,71.44,"96,319,700"
"Dec 01, 2016",63.87,72.01,60.78,67.95,60.45,"90,298,100"
"Nov 01, 2016",58.51,64.37,54.26,63.66,56.63,"86,450,000"
"Oct 01, 2016",59.02,61.97,52.10,58.44,51.99,"102,880,400"
"Sep 01, 2016",46.67,59.86,45.70,58.47,51.57,"120,537,700"
"Aug 01, 2016",47.69,47.69,43.09,46.67,41.16,"95,415,000"
"Jul 01, 2016",46.77,54.56,43.52,47.51,41.90,"105,994,200"
"Jun 01, 2016",46.93,51.27,41.64,47.26,41.21,"134,500,300"
"May 01, 2016",40.61,46.55,34.99,46.54,40.58,"159,160,100"
"Apr 01, 2016",46.88,47.58,39.00,40.87,35.64,"135,307,000"
"Mar 01, 2016",44.14,51.68,43.23,47.24,40.77,"128,125,700"
"Feb 01, 2016",47.61,51.16,38.64,43.53,37.57,"102,074,500"
"Jan 01, 2016",59.32,60.97,42.28,47.98,41.41,"106,367,000"
"Dec 01, 2015",62.43,64.73,57.94,60.05,50.97,"66,765,200"
"Nov 01, 2015",66.85,69.01,60.12,62.41,52.98,"71,428,600"
"Oct 01, 2015",79.81,86.39,66.08,66.82,56.72,"102,546,300"
"Sep 01, 2015",79.74,84.78,67.87,79.44,66.95,"65,203,000"
"Aug 01, 2015",86.20,86.80,74.44,81.96,69.07,"49,955,700"
"Jul 01, 2015",79.15,88.46,75.92,86.06,72.06,"66,597,200"
"Jun 01, 2015",97.60,98.19,78.33,78.42,65.26,"42,887,800"
"May 01, 2015",98.11,99.93,92.51,97.36,81.03,"36,636,200"
"Apr 01, 2015",90.56,102.07,89.82,97.74,81.34,"46,363,300"
"Mar 01, 2015",107.42,110.00,90.28,91.01,75.33,"45,561,800"
"Feb 01, 2015",97.26,111.84,95.54,106.98,88.55,"38,279,400"
"Jan 01, 2015",111.80,113.88,96.70,97.23,80.16,"46,524,300"
"Dec 01, 2014",103.10,114.69,101.33,110.70,90.95,"41,897,600"
"Nov 01, 2014",98.72,104.00,96.39,103.27,84.84,"36,423,500"
