,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",120.17,120.60,114.16,117.93,116.83,"30,552,600"
"Nov 01, 2020",109.08,125.56,108.90,119.13,118.02,"30,466,900"
"Oct 01, 2020",113.96,117.60,106.11,107.91,106.90,"30,973,800"
"Sep 01, 2020",113.31,118.92,109.06,113.17,111.58,"37,731,700"
"Aug 01, 2020",109.96,115.02,108.01,114.00,112.39,"30,187,900"
"Jul 01, 2020",105.91,110.13,100.95,109.60,108.06,"36,281,100"
"Jun 01, 2020",107.00,113.57,100.45,105.91,103.90,"53,177,400"
"May 01, 2020",98.66,107.45,94.13,106.75,104.73,"45,980,900"
"Apr 01, 2020",90.15,103.19,86.90,100.02,98.12,"58,372,700"
"Mar 01, 2020",111.84,120.55,85.34,92.56,90.39,"101,421,200"
"Feb 01, 2020",122.16,126.79,106.61,110.81,108.22,"41,393,000"
"Jan 01, 2020",114.09,123.20,112.50,121.70,118.85,"33,216,800"
"Dec 01, 2019",112.72,114.15,110.11,113.96,110.79,"32,549,400"
"Nov 01, 2019",112.52,113.71,107.77,112.91,109.77,"37,996,100"
"Oct 01, 2019",115.15,118.30,110.84,112.21,109.09,"45,487,200"
"Sep 01, 2019",119.61,121.77,111.10,115.00,111.32,"35,291,600"
"Aug 01, 2019",116.99,120.58,112.87,119.35,115.53,"38,402,600"
"Jul 01, 2019",116.10,118.89,114.44,117.00,113.26,"34,615,000"
"Jun 01, 2019",110.63,117.34,110.25,115.37,111.18,"34,897,200"
"May 01, 2019",107.25,109.99,103.84,109.35,105.38,"33,888,200"
"Apr 01, 2019",104.58,107.45,97.55,107.34,103.44,"37,568,500"
"Mar 01, 2019",101.52,104.00,98.19,103.91,99.62,"34,680,400"
"Feb 01, 2019",96.00,101.35,94.88,101.25,97.07,"33,221,200"
"Jan 01, 2019",88.10,96.15,87.32,95.67,91.72,"42,944,200"
"Dec 01, 2018",94.40,95.49,83.49,88.99,85.31,"45,373,600"
"Nov 01, 2018",89.66,94.08,86.37,93.75,89.43,"41,142,900"
"Oct 01, 2018",90.77,91.66,83.22,89.47,85.35,"47,636,700"
"Sep 01, 2018",90.80,92.85,89.65,90.36,85.76,"30,978,200"
"Aug 01, 2018",90.16,91.64,88.54,90.90,86.27,"36,693,500"
