,Open,High,Low,Close*,Adj Close**,Volume
"Dec 01, 2020",22.72,23.36,21.49,21.94,21.52,"96,070,700"
"Nov 01, 2020",19.73,22.84,19.63,22.56,22.13,"88,505,400"
"Oct 01, 2020",21.48,22.65,19.07,19.44,19.07,"85,967,000"
"Sep 01, 2020",23.58,24.08,21.07,21.43,20.81,"71,723,600"
"Aug 01, 2020",24.32,25.13,22.43,23.59,22.91,"96,641,500"
"Jul 01, 2020",21.84,24.43,20.31,24.28,23.58,"117,287,300"
"Jun 01, 2020",20.03,24.91,19.90,21.62,20.79,"160,549,800"
"May 01, 2020",18.70,20.70,17.56,20.02,19.25,"146,545,300"
"Apr 01, 2020",17.48,20.82,17.39,19.07,18.34,"131,928,900"
"Mar 01, 2020",22.53,24.07,17.70,18.13,17.26,"233,965,800"
"Feb 01, 2020",27.10,28.45,21.85,22.39,21.31,"161,190,200"
"Jan 01, 2020",26.91,27.89,25.61,26.90,25.60,"126,985,900"
"Dec 01, 2019",26.82,27.68,26.51,26.78,25.30,"111,926,100"
"Nov 01, 2019",25.24,28.00,25.02,26.88,25.40,"173,145,000"
"Oct 01, 2019",23.22,25.43,22.50,24.77,23.40,"120,570,400"
"Sep 01, 2019",22.01,24.09,21.68,23.17,21.71,"137,346,100"
"Aug 01, 2019",20.99,22.32,20.40,22.12,20.72,"121,753,000"
"Jul 01, 2019",20.06,21.21,19.81,21.00,19.67,"87,292,500"
"Jun 01, 2019",19.41,20.56,19.20,19.89,18.45,"135,098,600"
"May 01, 2019",19.52,19.80,18.47,19.40,17.99,"131,053,100"
"Apr 01, 2019",18.55,19.74,18.53,19.44,18.03,"114,924,700"
"Mar 01, 2019",17.97,18.84,17.52,18.47,16.94,"125,221,500"
"Feb 01, 2019",18.28,18.73,17.43,17.87,16.39,"127,776,600"
"Jan 01, 2019",16.85,18.41,16.81,18.25,16.74,"105,482,100"
"Dec 01, 2018",18.91,18.91,16.42,17.06,15.49,"99,774,200"
"Nov 01, 2018",18.03,19.16,17.81,18.73,17.01,"111,513,000"
"Oct 01, 2018",19.15,19.27,17.39,18.04,16.38,"121,103,500"
"Sep 01, 2018",18.93,19.38,18.41,19.06,17.14,"94,970,600"
"Aug 01, 2018",20.15,20.80,18.56,18.92,17.01,"120,606,100"
"Jul 01, 2018",20.23,20.60,19.92,20.16,18.13,"69,450,200"
"Jun 01, 2018",20.00,21.37,19.98,20.33,18.11,"97,715,600"
"May 01, 2018",19.70,20.32,19.03,19.89,17.72,"96,940,300"
"Apr 01, 2018",19.19,19.77,18.38,19.75,17.60,"83,151,800"
"Mar 01, 2018",19.84,20.55,18.78,19.23,16.97,"110,532,500"
"Feb 01, 2018",20.71,20.85,18.55,19.82,17.49,"118,033,800"
"Jan 01, 2018",19.06,22.21,18.95,20.79,18.35,"142,323,700"
"Dec 01, 2017",19.66,19.88,18.72,19.01,16.63,"95,684,200"
"Nov 01, 2017",19.97,20.67,19.13,19.69,17.22,"77,059,700"
"Oct 01, 2017",19.23,20.40,19.18,19.86,17.37,"64,749,700"
"Sep 01, 2017",18.99,19.32,18.39,19.20,16.64,"67,024,100"
"Aug 01, 2017",19.77,20.40,18.76,18.92,16.40,"77,567,200"
"Jul 01, 2017",19.12,19.81,18.42,19.75,17.12,"52,538,800"
"Jun 01, 2017",19.09,19.53,18.52,19.05,16.36,"85,061,600"
"May 01, 2017",19.91,20.23,18.79,19.02,16.34,"85,851,700"
"Apr 01, 2017",20.34,20.35,19.26,19.86,17.06,"87,534,900"
"Mar 01, 2017",19.77,20.58,19.53,20.35,17.33,"112,645,400"
"Feb 01, 2017",19.64,20.41,19.30,19.64,16.72,"130,380,800"
"Jan 01, 2017",21.88,22.70,19.25,19.58,16.67,"132,239,500"
"Dec 01, 2016",21.06,22.26,20.44,21.72,18.36,"77,585,200"
"Nov 01, 2016",20.14,21.58,19.38,21.03,17.77,"91,423,100"
"Oct 01, 2016",20.74,20.77,19.48,20.07,16.96,"71,046,000"
"Sep 01, 2016",21.52,21.80,19.79,20.82,17.46,"79,948,800"
"Aug 01, 2016",20.00,21.80,19.54,21.52,18.05,"79,371,200"
"Jul 01, 2016",19.22,20.48,18.81,20.00,16.77,"53,600,900"
"Jun 01, 2016",19.33,19.79,18.07,19.18,15.95,"71,806,800"
"May 01, 2016",20.11,20.18,18.73,19.45,16.17,"85,013,900"
"Apr 01, 2016",19.15,20.57,19.11,20.00,16.63,"89,286,500"
